site,time,Abies,Alnus,Amaranthaceae,Ambrosia,Anacardaceae,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Bursera,Campanulaceae,Caryophyllaceae,Celastra,Cupressaceae,Eriogonum,Euphorbiaceae,Fabaceae,Lamiaceae,Moraceae,Opuntia,Pinus,Poaceae,Polygonaceae,Quercus,Rhamnaceae,Rosaceae,Rubiaceae,Ulmus
tehuan33,12782,0.010638298,0.10106383,0.026595745,0,0.031914894,0,0,0.026595745,0.005319149,0,0.005319149,0,0,0,0.005319149,0,0.005319149,0,0.005319149,0,0.005319149,0.377659574,0.042553191,0,0.319148936,0.005319149,0.021276596,0,0.005319149
tehuan34,12944,0,0.036036036,0.009009009,0,0.040540541,0,0.004504505,0.031531532,0.004504505,0,0.004504505,0,0.009009009,0.004504505,0.013513514,0.004504505,0,0,0.009009009,0,0.013513514,0.554054054,0.036036036,0,0.18018018,0,0.036036036,0.004504505,0.004504505
tehuan35,13106,0,0.056277056,0.004329004,0,0.021645022,0,0,0.004329004,0,0,0,0,0.012987013,0,0.004329004,0.004329004,0.004329004,0.017316017,0,0,0,0.571428571,0.043290043,0.008658009,0.19047619,0.004329004,0.051948052,0,0
tehuan36,13268,0,0.033057851,0.012396694,0,0,0.004132231,0,0.016528926,0,0.004132231,0,0,0,0.008264463,0.02892562,0,0,0.004132231,0.004132231,0,0,0.590909091,0.05785124,0.004132231,0.202479339,0,0.02892562,0,0
tehuan37,13593,0,0.041860465,0.004651163,0.004651163,0.018604651,0,0.013953488,0.041860465,0,0.004651163,0,0,0.009302326,0.009302326,0.018604651,0.009302326,0,0,0,0,0.004651163,0.506976744,0.079069767,0,0.195348837,0,0.037209302,0,0
tehuan38,13755,0.008333333,0.045833333,0.016666667,0.004166667,0.008333333,0,0,0.016666667,0.004166667,0.004166667,0.004166667,0,0,0.008333333,0.0125,0,0.0125,0,0.004166667,0,0,0.529166667,0.070833333,0.004166667,0.208333333,0.008333333,0.025,0,0.004166667
tehuan39,13917,0,0.056872038,0.033175355,0,0.014218009,0.004739336,0.004739336,0.042654028,0,0,0,0,0,0.014218009,0.014218009,0.009478673,0.004739336,0,0,0,0,0.426540284,0.071090047,0,0.289099526,0,0.014218009,0,0
tehuan40,14079,0.0041841,0.020920502,0.012552301,0,0.020920502,0.0041841,0,0.008368201,0,0.0041841,0.012552301,0,0.0041841,0.0041841,0.016736402,0.0041841,0.008368201,0.012552301,0,0,0,0.569037657,0.054393305,0.0041841,0.205020921,0.008368201,0.020920502,0,0
tehuan41,14241,0,0.047619048,0.007326007,0.003663004,0.007326007,0,0,0.010989011,0,0,0,0,0,0,0.007326007,0,0.003663004,0.003663004,0,0,0,0.655677656,0.087912088,0,0.157509158,0.003663004,0.003663004,0,0
tehuan42,14403,0.003759398,0.041353383,0.015037594,0.003759398,0.011278195,0,0,0.007518797,0,0.003759398,0.007518797,0,0,0.007518797,0.015037594,0,0,0.015037594,0,0,0,0.616541353,0.093984962,0,0.142857143,0,0.015037594,0,0
tehuan43,14728,0,0.019379845,0.003875969,0,0.003875969,0,0,0.023255814,0,0.003875969,0.003875969,0,0,0,0.03875969,0,0,0.011627907,0,0,0,0.542635659,0.046511628,0,0.271317829,0.003875969,0.027131783,0,0
tehuan44,14890,0.003636364,0.043636364,0.003636364,0,0.010909091,0,0,0.025454545,0,0,0.003636364,0,0,0.003636364,0.032727273,0.003636364,0,0.010909091,0,0.003636364,0,0.581818182,0.036363636,0,0.218181818,0.007272727,0.010909091,0,0
tehuan45,15052,0,0.018248175,0.00729927,0,0.01459854,0,0,0.00729927,0,0,0,0,0.003649635,0.003649635,0.018248175,0.003649635,0,0,0,0,0,0.700729927,0.03649635,0.00729927,0.171532847,0,0.00729927,0,0
tehuan46,15214,0,0.024911032,0.014234875,0,0.003558719,0,0,0.014234875,0,0.003558719,0.003558719,0,0,0,0.03202847,0,0,0.007117438,0,0,0,0.665480427,0.049822064,0,0.170818505,0,0.010676157,0,0
tehuan47,15376,0,0.021276596,0.003546099,0,0.010638298,0.003546099,0.003546099,0.003546099,0,0,0,0,0,0.014184397,0.042553191,0,0.003546099,0.003546099,0.003546099,0,0,0.723404255,0.039007092,0,0.102836879,0.003546099,0.017730496,0,0
tehuan48,15538,0,0.007490637,0.014981273,0,0,0,0,0.011235955,0,0,0,0,0,0.003745318,0.041198502,0,0.003745318,0.007490637,0,0,0,0.756554307,0.026217228,0,0.119850187,0.003745318,0.003745318,0,0
tehuan49,15700,0,0.011070111,0.022140221,0,0.003690037,0,0.003690037,0.029520295,0,0.003690037,0.003690037,0,0,0,0.033210332,0,0,0,0,0,0.003690037,0.675276753,0.062730627,0.011070111,0.118081181,0.003690037,0.014760148,0,0
tehuan50,15863,0,0.010309278,0.024054983,0,0.003436426,0,0,0.006872852,0.003436426,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0.824742268,0.024054983,0,0.082474227,0,0,0,0
tehuan51,16025,0,0.022304833,0.014869888,0.003717472,0.003717472,0,0,0.007434944,0,0,0.003717472,0,0,0,0.059479554,0.003717472,0.007434944,0.003717472,0,0,0,0.620817844,0.074349442,0,0.167286245,0.003717472,0.003717472,0,0
tehuan52,16187,0.00754717,0.00754717,0.018867925,0.003773585,0.00754717,0,0.003773585,0.01509434,0,0,0,0,0,0.003773585,0.041509434,0,0,0,0,0,0,0.777358491,0.037735849,0,0.075471698,0,0,0,0
tehuan53,16349,0.003703704,0.018518519,0.003703704,0.003703704,0.007407407,0,0.007407407,0.014814815,0,0,0,0,0,0.003703704,0.051851852,0,0,0.003703704,0,0.003703704,0,0.725925926,0.048148148,0.003703704,0.088888889,0,0.011111111,0,0
