site,time,Alnus,Amaranthaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Micranthes,Phlox,Picea,Plantago,Poaceae,Polygonaceae,Potentilla,Ranunculaceae,Rhododendron,Salix,Saxifragaceae
hanging41,9745,0.011600928,0,0.004640371,0,0.80974478,0,0.002320186,0.064965197,0,0.002320186,0,0.03712297,0,0.030162413,0,0,0.002320186,0.009280742,0.025522042,0
hanging42,9830,0.007989348,0,0.009320905,0.000665779,0.793608522,0.000665779,0.000665779,0.074567244,0,0.000665779,0,0.050599201,0,0.026631158,0,0.000665779,0.002663116,0.014647137,0.016644474,0
hanging43,9914,0.00877193,0,0.010964912,0,0.780701754,0,0,0.061403509,0,0,0.002192982,0.067982456,0,0.028508772,0,0,0,0.013157895,0.026315789,0
hanging44,9998,0.004830918,0.000536769,0.011272142,0.001073537,0.777241009,0.000536769,0.000536769,0.051529791,0,0,0.000536769,0.05958132,0,0.038110574,0,0.002147075,0.000536769,0.015029522,0.036500268,0
hanging45,10084,0.059139785,0,0.016129032,0,0.768817204,0,0.003584229,0.046594982,0,0,0.003584229,0.064516129,0,0.025089606,0,0,0,0.012544803,0,0
hanging46,10171,0.007142857,0.002380952,0.014285714,0,0.754761905,0,0,0.069047619,0,0,0,0.042857143,0,0.033333333,0,0.002380952,0.002380952,0.011904762,0.05952381,0
hanging47,10260,0.005390836,0,0.010781671,0,0.787061995,0,0,0.061994609,0,0,0,0.029649596,0,0.021563342,0,0,0,0.021563342,0.061994609,0
hanging48,10353,0.004875406,0.000541712,0.010292524,0,0.774647887,0,0.000541712,0.077464789,0.000541712,0,0.000541712,0.013001083,0,0.030335861,0,0.000541712,0.001625135,0.021126761,0.06283857,0.001083424
hanging49,10449,0.003773585,0,0.022641509,0,0.828301887,0,0,0.058490566,0.001886792,0.003773585,0,0.003773585,0,0.026415094,0,0,0,0.009433962,0.041509434,0
hanging50,10550,0.00248139,0,0.007444169,0.00248139,0.8808933,0,0,0.027295285,0,0.00248139,0,0.00248139,0,0.012406948,0,0,0,0.007444169,0.054590571,0
hanging51,10656,0.002941176,0,0.004411765,0,0.827941176,0,0,0.069117647,0,0.001470588,0,0.002941176,0,0.029411765,0,0,0.001470588,0.016176471,0.044117647,0
hanging52,10768,0.001637331,0.000409333,0.007777323,0.000409333,0.836676218,0.000409333,0,0.049119935,0.000818666,0.001637331,0,0.00286533,0.000818666,0.013917315,0,0.001227998,0,0.016373312,0.065083913,0.000818666
hanging53,10886,0,0,0.004784689,0,0.851674641,0,0,0.035885167,0,0,0,0.002392344,0,0.011961722,0,0.009569378,0,0.011961722,0.071770335,0
hanging54,11012,0.003348214,0.000558036,0.018973214,0.000558036,0.821428571,0,0,0.037388393,0,0.001674107,0,0.002790179,0,0.032366071,0,0,0.001116071,0.008928571,0.069754464,0.001116071
hanging55,11145,0.007389163,0,0.014778325,0,0.849753695,0,0,0.012315271,0,0,0,0.004926108,0,0.02955665,0,0,0.002463054,0.007389163,0.071428571,0
hanging56,11287,0.006503252,0.00150075,0.03851926,0.00150075,0.776388194,0.00050025,0,0.006503252,0,0,0,0.009504752,0,0.036018009,0,0.00150075,0.003001501,0,0.11855928,0
hanging57,11438,0.00265252,0.00530504,0.029177719,0,0.771883289,0,0,0.01061008,0,0,0,0.00530504,0.00265252,0.058355438,0,0,0.00530504,0,0.108753316,0
hanging58,11600,0,0.006872852,0.027491409,0.003436426,0.87628866,0,0,0,0,0,0,0.003436426,0,0.048109966,0,0,0,0,0.027491409,0.006872852
hanging59,11772,0,0.00330033,0.04620462,0.00660066,0.805280528,0,0,0,0,0.00330033,0,0,0.00330033,0.04950495,0,0,0,0,0.079207921,0.00330033
hanging60,11955,0.005093379,0.006791171,0.060271647,0,0.687606112,0.003395586,0.005093379,0.000848896,0.001697793,0.000848896,0,0.003395586,0.006791171,0.090831919,0,0.004244482,0.002546689,0.000848896,0.110356537,0.009337861
hanging61,12151,0.008379888,0.005586592,0.047486034,0,0.684357542,0.008379888,0,0,0,0,0,0.005586592,0.011173184,0.134078212,0,0.002793296,0,0,0.083798883,0.008379888
hanging62,12359,0.003184713,0.006369427,0.073248408,0.006369427,0.646496815,0,0,0,0.003184713,0.003184713,0,0.003184713,0.012738854,0.130573248,0,0.003184713,0,0,0.085987261,0.022292994
hanging63,12581,0,0.003558719,0.060498221,0.003558719,0.629893238,0.003558719,0.007117438,0,0,0,0,0.003558719,0.021352313,0.163701068,0,0,0,0,0.099644128,0.003558719
hanging64,12817,0,0.00269179,0.086137281,0.004037685,0.592193809,0.004037685,0.001345895,0.001345895,0.004037685,0.001345895,0,0.006729475,0.006729475,0.179004038,0,0.00538358,0.001345895,0.001345895,0.100942127,0.001345895
hanging65,13068,0.004524887,0.007541478,0.073906486,0,0.647058824,0.013574661,0.006033183,0,0,0.004524887,0,0.004524887,0.004524887,0.137254902,0.001508296,0.003016591,0,0,0.084464555,0.007541478
hanging66,13334,0.00297619,0.005952381,0.083333333,0.00297619,0.633928571,0,0,0.005952381,0,0.00297619,0,0,0.008928571,0.130952381,0,0,0.00297619,0,0.116071429,0.00297619
hanging67,13616,0.001444043,0.002166065,0.03898917,0.002888087,0.7566787,0.005054152,0.000722022,0.002888087,0.001444043,0.005776173,0,0.000722022,0.001444043,0.086642599,0,0.002166065,0.000722022,0,0.086642599,0.003610108
hanging68,13916,0.002150538,0,0.03655914,0.004301075,0.855913978,0,0,0,0.002150538,0,0,0,0.002150538,0.038709677,0,0,0.002150538,0,0.055913978,0
hanging69,14233,0,0,0.02970297,0.00330033,0.798679868,0.00330033,0,0.00330033,0,0.00330033,0,0,0.00990099,0.075907591,0,0,0.00330033,0,0.066006601,0.00330033
hanging70,14315,0,0,0.071428571,0.003484321,0.719512195,0,0.00174216,0.006968641,0,0.003484321,0,0.005226481,0.005226481,0.101045296,0,0.00174216,0.006968641,0,0.071428571,0.00174216
hanging71,14399,0.003021148,0.006042296,0.066465257,0.003021148,0.670694864,0.006042296,0,0.009063444,0,0.003021148,0,0.003021148,0.003021148,0.141993958,0,0,0,0.003021148,0.081570997,0
hanging72,14569,0.001919386,0,0.049904031,0.008637236,0.720729367,0.004798464,0.000959693,0.002879079,0.000959693,0.010556622,0,0.003838772,0.001919386,0.119001919,0.000959693,0.000959693,0,0.000959693,0.070057582,0.000959693
hanging73,14744,0.002564103,0,0.041025641,0.002564103,0.728205128,0.002564103,0,0.002564103,0,0.007692308,0,0.005128205,0.002564103,0.138461538,0,0,0,0.002564103,0.064102564,0
hanging74,14923,0,0.00297619,0.047619048,0.011904762,0.645833333,0.00297619,0.005952381,0,0.00297619,0.011904762,0,0.008928571,0.00297619,0.157738095,0,0,0,0,0.098214286,0
hanging75,15108,0.031034483,0.003448276,0.055172414,0.006896552,0.517241379,0.010344828,0,0.006896552,0,0.006896552,0,0.017241379,0.006896552,0.117241379,0,0.003448276,0,0,0.217241379,0
hanging76,15297,0.028397566,0,0.024340771,0.00811359,0.480730223,0.012170385,0.002028398,0.004056795,0,0.002028398,0,0.042596349,0.010141988,0.144016227,0,0.002028398,0,0,0.239350913,0
hanging77,15492,0.03875969,0.007751938,0.054263566,0.007751938,0.34496124,0.003875969,0.003875969,0.007751938,0,0.031007752,0,0.031007752,0.003875969,0.248062016,0,0,0,0,0.217054264,0
hanging78,15692,0.030651341,0.003831418,0.095785441,0.01532567,0.229885057,0.003831418,0.003831418,0.007662835,0.003831418,0.011494253,0,0.061302682,0.022988506,0.348659004,0,0.003831418,0.003831418,0,0.153256705,0
hanging79,15897,0.039855072,0,0.101449275,0.003623188,0.239130435,0.007246377,0.003623188,0.02173913,0.010869565,0,0,0.083333333,0.018115942,0.315217391,0.003623188,0.007246377,0,0,0.144927536,0
hanging80,16108,0.106870229,0.003816794,0.051526718,0.015267176,0.255725191,0.013358779,0.001908397,0.015267176,0.009541985,0,0,0.085877863,0.022900763,0.229007634,0,0,0,0.003816794,0.185114504,0
hanging81,16324,0.012195122,0,0.030487805,0.006097561,0.182926829,0.036585366,0,0,0,0.006097561,0,0.030487805,0.012195122,0.176829268,0.006097561,0,0,0,0.5,0
hanging82,16545,0,0,0.035714286,0,0.071428571,0.020408163,0,0,0.010204082,0.015306122,0,0.010204082,0.025510204,0.260204082,0,0.010204082,0,0,0.540816327,0
hanging83,16772,0.028688525,0.016393443,0.036885246,0.012295082,0.106557377,0.028688525,0,0.016393443,0.004098361,0.008196721,0,0.045081967,0.012295082,0.209016393,0,0.004098361,0.004098361,0,0.467213115,0
hanging84,17005,0.04954955,0.004504505,0.013513514,0.02027027,0.157657658,0.018018018,0.009009009,0.004504505,0.015765766,0.002252252,0,0.040540541,0.015765766,0.189189189,0,0.002252252,0,0,0.457207207,0
hanging85,17244,0.124760077,0.003838772,0.03646833,0.005758157,0.328214971,0.019193858,0.003838772,0.021113244,0.007677543,0.003838772,0,0.101727447,0.013435701,0.147792706,0,0.003838772,0,0.001919386,0.176583493,0
