site,time,Abies,Acer,Alnus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Betula,Carya,Corylus,Cupressaceae,Fagaceae,Fraxinus,Gentianaceae,Juglans,Ostrya,Picea,Pinus,Poaceae,Polemoniaceae,Polygonaceae,Populus,Pseudotsuga,Quercus,Ranunculaceae,Rosaceae,Salix,Saxifragaceae,Thalictrum,Tilia,Tsuga heterophylla,Ulmus
hansen13,8931,0.003846154,0.053846154,0.046153846,0.007692308,0.007692308,0,0.003846154,0.007692308,0.015384615,0.015384615,0,0.003846154,0.026923077,0,0.026923077,0.034615385,0.011538462,0.284615385,0.026923077,0,0,0,0,0.219230769,0.007692308,0,0.003846154,0,0.003846154,0,0,0.188461538
hansen14,9396,0.011406844,0.034220532,0.015209125,0.007604563,0.019011407,0.015209125,0,0.030418251,0.038022814,0.007604563,0,0.003802281,0.030418251,0,0.019011407,0.02661597,0.019011407,0.25095057,0.022813688,0,0,0.003802281,0,0.239543726,0,0,0,0,0,0.019011407,0,0.186311787
hansen15,9701,0.011278195,0.022556391,0.018796992,0,0.015037594,0.007518797,0.011278195,0.007518797,0.026315789,0.003759398,0,0.007518797,0.018796992,0,0.026315789,0.078947368,0.003759398,0.281954887,0.015037594,0,0,0,0,0.251879699,0.003759398,0,0.003759398,0.003759398,0,0.041353383,0,0.139097744
hansen16,9963,0.027874564,0.006968641,0.006968641,0.003484321,0.041811847,0.045296167,0.006968641,0,0.006968641,0.017421603,0,0,0.139372822,0,0.006968641,0.034843206,0.459930314,0.031358885,0.038327526,0,0,0.003484321,0,0.080139373,0,0,0.006968641,0,0.006968641,0.003484321,0,0.024390244
hansen17,10292,0.007604563,0,0,0.003802281,0.015209125,0.034220532,0.007604563,0.022813688,0.003802281,0.019011407,0,0,0.220532319,0,0,0.003802281,0.52851711,0.011406844,0.02661597,0,0,0,0,0.072243346,0,0,0.011406844,0,0,0,0,0.011406844
hansen18,10623,0.017241379,0.010344828,0.003448276,0,0.024137931,0.017241379,0,0.003448276,0.003448276,0,0,0,0.134482759,0,0,0.003448276,0.582758621,0.020689655,0.034482759,0,0,0.020689655,0,0.110344828,0,0,0,0,0,0,0,0.013793103
hansen19,10844,0.046594982,0.003584229,0.010752688,0,0.017921147,0.017921147,0.003584229,0.010752688,0,0.003584229,0,0,0.189964158,0,0,0.003584229,0.523297491,0.039426523,0.028673835,0,0,0.014336918,0,0.05734767,0,0,0.014336918,0,0.007168459,0,0,0.007168459
hansen20,11179,0.029739777,0.007434944,0.003717472,0,0.044609665,0.081784387,0.007434944,0.014869888,0.003717472,0.003717472,0,0,0.133828996,0,0,0.011152416,0.472118959,0.018587361,0.055762082,0,0,0,0,0.074349442,0.003717472,0,0.026022305,0,0.007434944,0,0,0
hansen21,11403,0.03202847,0.007117438,0,0,0.039145907,0.046263345,0,0,0,0.003558719,0,0.003558719,0.113879004,0,0,0.017793594,0.512455516,0.035587189,0.056939502,0,0,0,0,0.081850534,0,0,0.03202847,0.007117438,0.003558719,0,0,0.007117438
hansen22,11718,0.024561404,0.01754386,0.003508772,0.007017544,0.024561404,0.035087719,0,0.007017544,0.010526316,0.007017544,0,0,0.154385965,0,0,0.007017544,0.515789474,0.024561404,0.042105263,0,0,0.007017544,0,0.080701754,0,0,0.010526316,0,0.010526316,0,0,0.010526316
