site,time,Alnus,Amaranthaceae,Ambrosia,Apiaceae,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Ericaceae,Fabaceae,Papaver,Pedicularis,Phlox,Picea,Pinus,Plantago,Poaceae,Polemoniaceae,Polygonaceae,Populus,Potentilla,Ranunculaceae,Rosaceae,Rumex,Salix,Sanguisorba,Sarcobatus vermiculatus,Thalictrum
zagoskin52,17590,0,0,0,0.004694836,0.070422535,0.037558685,0.009389671,0,0,0,0,0,0,0,0,0,0,0.779342723,0,0,0,0,0,0,0,0.075117371,0.023474178,0,0
zagoskin53,17726,0,0,0,0.009090909,0.009090909,0.022727273,0.009090909,0,0.009090909,0,0,0,0,0,0.004545455,0,0.009090909,0.836363636,0,0,0,0,0.004545455,0,0.009090909,0.059090909,0.009090909,0,0.009090909
zagoskin54,17861,0,0,0,0.008097166,0.056680162,0.016194332,0.008097166,0.004048583,0.008097166,0.004048583,0.004048583,0,0,0.004048583,0.004048583,0,0.020242915,0.744939271,0.004048583,0.004048583,0,0.004048583,0.008097166,0,0.004048583,0.056680162,0.016194332,0,0.020242915
zagoskin55,17998,0,0,0,0,0.111111111,0.012820513,0.017094017,0.004273504,0.034188034,0.004273504,0,0,0.008547009,0,0.008547009,0,0.021367521,0.675213675,0,0,0,0.004273504,0.004273504,0,0.008547009,0.055555556,0.004273504,0.004273504,0.021367521
zagoskin56,18134,0,0,0,0.007692308,0.092307692,0.011538462,0.003846154,0.003846154,0.019230769,0,0.003846154,0,0.003846154,0,0.003846154,0,0.030769231,0.734615385,0,0,0,0,0.011538462,0,0.003846154,0.061538462,0.003846154,0,0.003846154
zagoskin57,18259,0,0.003412853,0,0,0.242312549,0.006825706,0,0,0.013651411,0,0,0,0,0,0.010238558,0.0000341,0.02388997,0.672332002,0,0,0,0,0.010238558,0,0.003412853,0.010238558,0,0.003412853,0
zagoskin58,18511,0,0,0,0.004149378,0.078838174,0.01659751,0.008298755,0,0.008298755,0,0,0,0,0.008298755,0.004149378,0,0.029045643,0.79253112,0,0,0,0.004149378,0.004149378,0,0.004149378,0.020746888,0,0,0.01659751
zagoskin59,18639,0,0.007936508,0,0.003968254,0.103174603,0.007936508,0.003968254,0,0.011904762,0,0,0,0,0.003968254,0.003968254,0,0,0.76984127,0,0,0,0.003968254,0.011904762,0.003968254,0.003968254,0.031746032,0,0.003968254,0.023809524
zagoskin60,18876,0.003344034,0.003344034,0,0.0000334,0.093632959,0.006688068,0.003344034,0,0.0000334,0,0,0,0,0.003344034,0.003344034,0.013376137,0.043472445,0.725655431,0,0,0.003344034,0.0000334,0.013376137,0,0.0000334,0.070224719,0,0,0.013376137
zagoskin61,19115,0.003703567,0,0,0,0.077774897,0.014814266,0.007407133,0.003703567,0.0111107,0,0,0,0,0.003703567,0.003703567,0.000037,0.025924966,0.781452539,0,0,0,0.003703567,0,0,0.007407133,0.037035665,0,0,0.018517833
zagoskin62,19469,0,0.0000383,0,0.003830977,0.080450523,0.011492932,0,0,0.0000383,0.007661955,0,0,0,0.003830977,0.003830977,0.003830977,0.019154886,0.808336207,0.0000383,0,0,0.003830977,0.007661955,0,0,0.015323909,0.011492932,0,0.019154886
zagoskin63,19825,0,0.003333333,0,0.013333333,0.16,0.013333333,0.003333333,0.003333333,0,0,0,0,0,0.006666667,0.013333333,0,0.01,0.686666667,0,0,0,0.006666667,0.01,0.003333333,0.013333333,0.026666667,0.006666667,0.003333333,0.016666667
zagoskin64,20173,0.003758975,0,0,0.0000376,0.127805135,0.037589746,0.011276924,0.0000376,0.007517949,0.003758975,0,0.007517949,0.003758975,0.003758975,0.015035898,0.003758975,0.015035898,0.62774875,0,0.0000376,0,0.003758975,0.003758975,0,0.007517949,0.067661542,0,0,0.048866669
zagoskin65,20520,0.004065041,0.004065041,0,0.004065041,0.093495935,0.008130081,0.008130081,0,0.012195122,0.012195122,0,0,0,0,0.008130081,0,0.016260163,0.735772358,0.004065041,0,0,0.008130081,0.004065041,0,0.004065041,0.032520325,0.004065041,0.004065041,0.032520325
zagoskin66,20872,0.00492538,0.019701522,0,0.00492538,0.083731468,0.034477663,0.00492538,0.009850761,0.019701522,0.00492538,0.00492538,0,0,0.014776141,0.014776141,0.00492538,0.034477663,0.664926366,0.0000493,0.004974634,0,0,0.0000493,0,0.009850761,0.054179185,0.00492538,0,0
zagoskin67,21219,0,0.004504505,0,0,0.144144144,0.018018018,0,0.004504505,0.013513514,0,0,0,0,0.004504505,0.004504505,0,0.022522523,0.711711712,0,0.004504505,0,0,0,0,0,0.009009009,0,0.009009009,0.04954955
zagoskin68,21568,0.00384571,0.0000385,0,0.00384571,0.138445564,0.019228551,0.00769142,0.0000385,0.01538284,0.00769142,0,0,0,0.00769142,0.01538284,0.01153713,0.042302811,0.634542168,0.00384571,0,0,0,0.01538284,0,0.00384571,0.030765681,0.0000385,0,0.038457101
zagoskin69,21915,0.004255319,0.008510638,0,0.004255319,0.110638298,0.034042553,0.004255319,0.004255319,0.017021277,0,0,0,0.012765957,0.008510638,0.008510638,0,0.008510638,0.591489362,0,0.004255319,0,0.004255319,0.025531915,0.004255319,0.012765957,0.09787234,0,0,0.034042553
zagoskin70,22283,0.0000382,0.003816648,0.003816648,0,0.194649059,0.015266593,0.003816648,0.022899889,0.011449945,0,0,0,0,0.011449945,0.015266593,0,0.011449945,0.561047288,0,0.003816648,0,0,0.034349834,0,0.007633296,0.061066372,0.003816648,0,0.034349834
zagoskin71,22652,0.004032258,0.012096774,0,0.004032258,0.092741935,0.02016129,0.008064516,0.004032258,0.02016129,0,0,0,0.008064516,0.004032258,0.016129032,0,0.016129032,0.693548387,0.008064516,0.004032258,0,0,0.004032258,0,0.008064516,0.024193548,0.004032258,0.008064516,0.036290323
zagoskin72,22998,0.004098361,0.008196721,0.004098361,0.004098361,0.098360656,0.008196721,0.024590164,0.008196721,0.012295082,0,0,0,0.008196721,0,0.008196721,0,0.032786885,0.668032787,0,0,0,0.004098361,0.012295082,0,0.004098361,0.06147541,0.004098361,0,0.024590164
