site,time,Alnus,Artemisia,Asteraceae,Betula,Brassicaceae,Caryophyllaceae,Cupressaceae,Ericaceae,Picea,Plantago,Poaceae,Populus,Ranunculaceae,Rosaceae,Rumex,Salix,Thalictrum
joe63,30563,0.002012072,0.046277666,0.006036217,0.295774648,0,0.010060362,0.22334004,0.002012072,0,0.010060362,0.287726358,0.002012072,0.030181087,0,0.004024145,0.046277666,0.034205231
joe64,30990,0.003968254,0.055555556,0.007936508,0.323412698,0.001984127,0.013888889,0.240079365,0,0.001984127,0.005952381,0.246031746,0.001984127,0.031746032,0.001984127,0.003968254,0.035714286,0.023809524
joe65,31417,0.003502627,0.028021016,0.014010508,0.294220665,0.003502627,0.001751313,0.364273205,0.00525394,0.003502627,0,0.19089317,0,0.012259194,0.003502627,0,0.063047285,0.012259194
joe66,31844,0.003944773,0.037475345,0.00591716,0.307692308,0,0.001972387,0.278106509,0.00591716,0.001972387,0.001972387,0.266272189,0,0.029585799,0.001972387,0,0.045364892,0.01183432
joe67,32272,0.001992032,0.039840637,0.013944223,0.274900398,0.001992032,0,0.256972112,0.007968127,0.003984064,0,0.296812749,0.005976096,0.023904382,0,0,0.055776892,0.015936255
joe68,32699,0.003846154,0.036538462,0.009615385,0.282692308,0.005769231,0.005769231,0.319230769,0.005769231,0.003846154,0,0.196153846,0,0.051923077,0.001923077,0,0.071153846,0.005769231
joe69,33553,0.002944063,0.051030422,0.002944063,0.257114818,0.00686948,0,0.336604514,0.003925417,0.004906771,0.004906771,0.251226693,0,0.025515211,0.005888126,0.000981354,0.038272816,0.00686948
joe70,33980,0.001824818,0.010948905,0.005474453,0.390510949,0.001824818,0.003649635,0.355839416,0.005474453,0.003649635,0,0.129562044,0,0.025547445,0.001824818,0.001824818,0.056569343,0.005474453
joe71,34407,0,0.009823183,0.003929273,0.347740668,0.003929273,0.00589391,0.359528487,0.009823183,0.00589391,0,0.149312377,0,0.043222004,0.001964637,0.001964637,0.05108055,0.00589391
joe72,35262,0,0.030425963,0.00811359,0.302231237,0.014198783,0.006085193,0.340770791,0.006085193,0.002028398,0.002028398,0.184584178,0,0.014198783,0.002028398,0.00811359,0.064908722,0.014198783
joe73,35689,0.001964637,0.033398821,0.009823183,0.225933202,0.001964637,0.00589391,0.365422397,0.001964637,0.001964637,0,0.227897839,0,0.013752456,0.007858546,0,0.082514735,0.019646365
joe74,36116,0.00407332,0.028513238,0.00814664,0.32790224,0.012219959,0.00203666,0.346232179,0.00203666,0.00610998,0,0.17311609,0,0.018329939,0.00407332,0,0.061099796,0.00610998
joe75,36543,0.001964637,0.013752456,0.00589391,0.373280943,0,0.001964637,0.314341847,0.003929273,0,0.003929273,0.137524558,0.001964637,0.019646365,0.00589391,0.001964637,0.104125737,0.009823183
joe76,36970,0.001814882,0.005444646,0.005444646,0.493647913,0.003629764,0.003629764,0.361161525,0.001814882,0.007259528,0.001814882,0.043557169,0,0.005444646,0.007259528,0.001814882,0.041742287,0.014519056
joe77,37824,0.00610998,0.016293279,0.00407332,0.016293279,0.00610998,0.00407332,0.590631365,0.010183299,0.00407332,0.00814664,0.150712831,0,0.010183299,0,0.022403259,0.134419552,0.016293279
joe78,38251,0.004016064,0.036144578,0.008032129,0.018072289,0.008032129,0.006024096,0.467871486,0,0.010040161,0.002008032,0.168674699,0,0.012048193,0.002008032,0.004016064,0.212851406,0.040160643
joe79,38678,0.00407332,0.079429735,0.018329939,0.030549898,0.014256619,0.00407332,0.443991853,0,0.00610998,0.00203666,0.238289206,0,0,0.00610998,0.00610998,0.095723014,0.050916497
joe80,39106,0.00623053,0.062305296,0.031152648,0.018691589,0.012461059,0.00623053,0.414330218,0,0.009345794,0,0.271028037,0,0,0,0,0.124610592,0.043613707
joe81,39960,0,0.089020772,0.011869436,0.026706231,0.020771513,0.005934718,0.329376855,0,0.005934718,0.002967359,0.335311573,0,0.020771513,0.002967359,0.002967359,0.100890208,0.044510386
joe82,40814,0.001310616,0.05897772,0.038007864,0.018348624,0.011795544,0.002621232,0.353866317,0.001310616,0.003931848,0.003931848,0.318479685,0,0.010484928,0.005242464,0.001310616,0.111402359,0.05897772
joe83,41668,0.006472492,0.090614887,0.009708738,0.038834951,0.012944984,0.006472492,0.378640777,0.003236246,0.022653722,0,0.158576052,0,0.006472492,0.006472492,0,0.161812298,0.097087379
joe84,42096,0.004040404,0.074747475,0.014141414,0.050505051,0.018181818,0,0.311111111,0.006060606,0.012121212,0.004040404,0.292929293,0,0.014141414,0.01010101,0,0.135353535,0.052525253
joe85,42950,0,0.129746835,0.022151899,0.050632911,0.015822785,0.003164557,0.268987342,0,0.012658228,0.003164557,0.335443038,0,0.003164557,0.006329114,0,0.129746835,0.018987342
joe86,43377,0.004926108,0.123152709,0.014778325,0.081280788,0.024630542,0.002463054,0.482758621,0.002463054,0.032019704,0,0.04679803,0,0.007389163,0.004926108,0.002463054,0.147783251,0.022167488
joe87,43804,0.023728814,0.084745763,0.020338983,0.071186441,0.027118644,0.003389831,0.210169492,0.006779661,0.013559322,0,0.355932203,0,0.010169492,0.003389831,0.003389831,0.145762712,0.020338983
