"","YrBP","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Liliaceae","Picea","Pinus","Plantago","Poaceae","Polygonaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Saxifragaceae"
"tita11",10000,0.143192650757419,0.00773680700470196,0,0.0785957906497295,0.0551897516943223,0.196054781730623,0.0434513526361292,0.009644688803529,0.0337871999252743,0,0.00134168095555893,0.0306406755065979,0.00394393451943981,0.00096061481556196,0.294606759991102,0.00109603985080135,0,0.00219718646468477,0.012532453337378,0.00354980291733657,0.0696674251021285,0.011810403172759
"tita12",11000,0.12872838766861,0.00739559041732611,0,0.0802891310806146,0.0594940725699477,0.186853262984497,0.0396754444016845,0.0117079968562636,0.03512696230404,0,0.00150180709981952,0.0363623062389282,0.00508448997454764,0.00126171796182146,0.306469759017169,0.00112174542047295,0,0.00198584113494377,0.014048311954556,0.00246506330242029,0.0678838143217641,0.0125442952554028
"tita13",12000,0.114692652114626,0.00660617202238542,0,0.0815178626345779,0.0647208136453725,0.174871306412405,0.0380830124962396,0.0141892334741639,0.0351424920368961,0,0.00175370371969563,0.0438544029184658,0.00644186749194833,0.00157179819664661,0.320329249376482,0.000846653503406477,0,0.00187426699190409,0.0153527856930632,0.00183480123385242,0.0631732774717749,0.0131436485912228
"tita14",13000,0.0972318267743005,0.00493787932613,0,0.0820453852931554,0.0692357902160999,0.163382703908567,0.0402249121172191,0.0164317391525613,0.0327017779012484,0,0.00222198738183384,0.0523629975903143,0.00760974221971589,0.00167245977455876,0.335337175624709,0.000604206405122686,0,0.00167245977455876,0.0166623922625915,0.00192490641799397,0.0599010925702109,0.0138385653996556
"tita15",14000,0.0895113021789133,0.00378808127279,0,0.083057108708495,0.0724133930066408,0.147564952024407,0.043250142878784,0.0192387119009056,0.0293074318039672,0,0.00251090581940492,0.0609044918517033,0.00730762164225959,0.00131896410362225,0.347604052474429,0.000385238197110824,8.8841778007762e-05,0.00131896410362225,0.0165887672976283,0.00201887465407503,0.0571072847587753,0.0147148696749461
"tita16",15000,0.0837657301602377,0.00294428684491722,0,0.0853641310100913,0.0730637286430475,0.133189537877725,0.0489743108074789,0.0212713659802542,0.0264429962225329,0,0.00271620562919925,0.0710444275643703,0.00652051616565462,0.00108328565873051,0.356158906066489,0.00027551484172819,0.000353166608361365,0.00108328565873051,0.0159070165112926,0.00213595715468962,0.0530634462648639,0.0146421843612337
"tita17",16000,0.0770908432344673,0.0024191733609267,0,0.0894489931971064,0.0744716576160432,0.124660140677716,0.056357071242434,0.0215808758918548,0.0234465899431345,0,0.00398587858257406,0.0836143731258642,0.00546684595705325,0.00108169168142484,0.355053929291424,0.000438046630236711,0.00064596093731972,0.00108169168142484,0.0146509835647635,0.00233371582015475,0.0500880765803306,0.01208346098251
"tita18",17000,0.0723105390739347,0.00229240934533815,0,0.0940259434721951,0.0747983816359949,0.125084018387217,0.0631542586361415,0.0207986139772283,0.0206496293821833,0,0.00568652111620407,0.0921404602804926,0.00412099062802971,0.00109719331577404,0.345518996344165,0.000814091841819781,0.000983802229867084,0.00109719331577404,0.013234697714914,0.00233764180473026,0.0504243291274922,0.00943028835603987
"tita19",18000,0.0741549871220697,0.00311032478844045,0,0.100746786918342,0.0727715389489375,0.128285497048243,0.0676570865970344,0.0190100021860805,0.0190828797145617,0,0.00760624247491255,0.0903802888930716,0.00238899338088028,0.0012401072652326,0.334614382152822,0.0012401072652326,0.00136566724962147,0.00138452107038062,0.0125233512205399,0.00176395143799927,0.0536868179949877,0.0069864662436694
"tita20",19000,0.0821340064353199,0.00409930259393086,0,0.107559094499557,0.0702307556430992,0.140477736649825,0.0687852038724125,0.0160020939607904,0.0182472658318473,0,0.00917836657479535,0.08414125037223,0.00137740657302258,0.00160821593675374,0.314374767603473,0.00160821593675374,0.00146307102393243,0.00219751672459461,0.0122825951521456,0.00112564311653371,0.0585911939525523,0.00451629763830231
"tita21",20000,0.101967900156603,0.00488159056945961,0,0.110335874338638,0.068905862015551,0.160483051749779,0.0632467747133198,0.0134238674254954,0.0180611474647631,0,0.00996253541852603,0.0745264139957872,0.0010884538540594,0.0017155987699069,0.287001586710927,0.0017155987699069,0.0011461040811359,0.00337346801087013,0.0117625500431164,0.000831748556613096,0.0624627112673844,0.00310716236724398
"tita22",21000,0.126861731199907,0.00564626395156606,0,0.107362574400591,0.0665649745934453,0.172459688926779,0.0561703726721116,0.0128408441758971,0.0174201773813524,0,0.00874233838228583,0.0628539944975628,0.00157680181767268,0.00134275142859365,0.270059292861803,0.00134275142859365,0.000830328104542626,0.00476372072417548,0.0121255372213752,0.0009487593250363,0.0665179230630056,0.00356917421976768
"tita23",22000,0.148614358811588,0.00664841523020973,0,0.103370239562696,0.0654774101475614,0.171463513601056,0.0503014906213321,0.0125113403555522,0.0161847115592089,0,0.00681292643670602,0.0555997189478902,0.00228385129726498,0.000936652196931201,0.265552246501121,0.000936652196931201,0.000497581386339859,0.00592166150774672,0.0122091850072735,0.00143915869536193,0.0684721123385642,0.00476677410940069
"tita24",23000,0.161017705367512,0.00725680014613194,0.000305189114755605,0.0977017552920342,0.0685568434965086,0.168307103964259,0.0455538111499449,0.0124451271316612,0.015145776027104,0,0.00497272003348953,0.0597944900225561,0.00400543199719772,0.000537909801038221,0.261333341579245,0.000537909801038221,0.000182095514884234,0.00644687234587468,0.0113657106657019,0.00206451063450937,0.0661064719304484,0.00636242454304484
"tita25",24000,0.163050584553831,0.007632554704381,0.00090467792176468,0.0945587893318423,0.0732714881329211,0.160029969536947,0.0431512622425997,0.0123161767864755,0.0147688220831908,0,0.00362145113015831,0.067082610136561,0.00644184465706267,0.000202474303775819,0.262925318164934,0.000202474303775819,0,0.00658970108428716,0.0104617121178354,0.0026747490458273,0.0619208792878569,0.00819246103424988
"tita26",25000,0.150052514120216,0.00814832897335679,0.00148512891067445,0.0959591940729363,0.0784947355813884,0.142721932388536,0.0458807870503261,0.0122043004014931,0.0143220796776643,0,0.00263902921293118,0.0760434435072507,0.00822848403445169,0,0.274105499848335,0,0,0.00594623082649734,0.0101300937696499,0.00309373027115154,0.0606353901214175,0.00990909785271151
"tita27",26000,0.129627517642444,0.00860399678375134,0.00208366124973205,0.0997009369803215,0.0853186202662379,0.128607316730718,0.0511792186271383,0.0117063547581994,0.0147318634043301,0,0.0024601298817149,0.0861578649153698,0.00939663448690247,0,0.282868443830139,0,0,0.00448019841817792,0.0099535834323687,0.00289063140441586,0.0587762600608789,0.0114567678237513
"tita28",27000,0.105845722130488,0.00880989364407666,0.00272593260670732,0.105641627743031,0.0912331029510888,0.119511951509451,0.0575671923940767,0.0120916965182491,0.0167811175221254,0,0.002612962434277,0.0931558745261759,0.0105471700813153,0,0.287797978553571,0.000130662013719512,0,0.0030664855445993,0.0103747464131969,0.00223745394198606,0.0574421530975174,0.0124262770573171
"tita29",28000,0.0876711783279978,0.0086251079190578,0.00287784608930926,0.112781721833432,0.0915769490545678,0.112806418667819,0.0647633646566323,0.0127680698122414,0.0193552379614388,0.000246556245373107,0.00254473870406075,0.089292212938975,0.010197322259879,0,0.300045170686144,0.000377018090809877,0,0.00177701540239189,0.0110124142732481,0.00160610738520304,0.0573575983206312,0.0123179520843982
"tita30",29000,0.0776760284687577,0.00843439883489341,0.00241610876500858,0.115810054516295,0.0893233061912767,0.110987602937417,0.0712207689074247,0.0137597522272482,0.0210910839923548,0.000715331065523156,0.0022558424915952,0.0785232664305317,0.00831278195623622,0,0.316410432965401,0.000665621653271257,0,0.000662605631658907,0.0119383472875766,0.000944272115069836,0.0572752732508209,0.0115771210617986
"tita31",30000,0.0746634921704911,0.00816673092074275,0.00177710775714573,0.112925296440771,0.0860206645346216,0.112344200068589,0.0751585032653482,0.0152916500210346,0.0213844209616546,0.00119618772101449,0.0020497928848128,0.0618494949162138,0.00631406421759259,0,0.339115411955062,0.000949729007397343,0,0,0.013083075545944,0.000286014174416264,0.0572528883543176,0.0101712757837158
"tita32",31000,0.0757534855660915,0.0077804268671403,0.00103081877869605,0.107824260364555,0.0794527859951187,0.109536663325214,0.077523713482142,0.0167840661295249,0.0198533617563675,0.00159223596694215,0.00160811329288096,0.0419542004168479,0.00438374782794452,0,0.368919038128123,0.00116785171499686,0.000140487759895607,0,0.0144731526652651,0,0.0620653907634237,0.00815619976845005
"tita33",32000,0.079171321112591,0.00742084885658564,0.000349267818579651,0.0999611153677877,0.0739278801039338,0.103530123877848,0.0804760328208629,0.0172644532662322,0.0166374576790658,0.00200348505884032,0.00100862498896447,0.0254751863305427,0.00275806961318556,0,0.39957684873686,0.00111568402059649,0.000433716036721686,0,0.0156884301955477,0,0.0668713692623317,0.00633008532478714
"tita34",33000,0.0732120663057218,0.00772835568460618,0,0.0913915274833613,0.0744168610178597,0.0899971312162796,0.0856757079697869,0.0184244240782859,0.0129008867746708,0.00193677479569069,0.000596449723150586,0.015877436184678,0.00218873771141968,0.000189197444864735,0.422791464353268,0.000869716072061288,0.000733980954752215,0,0.0175127573114676,0,0.0784135807339239,0.0051429444390711
"tita35",34000,0.0611498863994761,0.00826126966900552,0,0.0859690408975115,0.0772223537267752,0.072873730570914,0.0916701394963514,0.0198358062913743,0.00985932537477781,0.00146296330844794,0.000345247940312471,0.010879871425297,0.00242292637772476,0.000509675022733651,0.43733224747722,0.000602161809570587,0.00100759529609879,0,0.0193350268729535,0,0.09498596413701,0.00427476785110862
"tita36",35000,0.0499164534691605,0.00939071475623453,0,0.0833948714606415,0.0800035519954788,0.0581298935057586,0.10006605788459,0.0210925721697601,0.00787501155368361,0.00129971211631449,0.000357567192461451,0.00765103078174377,0.00246213298653151,0.000849051810203693,0.443709376468685,0.000360841907719398,0.00132074777460499,0,0.0200407420825243,0,0.108536251942176,0.00354341774076718
"tita37",36000,0.0393632172228547,0.010849790575341,0,0.0821262935648695,0.0844340423995811,0.0458284929137042,0.108484437488401,0.0226572527482011,0.00670558779787348,0.00136019138588766,0.000666033636558909,0.00547915049532811,0.00240988026876812,0.00133093763484051,0.443805391640533,0.000123026805122973,0.00151160282246805,0,0.0194055735648158,0,0.120374237801686,0.00308485848099023
