"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Betula","Carya","Corylus","Cupressaceae","Fagaceae","Fraxinus","Gentianaceae","Juglans","Ostrya","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Populus","Pseudotsuga","Quercus","Ranunculaceae","Rosaceae","Salix","Saxifragaceae","Thalictrum","Tilia","Tsuga.heterophylla","Ulmus"
"hans27",26000,0.018353960024398,0.00161456777418673,0.0474769891624771,0.0117630855661879,0.0231091964608154,0.13890937512713,0.0070735920820307,0.011526205681066,7.65416515631601e-05,0.00288737511473736,0.00336946116691311,0,0.049831746923884,0.00291149030256302,0,0.0100214221308619,0.450696598105267,0.0833660957067315,0.0305834169775384,3.66271919447965e-05,0.000271110412371497,0.00604824933414308,0.00626469302615829,0.0416169911912055,0.0140980584899662,0.00156391114311365,0.0133643047865794,0.00846890705104915,0.00945658512941839,0,0.00484134424873257,0.00039809763582594
"hans28",27000,0.0206700332748952,0.00194185965689,0.0446840938947018,0.0123535154114031,0.0205391814529506,0.144425275007049,0.00629084677530642,0.00750033044159455,0,0.00283781845764968,0.00382897062008067,0,0.0468597832340134,0.0028827579024161,0,0.00907717290014489,0.455774161179191,0.0805692781296942,0.0340182857800838,0,0.000421832756314367,0.00525743648807612,0.00583733878705408,0.0395861948493167,0.0142707886154599,0.00208963973642166,0.0134431679869209,0.00878774544993539,0.00948974453083761,0,0.00622805613568548,0.000334690129302581
"hans29",28000,0.0223629501340198,0.00219597846202636,0.0456535279657331,0.0119288310942339,0.0188622850350906,0.146645808816928,0.00697138726894563,0.00464126389678748,0,0.00285221100057661,0.00400414916495058,0,0.0419820518353377,0.00240344376433278,0,0.00835795284209226,0.459475380144522,0.0797419497857908,0.0383023080039951,0,0.000765457952965404,0.00485158311202636,0.00486443863768534,0.0376307376096787,0.0142228849627677,0.00293826797734761,0.0127122144614498,0.0083770452464168,0.00945137056202636,0,0.00731188888822076,0.000492631212191104
"hans30",29000,0.0221641711691425,0.00231129504291491,0.0448698866966658,0.0109547464067013,0.0183573877719733,0.147490392838698,0.00820563348592886,0.00402207455624329,0,0.00303272832536932,0.00398865481245358,0,0.0394639428041182,0.00146351824337707,0,0.00717358986778906,0.460035407318561,0.082902029093505,0.0439787565311133,0,0.00108930820739457,0.00490413232033507,0.00404559456379467,0.0362141573970867,0.0138251625514979,0.00360852244738797,0.0118247072557564,0.0070583236199967,0.00932228409519683,0,0.00698162895956095,0.000711963866633655
"hans31",30000,0.0222817119675089,0.00215071001321113,0.0413550102259516,0.0103424078349434,0.0185633125366196,0.149769757104492,0.00906158499488069,0.00426749932276443,0,0.00313224978271819,0.00361007116641896,0,0.0378665663668153,0.000843828545206837,0,0.00611081841606804,0.456019073403765,0.0874980097054744,0.0490691503451821,0,0.00129310027801172,0.00521436416790521,0.00344735286049872,0.0369028313767236,0.0132968671347948,0.00407308570679548,0.0120593970273305,0.00569521770650648,0.00926474367752456,0,0.00579086696110973,0.00102041199504583
"hans32",31000,0.0218073423234587,0.0016583105294995,0.0390688674408353,0.0107355197224064,0.0196148516317534,0.152129185127237,0.0101292103445061,0.00476774676454259,0,0.00331066340760689,0.00275249665375373,0,0.0361754958889625,0.000521879268395757,0,0.00518309333787703,0.449135838895136,0.0896999230012844,0.0540277322449867,0,0.00130947241659761,0.00541898480228704,0.00287865446287703,0.0395855503950945,0.0134992979163076,0.00455202316000994,0.0128323390382831,0.00444211320914816,0.00886752510565131,0,0.00456264270388631,0.0013332410649652
"hans33",32000,0.0215150909729542,0.00118393144666422,0.0366709767703558,0.0117914333376231,0.0215438381771459,0.153152662867304,0.0097282745076194,0.0052888573111901,0,0.00359453180017976,0.00231377962434122,0,0.0315760424983045,0.000194179884054418,0,0.00447129163165421,0.449764526540998,0.0926242545864689,0.0569666968670997,0,0.00134076190770928,0.00532571737459656,0.0027191301087143,0.0399758835389958,0.0131262250027781,0.00466118826939576,0.0136444999295257,0.0031812423111901,0.00886139461310618,0,0.00335428501977366,0.00142930410818319
"hans34",33000,0.0213154518632489,0.000858413960057649,0.0316738362422071,0.0131870281012559,0.0241489460952852,0.154586519046201,0.00850837709866173,0.00547344212987441,0,0.00345191396298126,0.00198276602285361,0,0.0270218034919086,0,0,0.00358129180284126,0.45385319621083,0.0970064948189829,0.0572835975643401,0,0.00118986634609841,0.00476421396261067,0.00260308995573399,0.0400654541889232,0.0127327119376982,0.0040810900774964,0.0159627107015442,0.00232259669676755,0.00879654097134033,0,0.00241533956536957,0.00113330820078238
"hans35",34000,0.0217752369867768,0.000647567082420404,0.027843145583961,0.0146186747592862,0.0259958970639336,0.153030803752011,0.00731051310137795,0.00527065249366655,0,0.00290602624054262,0.00169755913492811,0,0.022440932527773,0,0,0.00303624871747689,0.465082114569668,0.0992419791925282,0.0537617050011982,0,0.0011098604727405,0.00407438736811024,0.00218941315367169,0.0405152803907908,0.0124243677237675,0.00315394204818555,0.0185545768839866,0.00168776229377782,0.00884725571015919,0,0.00192567260120678,0.000858426166381376
"hans36",35000,0.0213988402209868,0.000795527837940038,0.025298250697398,0.0152613279480058,0.0261880279828036,0.144888102377105,0.006289645513505,0.00472828727154047,0,0.0021893374983794,0.00157366245552354,0,0.0177366963953813,0,0,0.00236157246727289,0.491259731294139,0.0988705305013505,0.0484762282685694,0,0.00123049255465022,0.00388744097542091,0.00180022797933735,0.038404481924462,0.0122189075490682,0.00228426135689205,0.020412664651256,0.00129730500418655,0.00866440853988476,0,0.00191696616669668,0.000567075522463311
"hans37",36000,0.021878951013454,0.00126056449483108,0.0225274993155265,0.0149580026418855,0.02579577715576,0.133815942879013,0.00453061123989712,0.00384792629094327,0,0.00145223649349557,0.00166331983780976,0,0.0136030975503289,0,0,0.00164936032982144,0.52722240501202,0.0989085384896374,0.0414585404995796,0,0.00148891309210071,0.00409664788059554,0.00139459654414602,0.0327567844915665,0.0103868709153188,0.00137428133659791,0.0217653650213682,0.00116069507656922,0.00863185509487065,0,0.00211725727986348,0.000253960956422812
"hans38",37000,0.0211785197713563,0.00183729585701687,0.0185474071593862,0.0149677630460932,0.02525219855453,0.121925970764242,0.00361862930289847,0.00288386249444412,0,0.0007298574597566,0.00151588671650303,0,0.0117881387580105,0,0,0.00104196614427656,0.560234823004292,0.0992386766966312,0.0354225342743254,0,0.00161791463337057,0.004521366359104,0.000964127951849021,0.0275649003869716,0.0093295299744253,0.000489014471279911,0.0237598490646716,0.00126015445958022,0.00795230951219942,0,0.00235730408154506,0
"hans39",38000,0.0193456546971424,0.00255493831981048,0.0161802167775392,0.0146529071736008,0.0231977090861712,0.104753656745854,0.00326250073689665,0.00205375157750962,0,0.000214746348386142,0.00132810905840983,0,0.00999293973882144,0,0,0.000725642519099793,0.602787059574622,0.0967302734084246,0.0302035096604235,0.000245971320106603,0.00203612881248149,0.00556401173697068,0.000510896170713651,0.0218493035001481,0.00799708386955878,0,0.0236425985333876,0.00109005107491857,0.00690023831877406,0,0.00218010214983713,0
"hans40",39000,0.0155508494822268,0.00431323634429572,0.0128822463091038,0.0142819959720769,0.0230413104090063,0.0805513981528233,0.00267822633897704,0.00115637741645244,0,0,0.000894998418668558,0,0.00814268593387111,0,0,0.000261378997783884,0.652164971975711,0.0954503223104335,0.0266559707530361,0.00172428087864551,0.00226632970259729,0.00648799544996011,0.000261378997783884,0.0139029824474781,0.00589761176190054,0,0.0235949915010194,0.000956245183937594,0.0049697257213013,0,0.00191249036787519,0
"hans41",40000,0.0120787934459285,0.00667529867603984,0.00924988130884593,0.0145763996451084,0.0263679699660223,0.0596416203817223,0.00170388233016989,0.000381582857293497,0,0,0.000381582857293497,0,0.00605912570029291,0,0,0,0.688661608409608,0.097574704798594,0.0237208839738723,0.00416879257082601,0.00208546518746339,0.0062958536228471,0,0.00678283336215583,0.00330912988025776,0,0.0247451416589338,0.000802623775043937,0.0031315787831283,0,0.00160524755008787,0
"hans42",41000,0.00622977516810988,0.00974764544640191,0.00448992104150493,0.0158300815592714,0.0318527180630039,0.0385743646563153,0.00159251518184533,0,0,0,0,0,0.00333236930845028,0,0,0,0.715370208972231,0.101690444671842,0.0226351058459242,0.00772016670528516,0.00159251518184533,0.00521250910480741,0,0.0028974058596596,0.00246244230038818,0,0.0265949936581069,0.000434963559271424,0.000869927118542848,0,0.000869927118542848,0
"hans43",42000,0.00227952255387714,0.0125259157905337,0.00227952255387714,0.0159451996213494,0.0375777480775428,0.025063289836858,0.00113976127693857,0,0,0,0,0,0.00113976127693857,0,0,0,0.731211126461229,0.104777831099698,0.0205042447291037,0.0113861545135952,0.00113976127693857,0.00341928383081571,0,0.00113976127693857,0.00113976127693857,0,0.0273313548408862,0,0,0,0,0
"hans44",43000,0.00105111023728814,0.0144675997288136,0.00105111023728814,0.0160442650847458,0.0434028000508475,0.0202487060338983,0.000525555118644068,0,0,0,0,0,0.000525555118644068,0,0,0,0.728298600474576,0.109156526610169,0.018146485559322,0.0139420446101695,0.000525555118644068,0.0015766653559322,0,0.000525555118644068,0.000525555118644068,0,0.029986310559322,0,0,0,0,0
"hans45",44000,0,0.016129032,0,0.016129032,0.048387097,0.016129032,0,0,0,0,0,0,0,0,0,0,0.725806452,0.112903226,0.016129032,0.016129032,0,0,0,0,0,0,0.032258065,0,0,0,0,0
"hans46",45000,0,0.016129032,0,0.016129032,0.048387097,0.016129032,0,0,0,0,0,0,0,0,0,0,0.725806452,0.112903226,0.016129032,0.016129032,0,0,0,0,0,0,0.032258065,0,0,0,0,0
"hans47",46000,0,0.0149924784497409,0,0.0154441856082902,0.0454291434373057,0.0154441856082902,0,0,0,0,0,0,0.000903414387564767,0,0,0,0.726607867937824,0.117143445063212,0.0158958928373057,0.0149924784497409,0,0.000903414387564767,0,0.00135512154611399,0,0,0.0308883722165803,0,0,0,0,0
"hans48",47000,0,0.0066354670507772,0,0.0104085503751295,0.0236794848880829,0.0104085503751295,0,0,0,0,0,0,0.0075461672373057,0,0,0,0.732500632186529,0.148321526410363,0.0141816342880829,0.0066354670507772,0,0.0075461672373057,0,0.011319250561658,0,0,0.0208171017502591,0,0,0,0,0
"hans49",48000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans50",49000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans51",50000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans52",51000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans53",52000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans54",53000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans55",54000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans56",55000,0,0,0,0.006410256,0.006410256,0.006410256,0,0,0,0,0,0,0.012820513,0,0,0,0.737179487,0.173076923,0.012820513,0,0,0.012820513,0,0.019230769,0,0,0.012820513,0,0,0,0,0
"hans57",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hans58",57000,0,0,0,0.02,0.04,0.08,0,0,0,0,0,0,0.02,0,0,0,0.68,0.1,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"hans59",58000,0,0,0,0.02,0.04,0.08,0,0,0,0,0,0,0.02,0,0,0,0.68,0.1,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"hans60",59000,0,0,0,0.02,0.04,0.08,0,0,0,0,0,0,0.02,0,0,0,0.68,0.1,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"hans61",60000,0,0,0,0.02,0.04,0.08,0,0,0,0,0,0,0.02,0,0,0,0.68,0.1,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0
"hans62",61000,0,0,0,0.02,0.04,0.08,0,0,0,0,0,0,0.02,0,0,0,0.68,0.1,0.04,0,0,0,0,0,0,0,0.02,0,0,0,0,0
