"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cupressaceae","Fraxinus","Ostrya","Pinus","Poaceae","Quercus","Thalictrum"
"patz19",18000,0.00779908999521653,0.200633626037504,0.00173811354562109,0.00568699554765661,0.0155511362834461,0.00508736421128696,0.119202822010025,0.00062963666134039,0.000287234486591013,0.47716181768022,0.0548915217463742,0.109569066852577,0.00176157488367004
"patz20",19000,0.00773565604983473,0.191512944712688,0.00223997788370201,0.0048856536187643,0.0144400485635393,0.00574799904612255,0.117602950095805,0.000995902253089245,0.000475369890465294,0.48898237153969,0.0522945171126367,0.111074136731655,0.00201247266788711
"patz21",20000,0.0079074915849162,0.183684917171254,0.00249569578562722,0.00412431323006602,0.0122381567406805,0.00607682798466227,0.113259667831742,0.00121394914895886,0.000662867084611478,0.499106113226054,0.0521633081738954,0.114679311617369,0.0023873807015744
"patz22",21000,0.00830981025452133,0.174370495287301,0.00261325544156674,0.00368374093876548,0.00993355873353647,0.00622324502889719,0.109602372353106,0.00133887397989974,0.000823449817967368,0.508099973948054,0.0530196483112837,0.119213975125909,0.00276760115510124
"patz23",22000,0.00887573392073989,0.159385842198534,0.00242015494009967,0.00389303962526356,0.00823503981042745,0.00595167751289055,0.106020824575474,0.00176171019747939,0.000942466192351926,0.518671799981647,0.0540960762820587,0.127078670991662,0.00266696409660725
"patz24",23000,0.00919306660047516,0.145962374696847,0.00220471937866091,0.00420266193455724,0.00723095554224622,0.00507294412038877,0.100573405544752,0.00217326156971922,0.000844402138315335,0.527478455135119,0.0556710563771922,0.137284830332397,0.00210786689170626
"patz25",24000,0.00894768616562272,0.13398274900757,0.00211310466118434,0.00448420508269608,0.00800129796403182,0.0043705251075587,0.0903154201286939,0.00228667677781194,0.000746587038465972,0.542173654372363,0.058606319760827,0.142196842687968,0.00177493133554932
"patz26",25000,0.00836735980634017,0.1268315564346,0.00240282969975615,0.00462512543090835,0.00927311492836822,0.00365381538931789,0.0828426004905168,0.00239375649813723,0.000653964624466572,0.551696029861851,0.0611015058997494,0.144842716566111,0.00131562447148276
"patz27",26000,0.00730132724445107,0.125716743066945,0.00290445948619097,0.00463765086953672,0.0105196947482795,0.00311001067767019,0.0757406821923432,0.00253650960595859,0.000571711142618799,0.558069376014896,0.0629629855626695,0.144955709582988,0.000973139866050946
"patz28",27000,0.00607831552295069,0.128511123165597,0.00343998260990603,0.00437298701237577,0.0114021567995234,0.00280300806358491,0.0698192494876919,0.00261880896384759,0.000401644856121537,0.561324584328323,0.0644308688255477,0.14382500892672,0.000972261539578087
"patz29",28000,0.00508859046411341,0.129741211041425,0.00390445587106164,0.00428204171781258,0.0121120187111015,0.00271807220138533,0.0649563959677654,0.00270102740295933,0.000303137498369404,0.567783023730965,0.0652101988250276,0.140095967691966,0.00110385899582244
"patz30",29000,0.00472378519958534,0.131544611872606,0.00436509509050595,0.0043708534891007,0.0115476292405909,0.0028689313219109,0.0649657863280733,0.00314427845730987,0.000220666386442825,0.568590431456676,0.0636995662884499,0.138931919655513,0.00102644542266824
"patz31",30000,0.00434901162659039,0.134204737218135,0.00460760002755038,0.00463195558510044,0.0109444424805865,0.00321513888897656,0.0655178254879508,0.00371435220110465,0.000134097794062531,0.567666716165631,0.0622907083487195,0.137658718077424,0.00106469629460499
"patz32",31000,0.00451369139441232,0.136474366558363,0.00446983289685845,0.00498662516734727,0.0100583729465896,0.00368930181110258,0.0680519155361258,0.00458579552844378,0.000202062736020701,0.559750139463632,0.0618594154195205,0.140101640409534,0.00125684034193183
"patz33",32000,0.00594486572605551,0.147157556737393,0.00434329572102806,0.00577984139814292,0.0090369048022367,0.00490871176689068,0.0715046856736777,0.005537486823629,0.00069439599563946,0.537548579070487,0.0599913964173293,0.1463098708915,0.00124240913030319
"patz34",33000,0.008364872052261,0.165098180510167,0.00406354639247344,0.00663202915927162,0.0078520773692868,0.00664124038907435,0.0761930048477693,0.00665815849717754,0.00147682979016692,0.496837313319697,0.0585448454386039,0.160532783374143,0.00110511896522003
"patz35",34000,0.0106505485791734,0.188605848244565,0.0032024736729737,0.00767215201509662,0.00900075541559313,0.00739648840505905,0.078451445206723,0.00683546928884863,0.00264435016056092,0.443627637512346,0.0628307684708132,0.177895202014426,0.00118686114492754
"patz36",35000,0.0125744249040549,0.206944375338238,0.00243961739842866,0.00866471587289433,0.0107442275002996,0.00811381323150676,0.0784310731936214,0.00642132397789467,0.00362820552586723,0.398146644960184,0.065838921937346,0.196564761777815,0.00148789462174579
"patz37",36000,0.0135769745182852,0.213711478053924,0.00222581224416736,0.0101546146389228,0.0129352247704223,0.00921523461636352,0.0768892815869272,0.00573971214962401,0.00389270870216595,0.369838205639501,0.0647110432771386,0.215279646614114,0.00183006355138505
"patz38",37000,0.0128905379279407,0.207705316568289,0.00171012088411215,0.0118291758565904,0.0152017044441508,0.00923340748939736,0.0791775572458266,0.00502529435746052,0.00371134672942314,0.358528519426039,0.063624816442475,0.229024380745794,0.00233782235230422
"patz39",38000,0.0113141427613345,0.196766890722912,0.000996075468557889,0.0134245059105405,0.0174489482364242,0.0087095654189293,0.0825929751260246,0.00399157896004098,0.00333790669179047,0.356013152383773,0.0620173473023181,0.240564891221696,0.0028220202866291
"patz40",39000,0.0100111230984272,0.182653577453719,0.000670882551566327,0.013612125820098,0.0180280346873791,0.00929073121451592,0.0805872306093851,0.0034486075493103,0.00266926253055305,0.368113702544605,0.0584450275369988,0.249126519205105,0.00334317544127884
"patz41",40000,0.00847401958880857,0.166027853208791,0.000787113967019491,0.0137587008282561,0.017490054248096,0.00902587239718601,0.0801980452016264,0.00294723147799148,0.00198122672641022,0.38348873102601,0.0572793649857364,0.25533181330373,0.0032099729673422
"patz42",41000,0.00722484288213302,0.155165780676964,0.000962867624622852,0.0131014887614456,0.0159092208836416,0.00778779994398531,0.0805531833384494,0.00262879499829463,0.00160608087019546,0.400541663626197,0.0591465761501377,0.252866030211728,0.0025056696300669
"patz43",42000,0.00702142381035497,0.151076509289403,0.00132111256455514,0.0121536233167288,0.0140680384265542,0.00708944781342747,0.0787989764953259,0.00270151099784271,0.00149083899078251,0.409377308718703,0.0620507056906583,0.251058643871805,0.0017918593305877
"patz44",43000,0.00727064251415196,0.151036208115664,0.00195734244868563,0.0116513320387468,0.0125066367081743,0.00685175919582283,0.0759757943407274,0.0029933969474973,0.00149669847374865,0.407496735948866,0.0656083804950666,0.25395818990659,0.00119688189989197
"patz45",44000,0.0064413266562053,0.145089379106942,0.00287306191838452,0.0122687795841817,0.0110483398984434,0.005769325068069,0.0785864096273454,0.00276227956381994,0.00138113978190997,0.410292296647034,0.0693606091017249,0.253636741678839,0.000490310322254943
"patz46",45000,0.00629750022574605,0.144445597786542,0.00334364284376829,0.0124943992367466,0.0102988377592744,0.00514941885944997,0.0795544790732592,0.00281990270520772,0.00140995135260386,0.407996044356934,0.0719300536025746,0.254260171072323,0
"patz47",46000,0.00595339178160505,0.14422620957367,0.00389590389540126,0.0133350311051398,0.0102616792881876,0.005130839703156,0.0797893833509468,0.00277050398845807,0.00138525199422904,0.400756111637511,0.0734147486084761,0.259080943879711,0
"patz48",47000,0.00463716054249738,0.13798100652256,0.0051186240293809,0.0151151405792235,0.00975578457187828,0.0048778925204617,0.0816128848132214,0.00231858013850997,0.00115929006925498,0.395508597072403,0.076012797296957,0.265902240578174,0
"patz49",48000,0,0.101045296,0.006968641,0.017421603,0.006968641,0.003484321,0.090592334,0,0,0.43902439,0.076655052,0.257839721,0
"patz50",49000,0,0.101045296,0.006968641,0.017421603,0.006968641,0.003484321,0.090592334,0,0,0.43902439,0.076655052,0.257839721,0
"patz51",50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz52",51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz53",52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz54",53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz55",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz56",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz57",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz58",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz59",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz60",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"patz61",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
