"","YrBP","Abies","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Cupressaceae","Fagaceae","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Quercus","Ranunculaceae","Rhamnaceae","Rosaceae","Yucca"
"bald49",48000,0.00534005763683533,0.0414767183846737,0.0122535513389293,0.000139727176261638,0.252937760038214,0.0250273302460415,0,0.00358744946379025,0.00232602958797998,0.577056695106712,0.00352147941781584,0.00632329359768619,0.00391898532627427,0.0289180040288321,0.0213655037582497,0.0109320407862484,0.00487537455460404,0
"bald50",49000,0.00459230421031367,0.045372796791074,0.01162028936292,4.49164207646256e-05,0.249869323988762,0.0249574632864673,0,0.00380235684231378,0.00269063322895123,0.569671452825054,0.00334805586507995,0.00685218939966559,0.00258605908916707,0.0333655381688315,0.0241029863309944,0.0118131413638026,0.00531049334494442,0
"bald51",50000,0.00394587623862409,0.0488165222998131,0.0123774462413472,0.000183014235480553,0.237835526786686,0.0238887292974781,0,0.00421769541682891,0.00315654816762935,0.57044255706789,0.00323859226504014,0.00696820100034282,0.0014996267069009,0.0401255492760684,0.0251134146834214,0.0124790536815068,0.0057116471488975,0
"bald52",51000,0.00455195130342503,0.0489922684909614,0.0148134853490045,0.000460094089629293,0.218843315726332,0.0227962188848841,0,0.00471787976742592,0.00342345748078746,0.583228891892787,0.00288293770743405,0.00663395762174048,0.00122841502248301,0.0448392049018061,0.0240643330214632,0.0125701505599082,0.00595343830347284,0
"bald53",52000,0.00578150592630267,0.0483480324361945,0.0193898686551701,0.00100795538549309,0.194653101018027,0.0222775788371548,0,0.00622305744242657,0.00390073106714739,0.597516544560409,0.00265239326220691,0.00583182954210619,0.00153998856345415,0.0506537670799796,0.0229526750057051,0.01106924891204,0.00620172178661235,0
"bald54",53000,0.007271729312934,0.0485181510243112,0.0225167060212767,0.00165304337764636,0.18346844988977,0.0218843159807274,0,0.0078985501537783,0.00433865158028708,0.602513193880504,0.00223998139637554,0.00480218403290662,0.00214684434376588,0.054261628989217,0.0213995914722802,0.00854374545297239,0.00654323237054,0
"bald55",54000,0.00785649655103244,0.0486962140146213,0.0245992188533105,0.00204673970396365,0.183250270504688,0.0228809678353943,0,0.00891419945239116,0.00466560885786462,0.599145158087701,0.00198003283486386,0.00509499492600431,0.00242155192658294,0.0550948949656141,0.0194976842729231,0.00703625072290861,0.00681971578223482,0
"bald56",55000,0.00867968250891185,0.0509353016478677,0.0243675167532238,0.00212020287603165,0.190939598638759,0.0248946915305127,0,0.00997465140606042,0.00471745573914583,0.586734480159289,0.00208691657106628,0.00560219075486365,0.00270990408585216,0.0539155727678618,0.0190907324093536,0.00615652948087246,0.00707457219547373,0
"bald57",56000,0.00926459252530503,0.0538278320719993,0.0242900759509562,0.00232266433669994,0.195414064298636,0.026281376390522,0,0.0108351900564114,0.00527725764537657,0.572581395152477,0.00271800798465003,0.00581077177304973,0.00269934068840881,0.0567427827446061,0.0184797652978869,0.00618459322360349,0.00727028970842206,0
"bald58",57000,0.00959027338591422,0.0570751510877941,0.023904174051001,0.00239153609432466,0.201741210298578,0.027214045438062,0,0.0107471022343037,0.00562119985101067,0.55941819525114,0.00307724161690427,0.00548469310136159,0.00294924012698123,0.0601243641700443,0.0168699823247078,0.0067000084045081,0.00709158271945358,0
"bald59",58000,0.0100208267484869,0.0591135217344601,0.0236881391762626,0.00229957076639712,0.20834777861899,0.0278690343341295,0,0.010730540264103,0.00593232944273095,0.548989350262828,0.00350152591060318,0.00532432497147623,0.00324505263268907,0.0620167866118548,0.015058815563356,0.00750899447672909,0.0063534088210985,0
"bald60",59000,0.0106487057007061,0.0601597891805956,0.0222843848018018,0.00205152975007638,0.216826191871635,0.0277608614517755,0,0.0105898920424701,0.00587132791467782,0.539775682359592,0.00436760721051314,0.00443628291273849,0.00374999141526769,0.0638490225343478,0.0132474222326394,0.00886870982697922,0.00551259933425703,0
"bald61",60000,0.0104044883175178,0.0606195400104982,0.0205455113178039,0.00177936664610597,0.231329148508815,0.0266796477004767,0,0.0094397184090703,0.00587797179400566,0.530914363748328,0.00485114977046936,0.00327060096268614,0.003963065606041,0.0646930487193691,0.011553314834546,0.00976185887340491,0.00431720534743662,0
"bald62",61000,0.00957748384552595,0.060914623705983,0.0183772664384004,0.00141397675142985,0.252627396448675,0.0255285018832196,0,0.00762696327999687,0.00517478950724931,0.52247917495257,0.00478488703626726,0.0022234966672587,0.00428683444923182,0.0624429250560159,0.0102147357509283,0.00920021318789772,0.00312673152139363,0
"bald63",62000,0.00863835533339444,0.0604346211706679,0.0156228481699644,0.00110173953533247,0.276426273369747,0.0250480549933516,0,0.00661471983072419,0.00444679994369693,0.514090701232133,0.0050822295694611,0.00164246974247724,0.00362295684051839,0.0573637028311651,0.0101683035099131,0.00779218792364283,0.00190403637419125,0
"bald64",63000,0.00756215103596285,0.061730588344526,0.0134925645380745,0.000895434809867217,0.304502352168094,0.0251470997189814,0,0.00550814320073161,0.00363402439681703,0.498007119110634,0.00534659830896696,0.0012786273139457,0.00255479071752773,0.0522683633773344,0.0107476766720492,0.00617004279016129,0.00115442383470391,0
"bald65",64000,0.00731778120536416,0.0653182473203925,0.0127809211293589,0.000838290731565634,0.334278974854178,0.0261037572318011,0,0.00480827889318797,0.00319550054207588,0.471895265772276,0.00544827722283472,0.00147486559482774,0.00152055905837767,0.0478042976347013,0.0114952470188748,0.00505423871951592,0.000665497424906236,0
"bald66",65000,0.00783706401679029,0.0699749643181824,0.0131979037667114,0.000918278402663895,0.362714839743754,0.028567862487137,0,0.00501933620822728,0.00300772160012116,0.435758232974812,0.00707893158732757,0.00185856245942103,0.000733397859459732,0.0454012487643513,0.0113722118892077,0.00578280756810141,0.000776636776724151,0
"bald67",66000,0.00851930301306821,0.0761070849212305,0.0144362200648207,0.000844915338072309,0.387662146700712,0.0308744928727881,0,0.00620097908972835,0.00363574149312168,0.392169886867333,0.00959895412739601,0.00215661796507807,0.000341947805261704,0.0454093474810741,0.0116287392727273,0.00884241826553076,0.00157120520453645,0
"bald68",67000,0.00903166271978355,0.0819042758640302,0.0160611417505789,0.000797390846183293,0.407572727193472,0.0325863345484731,0,0.00763754100273538,0.00423708349227516,0.352164018392954,0.0121796598072265,0.00231500479232682,0.000847259869251896,0.0461672929174815,0.0117182723693207,0.0122409243262273,0.00253941061017145,0
"bald69",68000,0.00937976355284119,0.0881536006515086,0.0172816342501288,0.000790756936349721,0.425693043512079,0.034267823063371,0,0.00985793705036381,0.00514689823878286,0.310875521051789,0.0150295273091036,0.00272614627517828,0.00176973450864001,0.0465839991605186,0.0128420872996728,0.015677325517222,0.00392420204658789,0
"bald70",69000,0.008676209074894,0.0938002375407623,0.0192428262635664,0.000773669271428469,0.431256971419841,0.0355252326465666,0,0.0120948140731533,0.0064370269406713,0.281303515160229,0.0180140995807807,0.00359060135087288,0.00309151722994749,0.0475694751595425,0.0138701274529574,0.0190423837394131,0.00571129337320963,0
"bald71",70000,0.00729461243441017,0.0972905559385073,0.0208900535559619,0.000528757617068515,0.415277984084492,0.033530784463823,0,0.0133590520470526,0.00719614432210019,0.286210508056116,0.0189289582941174,0.00418712099011469,0.00459469350872338,0.0473225077822586,0.0162421012541436,0.0201538834431729,0.0069922823569973,0
"bald72",71000,0.00611344289260444,0.0988309611787451,0.0220493017285413,0.000408418451228386,0.392054800489739,0.0311917678573492,0,0.0140274389258477,0.00733110558967696,0.308103296731322,0.0185870489442382,0.00491206118503738,0.00585723293824292,0.0452211722723088,0.0187705008341958,0.0190620169030247,0.0074794330829949,0
"bald73",72000,0.0053253420596705,0.103371451539012,0.0238968389713551,0.000274793469402914,0.350830508189921,0.0280937885611313,0,0.0134663743720141,0.00719018021364442,0.348289251345297,0.016663829417465,0.00556638554449672,0.00657102607743263,0.0442303955284982,0.0213817675092848,0.0169375943861308,0.00788238162949433,2.80910117360245e-05
"bald74",73000,0.00478699484513803,0.109724995286402,0.0260045896345831,0.000136031753592231,0.296875587945625,0.0246418500594093,0,0.0115965791553543,0.00660396204497286,0.404014534701778,0.0143545897730671,0.00552061208508197,0.00662743258123663,0.0446375959207625,0.0223660880086833,0.0141236891221458,0.00782625732447005,0.000158609572886847
"bald75",74000,0.00483568971753956,0.117680176353825,0.0273831835994011,0,0.243059340230152,0.0213954967719944,0,0.00941500168735246,0.00545701744475387,0.460707201831136,0.0116960965420915,0.00465919635796101,0.0061072090914663,0.0455966317022908,0.0237915383140247,0.0106411691287007,0.00725800475794352,0.000317046309591675
"bald76",75000,0.00533247338252294,0.129927344406724,0.028562066632845,0,0.205079666674013,0.020595953168106,0,0.00736508511069601,0.00439777779663043,0.492338234401166,0.00978197174370663,0.00385460883173876,0.00518840146943739,0.0482379604299256,0.0241369608382585,0.00805121605510222,0.00660647771024377,0.000543801131414318
"bald77",76000,0.00592909172190793,0.141122035586378,0.0287556643812525,0.000132782752883815,0.173557910330785,0.0203741083343526,0,0.00550199700630844,0.00333432575898839,0.516834305248056,0.00869456213155972,0.00281845422661661,0.00420771469237609,0.0516518320495897,0.023068359393388,0.00679535443627293,0.00604355920421431,0.00117794246309793
"bald78",77000,0.00635322636259258,0.138959855905992,0.0273954528786103,0.000332812254356464,0.161655064990362,0.0195683567119171,0,0.00453106710572492,0.00240409181409454,0.535855854797921,0.00922903537330494,0.00198073141495916,0.00333200760699323,0.0545675566006866,0.0205474756390286,0.00619411295746845,0.00510632391866875,0.00198697343147589
"bald79",78000,0.00689273805567745,0.122980215867076,0.0256675869814268,0.000571412531815689,0.172927465163425,0.0188599268706134,0,0.00473180713537139,0.00181791187339128,0.542040606329057,0.00997399610892865,0.00243090518114688,0.00286039770262459,0.0566391578520401,0.018102947405214,0.00695869495940053,0.00396554914533666,0.00257868050623796
"bald80",79000,0.00722163067467478,0.104902552837098,0.024995596925276,0.000731846629210572,0.199014888720292,0.0185925122322641,0,0.00761878550442484,0.00231995586304264,0.531574659604728,0.0112905937469073,0.00364154810011028,0.00284991539977677,0.0569464467598961,0.0140994783262155,0.00818694311919156,0.00321686017852825,0.00279578514891638
"bald81",80000,0.00717107986253959,0.0880422584330493,0.0241957392074205,0.000756711907516244,0.218245356761724,0.0184234909993089,0,0.00949662132950774,0.00327599109516658,0.527555698715605,0.0118945730315408,0.00435931183128177,0.00292651761087711,0.0554545714379632,0.0115613915594954,0.00966942529214963,0.00438674010473874,0.00258452082532842
"bald82",81000,0.00746024468590405,0.0745176271100907,0.0243718531363812,0.000557595510386344,0.236537244844725,0.0181526045682643,0,0.0106748402246076,0.0041209017724953,0.517626083436839,0.0123462129331681,0.00442285935516231,0.00266409684038653,0.0581931908667278,0.00951366405265485,0.0107292120336416,0.00632291909037271,0.00178884984885221
"bald83",82000,0.00734328192720635,0.0724391007645953,0.0249237145658367,0.000389400159932225,0.243718441339542,0.0192094781362325,0,0.0120328370051549,0.00490869430222801,0.505336825231564,0.0123291830766133,0.00439181830609417,0.00274606983615936,0.0603248894256705,0.00870779570395363,0.0115540064987134,0.00847626367463419,0.00116820061452915
"bald84",83000,0.00721141019747822,0.0756454319466897,0.0249034088764986,0.000242138447011223,0.248823196851844,0.0210616639060572,0,0.0146688897539197,0.00519889119678921,0.48841686918591,0.0121741918620485,0.00364233493088837,0.00340661354625944,0.0613497269876399,0.00943172756956715,0.0122050454107807,0.0108920446156161,0.000726415424813583
"bald85",84000,0.00747937011257918,0.0734436888625624,0.0235130190621702,0.000127866721443937,0.255354313023987,0.0225525885405126,0,0.0158852391331425,0.00495721418343618,0.476920343483188,0.0117038444868543,0.00293816835132611,0.00428213227084434,0.0622501839402379,0.0112257014496691,0.0134027525486114,0.0135799742919511,0.000383600208573703
"bald86",85000,0.00829910081932081,0.072342073657304,0.0221501027063684,2.09986002271674e-05,0.257889554421827,0.0238590173135377,0,0.0191731691416564,0.00416644275186354,0.467116560334699,0.011384744891256,0.00289457566864701,0.00543724223420992,0.0630730216504351,0.0137298632394656,0.0134573906225089,0.0149431467426767,6.29958079470188e-05
"bald87",86000,0.00892071270810759,0.0769000687070093,0.0204679505703983,0,0.253254570710762,0.0267268794178193,0,0.0242644375047108,0.00327244244569931,0.458073023918569,0.0107614910136287,0.00338726616945049,0.0070049874243137,0.0601413588176516,0.0177025664014493,0.0136879691993843,0.0154342754167384,0
"bald88",87000,0.00995542477674494,0.0837942000401753,0.0181860834682415,0,0.235330331453656,0.0285658307107702,0,0.0286976255501936,0.00206257872137721,0.468614569458701,0.00965729060610994,0.00382521523504407,0.00822752836948241,0.0541170123986761,0.0219717089364206,0.0128206273978509,0.01417397303807,0
"bald89",88000,0.0111907158948728,0.0915174793534462,0.0151504617322577,0,0.20280329326949,0.0284866204407899,0,0.0307156980492086,0.00107975373884054,0.505206064338071,0.00803579206887696,0.00489290911030586,0.00845838702756115,0.0454520623256636,0.0251537154674181,0.0103162878398211,0.0115407594322657,0
"bald90",89000,0.011666415444679,0.102919013215514,0.0131222926365768,0,0.164380270520903,0.0278937966286476,0,0.0324881206181975,0.000541933896866925,0.548115575965137,0.0064838731740218,0.00628142668960413,0.00792981361492913,0.0361352309071754,0.026826017742309,0.00708428283473303,0.00813193637354595,0
