"","YrBP","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Ericaceae","Fabaceae","Papaver","Pedicularis","Phlox","Picea","Pinus","Plantago","Poaceae","Polemoniaceae","Polygonaceae","Populus","Potentilla","Ranunculaceae","Rosaceae","Rumex","Salix","Sanguisorba","Sarcobatus.vermiculatus","Thalictrum"
"zago28",27000,0.00448518663730653,0.00349494365772976,0.00156846879195052,0.00158685335563032,0.135684815114801,0.0191117602280826,0.0106304315653376,0.00696743872518494,0.0236472965087001,0.00178140382185397,0.00145072109054624,0.000381806598723896,0.000632433431520876,0.00379224776456165,0.00502990096746353,0.00226144726624734,0.00812323824220198,0.683788164635753,0.00141596308365027,0.0017788510058163,0.000539277467435672,0.00243114937377579,0.0157279385045416,0.000263940384293894,0.00578187063259776,0.0286285506971204,0.000939752144174642,0.0067040060078224,0.0213701411727198
"zago29",28000,0.00462787371722952,0.00295062937319558,0.00164116797630143,0.00129889900212453,0.136710701896088,0.0190852335376692,0.0113193124504562,0.00696386413941563,0.0264281038637964,0.0017083611306899,0.00152208607328979,0.000549567786200704,0.000643920981505251,0.00338647695408244,0.00507890694402888,0.00195752366985135,0.00646261389660645,0.676045694396685,0.00170510166424918,0.00221325282104671,0.000391098883865624,0.00265986437638236,0.0185538547507161,0.000431066327417121,0.00674459130477449,0.0286767721027676,0.00100252747034201,0.00841772785036009,0.0208232042804689
"zago30",29000,0.00485219252640057,0.00234252820945806,0.00180554979638316,0.000943321446658996,0.135111794778087,0.0192130521660796,0.0128724800076467,0.00708855712057114,0.0304480095167301,0.00172013615699324,0.00158052038375667,0.000909127163206184,0.000766368166864324,0.00306030770593268,0.00540600837748473,0.00166755644285335,0.00519524796510016,0.665556154967844,0.00214753154305101,0.00269419109765466,0.000273104828037879,0.00285883070270525,0.02138363460698,0.000588669916983804,0.00699804474977727,0.0300163562339853,0.0011421613765466,0.0103810393895979,0.0209775232482167
"zago31",30000,0.00513715224817033,0.00184307475606832,0.0020605340717932,0.000655543875484663,0.130317441592046,0.0197301087090876,0.0154386834203145,0.00708136939992429,0.0345096533609849,0.00182744406938422,0.00157714092184023,0.00132907273477184,0.000886531661475899,0.00272810641523275,0.00565115776280198,0.00140666043429233,0.0042064635952004,0.655263430782842,0.00266368879681442,0.00306384104769197,0.000176204383072935,0.00289288416982701,0.0247081168337463,0.000752141984708743,0.00755897268506091,0.0318380636857779,0.00132206624238879,0.0118816938768383,0.0214927581016071
"zago32",31000,0.00517783140985619,0.00145972301449712,0.00228147186292003,0.000418031911100947,0.121494142599071,0.0207454929140536,0.0192871645418355,0.00698159564321113,0.0389634808154454,0.00202147951659874,0.00163485159809291,0.0017710655216183,0.000979004245391492,0.00233513870084065,0.00587545052827054,0.00118207038434728,0.00329690218872884,0.647030161066256,0.0032978131831361,0.00364594224895209,0.000156962050902017,0.00284113077675366,0.0277801809209201,0.000812903749681573,0.0080975947880723,0.0345624432583196,0.00141115901626294,0.0125640064983094,0.0218948076835819
"zago33",32000,0.00539826513952084,0.00110859097371537,0.00251678825918018,0.000265272093296971,0.11146366304431,0.0216336540338859,0.0248310471831491,0.0070060655959045,0.043698387431337,0.00244544353705564,0.00172821667429788,0.00216848033701737,0.00104860254629563,0.00189512018307138,0.00616856470349505,0.00102828388477824,0.00267419720323788,0.638514917578208,0.00407220131466796,0.00405174852725946,0.000170114149562222,0.00254199923488709,0.030687354874707,0.000710348583680207,0.00864817050007177,0.0383003879737273,0.0013913623643785,0.0122905805668987,0.0215421749995993
"zago34",33000,0.00555572105738633,0.000855876320864013,0.00269774283069229,0.00015227449064801,0.0994138912295582,0.0223111946070169,0.0311971108140994,0.00671737135753823,0.0473956250421966,0.00287265312212296,0.00160963742585346,0.00251663291579991,0.00121438461060836,0.00160360435072216,0.00641754427091164,0.000953411954546625,0.00232769414885948,0.63387762742557,0.00481481075702204,0.00434146380950389,0.000143347450697698,0.00222624820495211,0.0329979911767867,0.00057802769630812,0.00894220488063179,0.0421002054586594,0.00132446559877195,0.0120267430109031,0.020814497975439
"zago35",34000,0.00560624935724941,0.000716744275176909,0.00281392977573905,0.00011705810849677,0.0877333477126397,0.0228325373646197,0.0374568091785108,0.00610800142295737,0.049143168834062,0.00336580242544843,0.00150617076454033,0.00249479808738528,0.0013710000649217,0.00128259770294738,0.00660330682077642,0.00088806901252875,0.00201961128238553,0.633686679270077,0.00540294394542462,0.00464934025671078,0.000118297609029518,0.00184483992448213,0.0350511345151043,0.000427746361665699,0.00966859053577491,0.0447516403948724,0.0012658478074761,0.0113070979108952,0.0197666431816118
"zago36",35000,0.00547582051866253,0.000625348885614504,0.00288108933673478,8.21641652313133e-05,0.0774543601448138,0.0230921617669449,0.0438223746450205,0.00550148643821529,0.0505830628336779,0.00379786677594412,0.00144991850340878,0.00226643629348945,0.00163528954984737,0.00104313239271796,0.00681714522145201,0.000883556512188042,0.0016567849396096,0.632962021925042,0.00604177070612349,0.00507182036513983,8.73169306016169e-05,0.0015245525464078,0.0367295651479015,0.000235146161360697,0.010139090943489,0.0481669213864458,0.00118569575657345,0.0103504240402984,0.0184376788015342
"zago37",36000,0.00570473155651713,0.000488452544651409,0.00277535015277825,4.97983454469648e-05,0.0693212398116358,0.0227011309378881,0.0509536890601625,0.00511171454024543,0.0508658128770833,0.00415577274995211,0.00132288136574152,0.00199085614983717,0.00211074436086227,0.000862057528390972,0.00703332911630213,0.000879208878852417,0.00128443430491419,0.629283278367556,0.00652679854067363,0.00490556294393924,4.2291636748814e-05,0.00126106516755124,0.0387815495408652,7.09441638213718e-05,0.011003350402905,0.0527761563599833,0.0011469331518993,0.00979078614434941,0.0168000820732227
