"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Caryophyllaceae","Cupressaceae","Eriogonum","Picea","Pinus","Plantago","Poaceae","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Tsuga.mertensiana"
"gras15",14000,0.0071582565519164,0.00168770710093707,0.00324443840266911,0.00174434377247792,0.000352739328549075,0.282902938487491,0.0397925559342074,0.00438799658662926,0.00295055396005324,0.00211472054659256,0.00456200886769546,0.554095004886239,4.33828718502131e-05,0.0789465727724959,0.00335054707681793,0.000600007353405637,0.00137690642540333,0.00175277195789493,0.00391981545036781,0.00501673172819655
"gras16",15000,0.00729277030103505,0.00160055094023707,0.00332675299984628,0.00141420579748241,0.000646849655205985,0.287859274142977,0.0409424306836784,0.00484338720782947,0.00314931632540821,0.00205012189547038,0.00380262879365649,0.54895796527977,1.41295738880918e-05,0.0779930237974482,0.00314631481058277,0.00068211762374462,0.00163608739258386,0.00204647821802624,0.00384239559011409,0.00475319901156316
"gras17",16000,0.00791518035563429,0.00161786292700808,0.00333635934075676,0.00108436043039004,0.00098632084815718,0.293499550820733,0.0432306081470421,0.00489966205740886,0.00372148539611037,0.00202610590944646,0.00306869991754475,0.542886683836301,0,0.0748565179697081,0.00301405704039939,0.000634056178177579,0.00195897313438856,0.00222277886528934,0.00400750733966779,0.00503322953117379
"gras18",17000,0.00814959765098094,0.00176136497277028,0.00352544369629887,0.000732541762362599,0.00136736468118826,0.303128783601364,0.0470179962520523,0.00449853843765132,0.00428308114940865,0.00216651712990121,0.0025564410673299,0.532211829798469,0,0.0708496994106442,0.00283256542334771,0.000602833699387783,0.00215830168255183,0.0023602120523306,0.00416204751497148,0.0056348400846111
"gras19",18000,0.00833279294330753,0.00180609722398944,0.00381160002127735,0.00044811318455684,0.00158309816008671,0.312744036454718,0.0504216193640476,0.00421586551437929,0.00468034580376772,0.00242392934793058,0.00233449407317475,0.520599948466499,0,0.0683005401996371,0.0026177812523828,0.000553556885130598,0.00225445662102522,0.0022588220220078,0.00418880788720414,0.00642409457660906
"gras20",19000,0.00836970837467285,0.00184385948146713,0.00402180109067546,0.000334977264212625,0.00166842970369146,0.319621263968273,0.0530380497419571,0.00386357335434953,0.00499198864932586,0.00266681496648683,0.00225313500238098,0.511815886769027,0,0.06693140841103,0.00249355297690832,0.000498918268483262,0.00223986081175181,0.00209514695103884,0.00409727567330568,0.00715434845721331
"gras21",20000,0.00858460266577618,0.00197495172598376,0.0040758013599174,0.000421035986297269,0.00151059410298159,0.325299064771391,0.0556727710799288,0.00354055623071254,0.00520894514846545,0.00287976701928362,0.00230262175237591,0.504750852432784,0,0.0652282824964688,0.00251427708930957,0.000399744676699983,0.00202552922997559,0.00179911371547449,0.00392253280000153,0.0078889555860163
"gras22",21000,0.00836289494118491,0.00206100279304031,0.00412331322876255,0.000520521788421463,0.00138669437815069,0.330920232918084,0.0578570208338378,0.00344208042391549,0.00534853722945264,0.00304866315385667,0.00232255838879589,0.497047265157321,0,0.0651529991209645,0.00254981339807457,0.000348183914401088,0.00186814565594403,0.00161710059048081,0.00363817879263035,0.00838479312854869
"gras23",22000,0.00825379987099176,0.0020698004024285,0.00406258126082975,0.000658814062866894,0.00123778695540944,0.334272889938471,0.0594095071898393,0.00346487699005146,0.00563385455546478,0.00315128106774234,0.0022643180324876,0.490375396554635,0,0.0667859446743136,0.0026162414831896,0.000317245544962808,0.00172234582546564,0.00149858930421463,0.00334760768034866,0.00885711838576633
"gras24",23000,0.00829214455133874,0.00204411772211629,0.00386538262472617,0.000822988500987153,0.00104723584185936,0.335195705422333,0.060858830738357,0.00340761820175794,0.00610003891558485,0.00316455281473293,0.00222754734863421,0.486222853275578,8.04321189993239e-06,0.0683416208851657,0.00267933786527383,0.0003030914,0.00160139958832319,0.00142381576505071,0.00304549357563895,0.00934818153167681
