"","YrBP","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Cercocarpus","Cupressaceae","Pinus","Poaceae","Sarcobatus.vermiculatus"
"ruby38",37000,0.0310303018444415,0.0077759332532658,0.485965213890429,0.0329428344242869,0.00138683017861903,0.0130088521019728,0.403341408929885,0.01632941273767,0.00821921228485737
"ruby39",38000,0.0310814276224734,0.00927183412230216,0.461404116221309,0.031613940161014,0.00219390202124015,0.0142446163090099,0.429265037871189,0.0121838424224049,0.00874128282322713
"ruby40",39000,0.032,0.012,0.432,0.032,0.004,0.016,0.452,0.012,0.008
"ruby41",40000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby42",41000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby43",42000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby44",43000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby45",44000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby46",45000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby47",46000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby48",47000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby49",48000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby50",49000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby51",50000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby52",51000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby53",52000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby54",53000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby55",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby56",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby57",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby58",57000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby59",58000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby60",59000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby61",60000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby62",61000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby63",62000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby64",63000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby65",64000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby66",65000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby67",66000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby68",67000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ruby69",68000,NA,NA,NA,NA,NA,NA,NA,NA,NA
