"","YrBP","Abies","Acacia","Acalypha","Alnus","Alternanthera","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Begonia","Bignoniaceae","Brassicaceae","Brosimum","Bursera","Buxus","Byrsonima","Caesalpinia","Casearia","Cassia","Cecropia","Celtis","Connarus","Convolvulaceae","Croton","Dodonaea","Eugenia","Euphorbiaceae","Ficus","Gustavia","Hedyosmum","Hieronyma","Hymenaea","Inga","Iresine","Juglans","Lindernia","Liquidambar","Machaerium","Malpighiaceae","Mandevilla","Melastomataceae","Meliaceae","Moraceae","Myrica","Myrsine","Myrtaceae","Olacaceae","Oxalidaceae","Paullinia","Pinus","Poaceae","Portulacaceae","Protium","Psychotria","Quercus","Sapium","Schinus","Spermacoce","Spondias","Trema","Ulmus","Vitex","Vitis","Zanthoxylum"
"pete66",65000,0,0.00131192695326089,0.000101556641507883,0.00678894454309764,0.000288925603860128,0.000786562215463528,0.00229200657212258,0,0.00750886087679813,0.00783596888228912,0.00151752247565226,0.000739827121138639,0.000962021561510513,0.000870932818970194,0.000313630635129137,0.00156141858035905,0.00912855974809706,4.29668236884936e-05,0.00108389098951946,9.42568090814934e-05,0.0279101905258027,0.000487128658490473,0.0069504578096158,0.00104647651643185,0.00143670203481184,0.0034165047186529,9.99646075838032e-05,0.000447843391536653,0.00116425561881237,0.00135317794109524,9.87338314564256e-05,0.00113518711247472,0.000568186037179213,0.000509818338188633,0.00542778498531902,0.000342487013752117,0.000162352160315321,0.00249145490203364,0.00140436437726667,0.000374386943758528,0.0577406167136798,0.00015920835669193,0.00781102156967301,0.02635997308428,0.00106484495891627,0.0119653717455571,0,0.000361421045670508,0.000684155370435826,0.291116709460067,0.0316086303958604,0.00260801979066862,0.00235488242915975,0,0.447808391842455,0.00544014838227268,0.000105390379642264,0.00114446572317392,0.00347041644889605,0.000958150550569648,0.000982964825965443,0.00240948868301083,0.000452660011738208,0.00333582984958982
"pete67",66000,0,0.00147862550161285,9.19674076851451e-05,0.00675787867394666,0.000292722871961358,0.000733743076419141,0.00340257146042699,0,0.00776366266469356,0.00887260980285824,0.00155099202989591,0.000901679788899604,0.00123196409262246,0.00116427074021482,0.000328753533919723,0.0018488970801686,0.00999088381518739,5.48291956453061e-05,0.00141587867151907,9.64515633999534e-05,0.0330274301522397,0.000569447839172292,0.00892455904150178,0.00117651886653254,0.00129279663393303,0.00353846923128596,0.000143555355417179,0.000623801130757208,0.00118947088437365,0.00145822818312494,9.25110033919723e-05,0.00128464778501713,0.000621628010491836,0.00051583538089854,0.0059130176051262,0.000321996027917262,0.000190123784219015,0.00282326039890592,0.00135961283526487,0.000179986919557048,0.061359188522397,0.000189715724169466,0.00906743816668884,0.0258363139439327,0.000967723714475741,0.0102049733167587,0,0.000443129261414652,0.00083860762251006,0.262769856650876,0.0286161419417462,0.00335879921161584,0.00273022641970669,0,0.458909712867264,0.00696236586961691,0.000142684241004622,0.00121838738557082,0.00408843327333644,0.00119487158859034,0.00100636737831299,0.00255110192210934,0.000496809836353962,0.00382187148993216
"pete68",67000,0,0.00165342736105253,8.2079222915809e-05,0.00664654405965873,0.00032128475150176,0.00065099874457056,0.00505558854997606,1.92800718156385e-05,0.00808382966186664,0.00969548372236551,0.00157109787360011,0.00104272109591941,0.00145126635554118,0.00148502040101826,0.000349614428995102,0.00203327115895553,0.0104420456709906,4.80296573970612e-05,0.0016109684826888,9.80585246372672e-05,0.0378864237211725,0.000665068302880859,0.0108260738262075,0.00131851408445143,0.00121726278630059,0.00367631850300352,0.00018044055594949,0.000814268265805237,0.00118589992959581,0.0016077526691675,6.71913397296412e-05,0.00152042324377662,0.000639483102959833,0.000549291671251061,0.00649414562332076,0.000304097846034933,0.000232413939736362,0.00306346717853092,0.00146813674562074,0.000124159171028422,0.0623653508114377,0.000226457863896427,0.0105750186163644,0.0249010803524999,0.000919715697505608,0.00870563893687987,0,0.000522885657405463,0.000944888751594176,0.247158445114924,0.0268639330919035,0.00431399535118082,0.0031520220571719,0,0.458800812185118,0.00836231342276962,0.000171889034042696,0.00125205001130836,0.00484614645014997,0.00154037944936023,0.000928166648869584,0.00270993917691784,0.000583768229897418,0.00397366052703168
"pete69",68000,0,0.00168665125573236,7.23658437281248e-05,0.00635245868988919,0.000385457078810333,0.000571740192834338,0.00678803728937529,4.99158893308975e-05,0.00833937708748357,0.0094581573060559,0.00160670378671185,0.00113740085986239,0.00157598088595038,0.00167865217875741,0.00038571501362449,0.00207749515060354,0.0108145991338802,3.73093663331683e-05,0.00176742935176965,7.31162350992812e-05,0.0415985282828448,0.000735940505156135,0.0128285790311929,0.00146343283718052,0.00118276812278261,0.00396836083827321,0.000203453526096532,0.000952583310648614,0.00123050880987178,0.00180837530647419,5.27942265540967e-05,0.00181067494652644,0.000650840087637227,0.000625909380802786,0.00708074317996107,0.000327057237233443,0.00030765244399959,0.00326631255622236,0.00175677609730071,0.000112074929145823,0.0624964292082601,0.000258252037031978,0.0113270370674139,0.024169509471112,0.000920841201191716,0.00764879080830957,0,0.000588393954960646,0.00106167515809018,0.239745507644739,0.0263011235764713,0.00525534358680917,0.00358366492139455,0,0.452263899201678,0.0101877732402383,0.00029987921279302,0.00124667606855782,0.00546239274162128,0.00185364504906865,0.000803116883969883,0.00296666308993358,0.000641313354134299,0.00409614430801079
"pete70",69000,0,0.00156164836418169,7.26544332004161e-05,0.00627016819563974,0.000439772155998613,0.000506552968489945,0.00834366137803398,8.14809735436893e-05,0.00861049348622573,0.00892700343052184,0.00167318983100728,0.00118789716933946,0.00161435919703537,0.00180198115977809,0.000393492130877254,0.00183254837922157,0.0106057459589546,3.07205599081137e-05,0.00185948794531033,4.73158114771151e-05,0.0433717934381675,0.000798165690247919,0.0145866673441054,0.00171828341122573,0.00122483248203883,0.00418172259810159,0.000235380896012483,0.000989048703692788,0.00125331941308946,0.00201327583414528,5.80918860870319e-05,0.00222033179952323,0.000677835350346741,0.00073015403125,0.00719503112003294,0.000359567721055825,0.000339996072234743,0.003376250884362,0.00205765986080097,8.69270661407767e-05,0.0612161982510229,0.000250899781414702,0.01142987579668,0.0237028893346047,0.000948394707732316,0.00680402126670423,0,0.000612958045284327,0.00111950803512483,0.240618279275425,0.0268470531143637,0.00592041182184466,0.00392468234544036,0,0.442978804240655,0.0121416094595527,0.000854573428788141,0.0011816546923457,0.00558638766298544,0.00209537441846394,0.000680822005331137,0.00325634111321949,0.000585420035324202,0.00390933228538488
"pete71",70000,0,0.00141879836830257,7.02277379452907e-05,0.00645900592170242,0.000451535019830599,0.000444600569306367,0.00944676907695744,0.00011344822153512,0.00871765621096289,0.00829096072287088,0.00167757505505969,0.00110688583095816,0.00154122387506022,0.00183729117297468,0.000391024032785306,0.00155147216035282,0.0103470404425184,2.38015695516217e-05,0.00176043800555327,3.50792873159494e-05,0.0434184208056444,0.000743549779515972,0.0160309906096946,0.00202621293449946,0.00135894761666681,0.00392395051889776,0.000241436826070581,0.000975783832736255,0.00120231479874219,0.00213968599045258,7.4433131053632e-05,0.00255790193840602,0.000638109856788739,0.000840958031313777,0.0070807786457295,0.000401418675738173,0.000307929011229164,0.00333598785642086,0.00239146089168499,6.06754259111652e-05,0.0595976563122531,0.000285569227482547,0.0111684030299298,0.0234643660727531,0.000973511958420559,0.00606817179219915,0,0.000616670683288516,0.00113850851214449,0.250636912796421,0.0281778830705808,0.00610350801428609,0.00395496689892,0,0.430519968455053,0.0136652247947656,0.00141931320561108,0.00108064133344136,0.00537971923828252,0.00226969972870444,0.000608003944835198,0.00343955833434355,0.000514166436203106,0.00348179618094546
"pete72",71000,0,0.00133231301797085,9.61698254486134e-05,0.00663951373861145,0.000437325666438632,0.000503000043835184,0.00946713020718658,0.000148230327518462,0.00859268715836973,0.0077253805377572,0.00174591040985634,0.000966004093906225,0.00142921172033363,0.00183572107653178,0.000383089758108369,0.00118860458459191,0.0101900604220035,1.65832043273869e-05,0.00143348968862811,3.50108578908593e-05,0.0433028774356417,0.000707498150721816,0.0172712011306285,0.00244686851095441,0.00145849250198214,0.00409143087299374,0.000244074572892,0.000870651655799961,0.00119593653931835,0.00218150466583346,0.000103557861679735,0.00280825548690558,0.000582288578926134,0.000916904401822519,0.00675173657978565,0.00048343731493273,0.000268051311415741,0.00330335430358364,0.00279776014836254,3.3559230560087e-05,0.0600688979701801,0.000370673014725745,0.0110536097915943,0.0229626240404498,0.000997872137802803,0.00551553705926257,0,0.00056726284662948,0.00109714597003105,0.262983577674104,0.0305382848610132,0.00612938375823116,0.00386517417840166,0,0.414375998591556,0.0152689640016401,0.00197770414096897,0.000956320353689768,0.00510770420768651,0.00244447391097897,0.000591047704336157,0.00363774019894227,0.000477558433036889,0.00302756819477626
"pete73",72000,0,0.00124283997159116,0.000121986971898044,0.00671299044796535,0.000424729413111908,0.000608105179773606,0.00850266249223579,0.00015622013579251,0.00841749058338083,0.00744826983742076,0.00191332260808074,0.000827735445185841,0.001278512234522,0.00179871349022788,0.000344818823838876,0.000956369600952222,0.0103174929687853,1.91788859174565e-05,0.00119222497776394,3.51713203535323e-05,0.0427989417021193,0.000635112558189901,0.0184623567711335,0.00292463020716534,0.00155847063047462,0.00413366791332673,0.000268366818402616,0.000723446349104332,0.00124684757388491,0.00204913580296188,0.000142396971845435,0.00289748288063902,0.000579697467676174,0.000927775375470193,0.00601196972286473,0.000588952966549466,0.000227709295346737,0.00326056073601698,0.00297831672850266,6.36201413427562e-06,0.0612312144289735,0.000472362902726021,0.0104609091414217,0.0222706811514963,0.000969591780418943,0.00501372643819762,0,0.000513657435812677,0.00105840338069602,0.278040381435488,0.0332177659739849,0.00611983913078589,0.00367169892148989,0,0.397000818076888,0.0169850288813843,0.00253813135880192,0.000866684590851301,0.00456103872998448,0.00240663346834255,0.000720718861305228,0.00388970431177827,0.000410467631176073,0.00283950679823585
"pete74",73000,0,0.00134391747407556,0.000154727292708804,0.00674615886676871,0.000374683689176262,0.000740676489094514,0.00746521449378196,0.000141036258279125,0.00821006424905208,0.00740514999042509,0.00219656800546144,0.000824606598514628,0.00115742367849689,0.00181431483413052,0.000279650258331304,0.000854516416791317,0.0104164445636588,2.33540738163982e-05,0.000985293406338053,4.88657156833757e-05,0.0428135185160017,0.000569245750565276,0.0193570431361359,0.00337191028844749,0.00167182867221797,0.00416716952586357,0.00029503737320416,0.000687843297274498,0.00132154735826347,0.00179140789605872,0.000160632053875187,0.00280354245643024,0.00061163929059554,0.000828633797431036,0.00493990437270846,0.00062901797234494,0.000195869021984903,0.00314952622424949,0.00272257193470623,7.14785716770446e-07,0.0622836320166539,0.000588285674618221,0.00991263775410478,0.0216253552690281,0.000987679733511323,0.00458397517421818,0,0.000494639025159147,0.00102425939606742,0.29254624105224,0.0357267924204874,0.00606977393518454,0.00338208072013601,0,0.381237020840114,0.0180933703807267,0.00279528062067346,0.000809675053266428,0.00415303042878387,0.00235809129558737,0.000880361617186141,0.00411093871332661,0.000383566688724041,0.00268204269006331
"pete75",74000,0,0.00157875786836347,0.000175821505032909,0.00652000016055538,0.000321737555207538,0.000855921395862116,0.00657367498431346,0.000125442615113316,0.00805760187877254,0.00746241627692585,0.00240362254219835,0.000898702212686535,0.00107960459815675,0.0018042886795929,0.000250415339560468,0.000941208684201042,0.010926708937005,1.83983870663246e-05,0.000824507917568414,6.20140896999133e-05,0.0434527870177546,0.000513314144817348,0.0200940029532064,0.00380488382094342,0.00176456231368797,0.00435460527472905,0.000288082569486755,0.00072459747541898,0.00138104956133456,0.00149490990293737,0.000179829681154694,0.00251062006418783,0.000605103690285155,0.000688676278436151,0.0039473215327847,0.000652052140252118,0.000217617245552762,0.00311204321126205,0.00243107139127972,2.68278666128908e-05,0.0641446187239237,0.000738015936610231,0.0095590049290673,0.0211759348605374,0.00101122266429252,0.0042731583983421,0,0.000524592352561077,0.000978510931409987,0.303465633441205,0.0383233842723692,0.00624538500849545,0.00308021852930071,0,0.366304254493362,0.0191292550551775,0.00217644030454893,0.000839414216839865,0.00402178446003278,0.0023893952026722,0.00101579189478517,0.00425987365182395,0.000444686089150713,0.00277462104505162
"pete76",75000,0,0.00183053015672986,0.000198038640103044,0.00597783274533607,0.000286827743871228,0.000939834629125135,0.0058127278835786,0.00010960172470198,0.00815112738117928,0.00775801270108769,0.00263261817500673,0.00102281606740807,0.00109439722932381,0.0017970941618063,0.000208095893108499,0.00109886367773437,0.0117130554597673,1.34917180765086e-05,0.00081401241220198,6.79159356899919e-05,0.0455326562488803,0.000505888260641164,0.020408974741977,0.00424202547763167,0.00184574032583513,0.00460911372142713,0.000278244706155711,0.000751690074210331,0.00141654180714574,0.00129958687218817,0.00020032062859476,0.00219221613307348,0.000601843121447333,0.000559855480856008,0.00304217938656721,0.000634154189166891,0.000297535253998855,0.00312703152108028,0.00216320582097757,5.1946994376347e-05,0.0679263204608449,0.000847957836190059,0.00939795286538591,0.0205860394650711,0.00109455186819774,0.00422519919351091,0,0.000582299028817012,0.000941481030559671,0.309456171839355,0.0407247459882139,0.00657811706021013,0.00285770460415544,0,0.351440595601739,0.0201486664264126,0.00156444056446996,0.000878119139791554,0.00395098444746767,0.00253048598564622,0.00111101486884597,0.0042758336651906,0.000596204412521889,0.00299746832653388
"pete77",76000,0,0.00191282552981648,0.000170064643453214,0.00529595627328615,0.000253990317241379,0.000865168599111184,0.00452883417722821,8.74552671961155e-05,0.00825550178502181,0.00864837577819932,0.00284009878916139,0.00114780481073163,0.00108549881496996,0.00175636090714344,0.00017404652014649,0.00139358581471484,0.0127790960623652,1.59296124927989e-05,0.000945971176775574,6.7599337544235e-05,0.0469282430384742,0.000467306745362522,0.0204667389919924,0.00447201251892025,0.00190997415219324,0.0043427079491153,0.000251039742539709,0.000825358335141141,0.00143065109772858,0.00112711455586371,0.000204278302584149,0.00189946101944696,0.000575534015439059,0.000456200833149535,0.00212872765076125,0.000562293278470908,0.000385179117858612,0.0029769564532878,0.00188660311260802,7.58341846761583e-05,0.0735568432318821,0.000871146371994075,0.00929351150819686,0.019236513719233,0.00114785872059913,0.00402395600466628,0,0.000660100995218501,0.000911882989679862,0.316542676229635,0.0417994767718295,0.0066178118330014,0.00265896839984363,0,0.338305487951683,0.0209637827098099,0.000971392461608098,0.000903961107596083,0.00396897845036622,0.00266642103550325,0.00119125033411242,0.00409896602208049,0.0006754241780265,0.00333720903272982
"pete78",77000,0,0.00202032354175546,0.000157522396397411,0.00471961849442322,0.000271628111278195,0.000800038346483857,0.00381834567161755,5.96358459651803e-05,0.00822614823659684,0.00976348823802018,0.00298801687674802,0.00127248049418198,0.00110375977934944,0.00162332691083591,0.000175103175915725,0.00164111467816332,0.0141027721879941,2.35260521410478e-05,0.00106390141017249,6.72322343693458e-05,0.0489186643985767,0.000449922364432472,0.0203324526866793,0.00454834707467331,0.00199208741760283,0.0042606369540509,0.000204043026448474,0.000971406440086848,0.00142225339039846,0.00105352400711672,0.000222204473684211,0.00176234102764666,0.000484464722415665,0.000375487163555949,0.00146026475910096,0.000483259946194363,0.000468528017458084,0.00287163598303245,0.0017841377177516,9.85786802299867e-05,0.0802346992362108,0.000831668890362269,0.00947267403157895,0.0176539581880745,0.00127955224100358,0.0039043236014153,0,0.000795113982638414,0.000901419484765389,0.319171889041607,0.0428810875199711,0.00660128881338105,0.00253825653011137,0,0.32553023130084,0.0219655406160669,0.000403982855614973,0.000953289583868763,0.0041869972860279,0.00311134045106349,0.00117221138851675,0.0038445988715693,0.000849239071488883,0.00365441315781432
