"","YrBP","Alnus","Ambrosia","Artemisia","Asteraceae","Betula","Caryophyllaceae","Ericaceae","Micranthes","Picea","Pinus","Poaceae","Polygonaceae","Ranunculaceae","Salix"
"fog016",15000,0.1385613657447,0.00195118665885451,0.00297607951257406,0.00391832893693219,0.556261670275576,0.0114584338135616,0.143081661464121,0.00150820083238973,0.00195118665885451,0.00244579797314022,0.058492551719289,0.0198591388292298,0.00176628789743252,0.0557681078244898
"fog017",16000,0.142102475344719,0.00172114591213483,0.00280352756910112,0.00419131760831461,0.561113756820225,0.0114646450462921,0.136952119391348,0.00138778953730337,0.00172114591213483,0.00244273374213483,0.0581261007832584,0.0215694487239326,0.00238837067022472,0.0520154214670786
"fog018",17000,0.141102899027424,0.00147622167033604,0.00308882234347238,0.00453369552278872,0.564496529467362,0.0117670277164929,0.132059699918019,0.00108977248764002,0.00165377184878331,0.00258088056479336,0.0597052291683082,0.023087234958961,0.00294813083864426,0.0504100832986674
"fog019",18000,0.138786295915183,0.00123480937342182,0.00324709187350275,0.00502452620864357,0.568354228242473,0.0119105866001942,0.12884623351821,0.000827131829232761,0.00170996052654581,0.00265552299522499,0.0613207758390256,0.0238741429455325,0.00322152694763678,0.0489871662869051
"fog020",19000,0.135333176939797,0.000922127451045627,0.00353836894114385,0.0056904514380545,0.56612608690621,0.0121001670614702,0.129684870377297,0.000583130281844106,0.00170660350047529,0.00279703457327313,0.0639578284837611,0.0248125983899715,0.00317765592593473,0.049569899204135
"fog021",20000,0.131081654717145,0.000650104781723238,0.00362832854821584,0.00642174608006963,0.5674673334745,0.0120991868473455,0.130243679855091,0.00036774583794604,0.00186294060835509,0.00283772672576153,0.0661096931114882,0.0249042113342907,0.00299299956788512,0.0493326482691906
"fog022",21000,0.125592758649706,0.000440808007782101,0.0034427414685224,0.00724844771355881,0.572262470736606,0.0118191572924274,0.131613979932156,0.000220404110346204,0.00223345907512721,0.00274087227367056,0.067658891358675,0.0237308674638332,0.00250575885812631,0.0484893829761548
"fog023",22000,0.120333698661624,0.000554494245597447,0.0033126797294646,0.00778249111133436,0.574660181434228,0.0118957965254698,0.133271176619076,0.000138744048930386,0.00262769248481267,0.0026310930387661,0.0694634995385888,0.0233474049528425,0.00196455821829571,0.0480164894518378
"fog024",23000,0.113457509576846,0.0014421315294846,0.00344510233570655,0.00789013578285095,0.57433076831992,0.0131446446992726,0.132678801172264,2.1469803126451e-05,0.0031875160368364,0.00252421269168859,0.0733980983742455,0.025885912290048,0.00148273116932363,0.0471109666076459
"fog025",24000,0.108493366378074,0.00295412204805707,0.00343194847550216,0.00728329608278581,0.579225895840999,0.0148425095599775,0.126997574005632,0,0.00389508850234654,0.0022806755282523,0.0761298242613103,0.0292437491807772,0.00131783862643139,0.0439041120322883
"fog026",25000,0.106415925457703,0.00458378364323662,0.00369192097997548,0.00623618185124642,0.579424819858194,0.0169316763342869,0.120284889922763,0,0.00432798619779322,0.00216399309889661,0.0787956111164691,0.0341191494295055,0.00152792788107887,0.0414961349133633
"fog027",26000,0.106886736042092,0.00595207726808337,0.00419215739190846,0.00508858091131998,0.574245902203923,0.018976760314671,0.114664587511647,0,0.00441626327176134,0.00220813163588067,0.0812526544348181,0.0394893337368206,0.00198402575602779,0.0406427904098897
"fog028",27000,0.114470939001725,0.00643710187176538,0.00444755520701553,0.00421332421391604,0.579827422991949,0.0181401499758482,0.106504254834963,0,0.00421332421391604,0.00245800854226567,0.0766582241799885,0.0389725385957447,0.00222377754916619,0.0414333796043703
"fog029",28000,0.127395245883075,0.00597973480256853,0.00441804763561434,0.00377071083457926,0.594640213101208,0.0147025203036228,0.0975044520747556,0,0.00377071083457926,0.00285636046866015,0.0661977976896684,0.032908737177305,0.00220902366762507,0.0436464459260111
"fog030",29000,0.140319552764424,0.00552236773337167,0.00438854006421315,0.00332809745524248,0.609453003210466,0.0112648906313974,0.0885046493145486,0,0.00332809745524248,0.00325471239505463,0.0557373711993483,0.0268449357588652,0.00219426978608396,0.0458595122476519
"fog031",30000,0.153243859645773,0.00506500066417481,0.00435903249281196,0.00288548407590569,0.624265793319724,0.00782726095917194,0.0795048465543416,0,0.00288548407590569,0.00365306432144911,0.0452769447090282,0.0207811343404255,0.00217951590454284,0.0480725785692927
"fog032",31000,0.166168166527123,0.00460763359497796,0.00432952492141077,0.00244287069656891,0.639078583428982,0.00438963128694652,0.0705050437941346,0,0.00244287069656891,0.00405141624784359,0.0348165182187081,0.0147173329219858,0.00216476202300172,0.0502856448909335
"fog033",32000,0.168888983173905,0.0039575834231873,0.00425957852056629,0.00182779366290415,0.6600922455881,0.00212978891218672,0.0635916804706333,0,0.00212978891218672,0.00365558817390473,0.0261772833967859,0.0109509410506983,0.00182779366290415,0.0505109505077482
"fog034",33000,0.161735352410561,0.00351329932140807,0.00419564088903769,0.00141547837688923,0.674431475547924,0.00209782028773675,0.0622522704840252,0,0.00209782028773675,0.00283095741056055,0.0238599564405969,0.0111714436334417,0.00141547837688923,0.0489830065628468
"fog035",34000,0.144556981378997,0.00299191940042201,0.00432138619315046,0.00203543298458043,0.67491092892209,0.00265582641567927,0.0720142231321214,0,0.00218055204999188,0.00221716221636098,0.0310676568480766,0.0112573114797922,0.000851084803765622,0.0489395343838663
"fog036",35000,0.137975905723939,0.00242526537315498,0.00443748101199262,0.00291490388699262,0.665230860955604,0.0033776978133072,0.0790947843026983,0,0.00260934952375461,0.00214132510435886,0.0418458904449954,0.0105509418723478,0.000476631845710332,0.0469189622331642
"fog037",36000,0.148652956689314,0.00203600170179407,0.00405963062722309,0.00322458442909516,0.653088957141732,0.00389676202059282,0.0782827140946958,0,0.00285620229672387,0.00232016353127925,0.0467758935473479,0.0106150568,0.000313819763338534,0.0438772575218409
"fog038",37000,0.157265531725435,0.00178382955814621,0.00381161116246482,0.00416903094842933,0.635322183287199,0.00421631914615517,0.0801697429811061,0,0.00292692021087693,0.00286842652535462,0.0520376160914259,0.0108919462285649,0.000576980984896342,0.0439598612287372
"fog039",38000,0.159553071755703,0.0017288230422813,0.0042676605785163,0.00509154948825043,0.616465313680231,0.00464513590527444,0.0853886539575043,3.48065287307033e-05,0.0029219464733705,0.00333853651213551,0.0568160037014151,0.013002433860506,0.00108217422885935,0.0456638902495712
