"","YrBP","Alnus","Artemisia","Asteraceae","Betula","Brassicaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Picea","Plantago","Poaceae","Populus","Ranunculaceae","Rosaceae","Rumex","Salix","Thalictrum"
"joe011",10000,0.0810084745243899,0.0191402270701111,0.00232339134210403,0.509620346687173,0.000276769528709065,0.00138085626091085,0.133258044234817,0.00587071182454707,0.0048952696279962,0.000916605674340057,0.117160920849809,0.0326827850356276,0.00190645763051768,0.00387393970765627,0.00068379778254576,0.0833122771576469,0.00168912473441975
"joe012",11000,0.0539984227827551,0.0224655892435183,0.00293919325863517,0.494080563189823,0.00038561360712387,0.00169423588502878,0.152293330571142,0.00518865378018938,0.00413792465473962,0.00159837246079406,0.131932474825193,0.0286845535798411,0.00229612906607648,0.00434149467115857,0.000799619720207414,0.0906840051014955,0.00247982334972918
"joe013",12000,0.0357838094511177,0.0257718490892957,0.00370281971995594,0.470800923903328,0.000531663470725663,0.00215426849266994,0.174521166786707,0.00460408901697136,0.00391824537462974,0.00256499834219727,0.145058164095328,0.0238624918151674,0.00248537853803536,0.00464118798273661,0.000844155860507806,0.0951334036913449,0.00362138419052307
"joe014",13000,0.0183303923357701,0.0313186449089789,0.00478909477961494,0.430656279948788,0.000785400568942873,0.00288317843345992,0.198459678605993,0.00392697820683371,0.00387787868400208,0.00406179578792291,0.164163896635081,0.0201759947613802,0.00264998314209063,0.00502648221972327,0.000885611355501481,0.102685280153453,0.00532342938305216
"joe015",14000,0.0105834044211309,0.0381752812923948,0.00631977257488575,0.372626279476966,0.00121516484391242,0.00400947582418662,0.224207793696133,0.00330726808497374,0.00419086535558284,0.00573739925050133,0.191152434653093,0.0150750383360753,0.00303314390711411,0.00534245673536594,0.000982062855303185,0.106884011068031,0.00715814766961326
"joe016",15000,0.0107322092887685,0.0458013911854957,0.00845259390422442,0.300083724314164,0.00176416345024819,0.00598672318094375,0.255501513223847,0.00280730762334452,0.00426821519888365,0.00765661118934728,0.224941625455233,0.00542129981796461,0.00361410727257935,0.00572551381137361,0.00101247946398632,0.106916874610863,0.00931364715048094
"joe017",16000,0.0124136802570476,0.0536113005276508,0.0113026490871746,0.219349284577651,0.00261341185666667,0.00892811513565079,0.287102826035651,0.0024181631452381,0.00496273208003175,0.00928112545034921,0.261008017254413,0.00150361049149206,0.0046813024195873,0.00560462730495238,0.0011070292208254,0.102374469125111,0.0117376561405397
"joe018",17000,0.0135439001023352,0.0621274705188379,0.0148682341608917,0.131040504990266,0.00371808439466384,0.0122638292184899,0.312986735524335,0.00215970467135724,0.00536663175977203,0.00970364294578101,0.307548394123367,0.00129548385993847,0.00708209353613759,0.00534223674378373,0.00150549939607606,0.0956671830510415,0.0137803710009079
"joe019",18000,0.0105262136563363,0.0613315140151587,0.0171050407913495,0.116470579094792,0.00480350804668867,0.0146014920585461,0.325622985672775,0.00245531670888634,0.00474193563113926,0.00651128141858115,0.332892194827865,0.000815713631004514,0.0107605627585394,0.00430151851741562,0.00206265819079701,0.0715888792897662,0.0134086054484942
"joe020",19000,0.00375988656017396,0.055177726077026,0.0170521929473112,0.145481824331103,0.00544653543832065,0.0153853142280672,0.330840425198879,0.00284075800518525,0.00301998691778874,0.00299816198160074,0.329522465050263,0.00019914915321569,0.0140461799436313,0.00342758175043907,0.00268950080153885,0.0549111750480054,0.0132011359118508
"joe021",20000,0.00427575267948086,0.0493884977882372,0.0155892587693445,0.167525414486118,0.00557209944997536,0.0139332061099064,0.333312234374897,0.0028240178342369,0.00310395624116971,0.000845270446525382,0.319675945539018,0,0.0161033128390011,0.00284978798554296,0.00338096823788401,0.0481014914110399,0.0135187848076228
"joe022",21000,0.00450794940925096,0.0470065833713188,0.0140845298415493,0.187714056398688,0.0051762714146927,0.0126906211677337,0.329672669738316,0.00271941409651088,0.00339587353040973,0.000200064007682458,0.311757347371799,0,0.0163058961392446,0.0025864589346991,0.00323180416517286,0.0452369331744558,0.0137135262960948
"joe023",22000,0.00399696452740499,0.0433323879938543,0.0116398969724069,0.203091385964881,0.00466538825623981,0.0121096777313433,0.327325596646557,0.0032199635597642,0.00364055704577951,0.000647534901793553,0.298558228009407,0,0.017524767509344,0.00306815461984197,0.00346772732848363,0.0500488702114637,0.0136628977930515
"joe024",23000,0.00298524619204453,0.0386842904973958,0.0100516684225899,0.210176033928666,0.00390383869628268,0.0113789459277471,0.327567104302492,0.00391892486351103,0.00392596966656454,0.0013047559486826,0.28778132165242,0,0.0201972910580576,0.00363658160922181,0.00382629201087623,0.0563760681499694,0.014285666074806
"joe025",24000,0.00217559497914091,0.0366409308749614,0.00971590577356304,0.211120652898486,0.00352974164234394,0.0105896877724428,0.326835875709904,0.00405460392950402,0.00388103660889215,0.00170802006717398,0.283859881628786,0,0.0227549419581659,0.00395625833942367,0.00365966666953801,0.0606730090163782,0.0148441912414632
