"","YrBP","Abies","Alnus","Amaranthaceae","Ambrosia","Anacardaceae","Apiaceae","Artemisia","Asteraceae","Betula","Brassicaceae","Bursera","Campanulaceae","Caryophyllaceae","Celastra","Cupressaceae","Eriogonum","Euphorbiaceae","Fabaceae","Lamiaceae","Moraceae","Opuntia","Pinus","Poaceae","Polygonaceae","Quercus","Rhamnaceae","Rosaceae","Rubiaceae","Ulmus"
"tehu29",28000,0.00436061711428057,0.0203931202006276,0.00411879476724626,0.00147911335325891,0.00261432791517053,0,0.00269016277467977,0.0184386702256546,0.00169474110854468,0.00150631567670662,0,0,0.00019510919553475,0.00200500272802099,0.0440898939170225,0.000444650120042183,0.0037605151040177,0.00312962733080405,0.00165771695444725,0.0030163675203457,0,0.663078140278924,0.0751272171449406,0.00116380146489017,0.133314922697875,0.000898667352538711,0.0101586823405525,0.000468713829157878,0.00019510919553475
"tehu30",29000,0.00468189649286803,0.0204449228337117,0.0042880794818228,0.00162391864922921,0.00272888847630019,0,0.0030000862873793,0.018874910797154,0.00180792571241741,0.00152967205071997,0,0,0.000133799468202609,0.00229261038265289,0.0426032400840928,0.000107944406979502,0.00389739076395053,0.00290679772187024,0.0016628504743012,0.00249441840470947,0,0.665648915461257,0.0758275608320515,0.000821125465593766,0.1312366835505,0.000878882237912926,0.00988862559634084,0.000485055268507539,0.000133799468202609
"tehu31",30000,0.00481827616345814,0.02019701535885,0.0045531649100096,0.00155973828992977,0.00280770628437168,0,0.00333239214309535,0.0191718590493659,0.00183988858400283,0.00157881462649689,0,0,1.58014907786368e-05,0.00246025676196251,0.0415990589696327,0,0.00414136588479612,0.00298397968900005,0.00170122974488404,0.00208322459254206,0,0.667193261374716,0.076700111182962,0.000640042254004346,0.129873450941994,0.000916319962811379,0.00929123610216765,0.000526004560153605,1.58014907786368e-05
"tehu32",31000,0.00496447246877403,0.0202189454756941,0.00485661569705254,0.00165620847432721,0.00312989780179411,0,0.00374377171328492,0.0192696552170867,0.00185563639179838,0.00171419908355404,0,0,0,0.00257848240717642,0.0424704142434857,0,0.00444921274891072,0.00284058496582657,0.00159971746099957,0.0018391009043144,0,0.666337658269201,0.0772289120505767,0.000417592477146519,0.128828929326527,0.00092227393284921,0.00852206735155916,0.000555651964972234,0
"tehu33",32000,0.00541959585248417,0.0208446790295415,0.00510973285440246,0.00227157903165164,0.00378731192902359,0,0.0042245206664109,0.0194084346652599,0.00167929220832534,0.00203529974851333,0,0,0,0.00326572476347593,0.0437249647128333,0,0.00534803245194706,0.00215387108900825,0.00175201218051026,0.00125616996873202,0,0.661649912038941,0.0764461372641473,0.000200929454248993,0.129499112218876,0.000994145731824286,0.00843023910991751,0.000498303520046039,0
"tehu34",33000,0.00611972616098335,0.0229176495289453,0.00937527547184774,0.00355939927993656,0.00381773202696273,0,0.0049041459072165,0.0219148847660587,0.00234381902616971,0.00247298539968279,0,0,0,0.00477497953370341,0.043434704074544,0,0.0072897891927042,0.00134474662727994,0.00134474662727994,0.000129166373513085,0,0.64835944166931,0.0719478482323553,0,0.136355321641554,0.00121558025376685,0.0063780588739096,0,0
"tehu35",34000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu36",35000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu37",36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu38",37000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu39",38000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu40",39000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu41",40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu42",41000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu43",42000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu44",43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu45",44000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu46",45000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu47",46000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu48",47000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu49",48000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu50",49000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu51",50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu52",51000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu53",52000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu54",53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu55",54000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu56",55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tehu57",56000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
