"","YrBP","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Carya","Ceratiola.ericoides","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gordonia","Iva","Moraceae","Myrtaceae","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Sabal","Serenoa","Taxodium","Ulmus","Vitis"
"anni11",10000,0.038176434315574,0.094342110842821,0.00144905911792149,0.0465477137902377,0.0191091439873691,0.00291920505759591,0.00145374547238076,0.00316686047803861,0.00107836819298725,0.00112389825291578,0,0.0101460677785498,0.000186502565809718,0.0134997629875428,0.000996365871482456,0.249537164672291,0.10099341950876,0.00500638237016725,0.404677712809792,0,7.78513772395652e-06,0.00043221170167254,0.00329387746950221,0.00185620760429798
"anni12",11000,0.0397724795538648,0.111655266512278,0.00177559777723479,0.0537947700341357,0.0178776737205516,0.00223694709243982,0.00214763298270231,0.00239969013724447,0.00143132680394339,0.00131970073893795,0,0.00813811813310754,0.000266118335478408,0.0139995862317648,0.00154941517205758,0.242559648635418,0.0885756617768719,0.00616592253738962,0.397512521934003,0,0,0.000428861380283053,0.00447167436530785,0.00192138614568767
"anni13",12000,0.0401026524590433,0.118627495237182,0.00198249287568608,0.0591400523541607,0.0173603312318237,0.0019360713365242,0.00298468782488359,0.00202847777611008,0.00180841912694119,0.00166390945149962,0,0.00690441699575996,0.000376773987383919,0.0154094461835445,0.0022915865862966,0.253750634423978,0.0768526496997893,0.00712065863213069,0.381446105637281,0,0,0.000469180426969799,0.00579463434492625,0.0019493233481258
"anni14",13000,0.0398844551145034,0.126583090189976,0.00207282992787934,0.0646285649151127,0.0168808925893358,0.00258309462062767,0.00458628817531993,0.00259460521651432,0.00218859753153565,0.00219188048372943,0,0.00658306558053016,0.000514154984856795,0.0170408044247715,0.00300087508500914,0.260157542317002,0.0660760424700488,0.0088263810484156,0.363733939813224,0,0,0.000525665580743449,0.00752803756956124,0.0018191922812919
"anni15",14000,0.0405163220949043,0.133245337736702,0.00224354601675461,0.0683762910821169,0.0172623484680892,0.00436363988418133,0.00696531769872511,0.00436363988418133,0.00241171917671301,0.00257754229938759,0,0.00726867086900589,0.000515743388784039,0.0182891944680892,0.00388787506412972,0.253318202670377,0.0593316284898124,0.0106428966416439,0.352221078734853,0,0,0.000515743388784039,0.00987846310206833,0.00180479869094481
"anni16",15000,0.0415943871731025,0.139078711127423,0.00240300747931163,0.0742159600685717,0.0198285686235194,0.00729782986450311,0.00966090861868593,0.00729782986450311,0.00283641360731928,0.00294402231683221,0,0.00859448618972752,0.000526155234662984,0.0202247645629681,0.00476357635364105,0.249764718895363,0.053432571266957,0.012601534040102,0.32833847276693,0,1.42091641791045e-05,0.000526155234662984,0.0123063991918521,0.0017493181072396
"anni17",16000,0.0423394372899443,0.140484460028794,0.0028153340941744,0.0807032840420779,0.0232799411232653,0.0126965996446753,0.0125206699752876,0.0126965996446753,0.00327917276326531,0.0031424791212616,0,0.011243519172616,0.000476556853654916,0.0209468448260482,0.00558438924007421,0.220591160102263,0.0625921884232282,0.0142340153632653,0.314263943295139,0,0.000492537509016698,0.000476556853654916,0.0136336136241187,0.00150669664994434
"anni18",17000,0.0472882811258573,0.148724091815107,0.00340339084059314,0.0868273192234476,0.0264810786915663,0.0192574450613531,0.0146947955437442,0.0192574450613531,0.00348914471334569,0.0027120207746988,0,0.0149974621477294,0.000272222669416126,0.0203271857067655,0.00563627785078777,0.155478038983503,0.0807368409175162,0.0152383612622799,0.319078055079981,0,0.00120540963243744,0.000272222669416126,0.0133233812627433,0.00129952857914736
"anni19",18000,0.0521133402393271,0.145859081182831,0.00429360075916473,0.0866483897639211,0.0273386119414153,0.0227968056953596,0.014364089287355,0.0227968056953596,0.00314806978816705,0.00206747299222738,0,0.0164573767960557,0,0.0181642519179814,0.0057089813937355,0.103269387632831,0.101811336161717,0.0138922956883991,0.344412575384455,0,0.00224777226612529,0,0.0110140755638051,0.00159567955556845
"anni20",19000,0.053647875966273,0.132834542624147,0.00488537211863517,0.084010454562336,0.0256141079967192,0.0229354408259843,0.0115211705586614,0.0229354408259843,0.00270903616456693,0.00199375028779528,0,0.0165433354307087,0,0.015767310306168,0.00534201924068241,0.0917730877158793,0.118177170172441,0.0113689548338583,0.365780527665879,0,0.00337863831154856,0,0.00694022983727034,0.00184153461535433
"anni21",20000,0.0530111590574471,0.11821923569511,0.00541604229410116,0.0774911339771613,0.0229571457428892,0.0221957306544767,0.00938111183690626,0.0221957306544767,0.00198253461874737,0.00221238714501892,0,0.0157884217456915,0,0.0135760339059829,0.00541604229410116,0.0835967342394563,0.132197399867171,0.00938111183690626,0.394379813151184,0,0.00442477498472748,0,0.0039650695428051,0.00221238714501892
"anni22",21000,0.0539440003099644,0.105099881434875,0.00516692417313167,0.0668356357341637,0.0211300860457295,0.0222006550348754,0.00789142387544484,0.0222006550348754,0.00136224974626335,0.00224289929786477,0.000580696375622776,0.0140298212763345,0,0.0129483140254448,0.00545727231797153,0.0880005251802491,0.142218226257117,0.0081817720202847,0.410184719447687,0,0.0044857993,0,0.00330519607793594,0.00253324744270463
"anni23",22000,0.0580437702904762,0.0787427070701299,0.00420388178636364,0.0436518540748918,0.0182114172244589,0.023126412834632,0.00470705826406926,0.023126412834632,0.000251588219480519,0.00203904351818182,0.0021688897469697,0.0101211789119048,0,0.0124199142474026,0.00528832649935065,0.103102564613203,0.162576668737013,0.00579150297705628,0.432553166297836,0,0.00407808767662338,0,0.00267206622467533,0.00312348823116883
"anni24",23000,0.0645059320213916,0.0662442604246791,0.00280822744111687,0.0290518050684531,0.0183538447637919,0.0254245964546273,0.00280822744111687,0.0254245964546273,0,0.00140411350011259,0.00377775898018464,0.0075053340927719,0,0.0136567381121369,0.00469710665165503,0.122960826640396,0.172689937762441,0.00469710665165503,0.424110608288674,0,0.00280822744111687,0,0.00377775898018464,0.00329299271065075
"anni25",24000,0.070325014756657,0.0582617288260447,0.00118598854538387,0.0196619358734694,0.0215426186161322,0.0320865261650146,0.00162738163070943,0.0320865261650146,0,0.000592994179591837,0.0045741078,0.00598321004509232,0,0.0154212175867833,0.00391443519222546,0.140631783735277,0.186624984910204,0.0043558284143829,0.391600786673275,0.000441393085325559,0.00118598854538387,0,0.00501550088532556,0.00288004774110787
