"","YrBP","Acer","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Ceanothus","Eriogonum","Fabaceae","Lamiaceae","Liliaceae","Opuntia","Picea","Pinus","Poaceae","Polygonaceae","Populus","Rosaceae"
"last16",15000,0.00189590918826301,0.150016170486185,0.0145015706432498,0.277084207896052,0.204102591561362,0.00951495680731063,0,0.00367334190047833,0.00348911258656386,0.0872333119154708,0.0103503962304562,0.000910794602698651,0.00496972942100378,0,0.0326649175412294,0.0869931819804384,0.0397045762832869,0.00279710144927536,0.0567223174127222
"last17",16000,0.00150378945615058,0.144522070458899,0.0138771966352961,0.289299450320646,0.192126676105605,0.0108916465395186,0,0.00366057299908387,0.00415357708003665,0.0893542933288915,0.00886799367035896,0.00135400183226451,0.00467319063879404,0,0.0331920962771717,0.0911562838344299,0.04028000333139,0.0024718081119347,0.0558848588323478
"last18",17000,0.000986986159884322,0.135983216277629,0.0131040590787027,0.304698254492873,0.177532947738071,0.0112938442470564,0,0.00368431109274943,0.00532792811402603,0.0919159264614749,0.00702107002685396,0.00204064242925016,0.00430035116711423,0,0.0342162259863665,0.0966250258211113,0.0401668043792605,0.00223848378434208,0.0561031295186945
"last19",18000,0.000215526924347539,0.122218368021143,0.0118906508093822,0.330177205153617,0.156004294681203,0.011201453584407,0.000563462173769409,0.00350399735711926,0.00790241162867526,0.0942017839444995,0.00399411959035349,0.00309613478691774,0.00354258341592336,0,0.0363658407664354,0.104793458870168,0.0397128510075983,0.00193683515031384,0.055588503468781
"last20",19000,0,0.110234272773025,0.0105957054185539,0.357979114242577,0.147473242744506,0.00991779902700889,0.0018057372924006,0.00380582117094447,0.0113730078845831,0.089476430129173,0.00128158027176648,0.00361852038248616,0.00241159201476262,0,0.0364954705586311,0.107071212883744,0.0383142090253313,0.00161826874685455,0.0524338198288878
"last21",20000,0.000447227036395147,0.112404332755633,0.0104496533795494,0.374133968804159,0.14481568457539,0.00642313691507799,0.00309523396880416,0.00417668977469671,0.0135872616984402,0.0796301559792028,0.00096473136915078,0.00287175043327556,0.00241273830155979,0.000344020797227036,0.035951733102253,0.101773570190641,0.0379447140381282,0.00172928942807626,0.0512696707105719
"last22",21000,0.00144824561403509,0.114525199362041,0.0100948165869219,0.379944657097289,0.143394976076555,0.00383755980861244,0.00412432216905901,0.00408285486443381,0.0144973684210526,0.0752736842105263,0.000887799043062201,0.00184529505582137,0.00245956937799043,0.0011140350877193,0.0369922647527911,0.0958107655502392,0.0373909090909091,0.00206985645933014,0.0536405103668262
"last23",22000,0.00236552038260077,0.116184544143323,0.0093604342215137,0.383008729977985,0.145527062931754,0.00311637440218629,0.00532338874971533,0.00303955059591589,0.0153268048280574,0.0711673119259091,0.000845137781826463,0.000997494875882487,0.00230289227966295,0.0019413952782206,0.0384973050937524,0.0886085933348516,0.0412512715402718,0.00215486221817354,0.0510535944735444
"last24",23000,0.0034337143301454,0.116646217245937,0.00818357825985538,0.38575958323614,0.147313894720473,0.00295871238628411,0.00560368556099837,0.00233574372132805,0.0152961667055439,0.0692169349195241,0.000865640307907628,0.000244148977528964,0.00235875903895498,0.00292154575849467,0.0388645517455874,0.0803963144390016,0.0460489075499572,0.00213435969209237,0.0495526786408522
"last25",24000,0.00442833901456461,0.113419894638984,0.00695708088007437,0.391308568329718,0.148392469786179,0.00368608614812519,0.00504098233653548,0.00155252556554075,0.0141450263402541,0.0699536721413077,0.00110582584443756,0,0.00250960644561512,0.00384056399132321,0.0375550046482801,0.0726088472265262,0.0507489928726371,0.00189417415556244,0.0495570189030059
"last26",25000,0.004562986121702,0.106097453103553,0.00636114076559402,0.404843297239591,0.148287479030044,0.0045478114991612,0.00424637791673021,0.000765594021656245,0.0127207564434955,0.0684901631843831,0.00136434344974836,0,0.00233567180112857,0.00408982766509074,0.035361750800671,0.0664606527375324,0.0548526765289004,0.00163565655025164,0.0505621473234711
"last27",26000,0.00386651807825656,0.096612349347862,0.0060607561499092,0.421340184910021,0.149797094271091,0.00492322932144626,0.00352377414561664,3.30196466897804e-06,0.0118722139673105,0.0634951296021133,0.00147696879643388,0,0.00178553739474988,0.0037670463926036,0.0336580815585273,0.0610504375103186,0.0602062076935777,0.00152303120356612,0.0501958065048704
"last28",27000,0.00296157885524243,0.0825855067390163,0.00656467705233678,0.458249518641694,0.141505513740592,0.006266409942237,0.00217705233677577,0.000563626816033608,0.00984526518466655,0.0575385961841414,0.00156590232802381,0.000241554349728689,0.00136688254857343,0.00325450726413443,0.0285301942937161,0.0582038333625066,0.0618321372308769,0.00119254332224751,0.0529413618064064
"last29",28000,0.00182718106093819,0.0692270056992547,0.00741218763700132,0.497292503288032,0.131527049539676,0.00741779921087242,0.00126286716352477,0.00117843051293292,0.00822262165716791,0.0510240245506357,0.00173871109162648,0.000505041648399825,0.00101323980710215,0.00247137220517317,0.023119947391495,0.0584858395440596,0.0610485751863218,0.000841209995615958,0.055563787812363
