"","YrBP","Abies","Amaranthaceae","Ambrosia","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cercocarpus","Cupressaceae","Fabaceae","Lamiaceae","Malvaceae","Picea","Pinus","Poaceae","Populus","Quercus","Ranunculaceae","Ribes","Sarcobatus.vermiculatus"
"hay023",22000,0.00449730396854849,0.0275372002831447,0.0171023844984791,0.17466753205686,0.0383090538468589,0,0.00587236573822849,0.000373845625988563,0.00210344847246218,0.000106582791093807,0,0,0.0458893713815347,0.529449833646348,0.131167491052419,0,0.0123196187974206,0.00288310370689865,0.000807453986981385,0.00691341069284584
"hay024",23000,0.00572951730177909,0.0264047558812439,0.0171630145434869,0.17470040643386,0.0366378189399647,0,0.00529486529994238,0.00043947803507761,0.00294227371756041,0.000203120966615047,0,0,0.0469799680472323,0.545075583420679,0.116437440415439,0,0.0112588797635683,0.00306765396445421,0.000578171151654842,0.00708705271226636
"hay025",24000,0.00693857596792365,0.0268619076793813,0.0164440846073423,0.176538538110762,0.0359683543664075,0,0.00461250411702316,0.000471977480565883,0.00374730324075773,0.000278502820723287,0,0,0.0499900986662321,0.560393419519209,0.0974066570149035,0,0.0102739252856936,0.00261482974644714,0.000464950476654918,0.00699437155300726
"hay026",25000,0.0080787723019705,0.0287529650091863,0.0143877946263266,0.183262672625041,0.0370583178517659,0,0.00416592986610964,0.000366121032747566,0.00454349296737784,0.000365699107397595,0,0,0.0554658722253766,0.562797697545563,0.0822748988138609,0,0.00877192242165823,0.00222461994682635,0.000520516815600947,0.0069627074804126
"hay027",26000,0.00950432558738244,0.032097308231801,0.0126448014141824,0.188559012407747,0.0380910658264327,0,0.00346174998615613,0.000313746565730436,0.00544542339878966,0.000504835568237342,0,0,0.0608098464696537,0.561066153313251,0.0709877362105961,0,0.00757121122978907,0.00181453125693391,0.000621562396155013,0.00650669078252192
"hay028",27000,0.00963572248028853,0.0364439177600193,0.0114588664656211,0.188385745322339,0.0382582250145297,0,0.0028187775165783,0.00033645431366203,0.00704844999679796,0.000567991454551715,5.10022210267181e-05,0,0.0640928681146364,0.562226927827847,0.063949820084131,5.10022210267181e-05,0.00662351423266423,0.00128863998602121,0.000768642201211954,0.00599343343912684
"hay029",28000,0.00925742038074169,0.0442931097170553,0.010759658643859,0.195822931169671,0.0405521555698182,0,0.00230809463570773,0.000356873695098219,0.00847681142379291,0.000602799588984762,0.0001687745,0,0.0649866590318891,0.549353060442041,0.0606596405333394,0.0001687745,0.00536926288692858,0.000634004874389572,0.000869168480044061,0.00536080064262897
"hay030",29000,0.00828809068029985,0.0534287593809695,0.0112568811310945,0.205622724171154,0.0435517488144128,0,0.00185815077937031,0.000396986214332834,0.00945443260237881,0.000705140887776112,0.000308319380609695,0,0.0638105198834983,0.527469651063368,0.0630283492975712,0.000308319380609695,0.00444760765677161,0.00038527207866067,0.000938185289515242,0.0047408619518041
"hay031",30000,0.00691798119734857,0.0620275926636852,0.0136944044177484,0.210233224581954,0.0456384348439312,0,0.0014059939560645,0.000546523983343602,0.0103247766849094,0.000933167145700992,0.000460052412734496,0,0.056667637729461,0.513142215926087,0.0677459372039134,0.000460052412734496,0.00456197423607895,0.00037510470881047,0.000819627741018505,0.00404529862319148
"hay032",31000,0.00510209125860649,0.0681822118014438,0.0174989632170482,0.211365353076179,0.0471402589835675,0,0.0011581561060744,0.000586662778095734,0.0128446813459287,0.00121664810173864,0.000604507826374436,0,0.0478838352878295,0.505022961473942,0.0712319188709677,0.000604507826374436,0.0048162053324445,0.000431325215465661,0.00076936836936351,0.00354034346687478
"hay033",32000,0.00410913558311107,0.0725680599379725,0.0202394018501334,0.214568073391496,0.0493813078370842,0,0.000968037491149955,0.000467222400158706,0.0160544594302687,0.00146303527667688,0.000621377498732559,0,0.0419399549794123,0.496854269465404,0.0703788165201578,0.000729346853373598,0.00481968479498314,0.000711768576520378,0.000714170876231622,0.00341187748949677
"hay034",33000,0.00322934276183411,0.0736016366415457,0.0233566196831564,0.213158330047707,0.0501220715291622,0,0.000990159930478928,0.000627037577773657,0.0204178701107376,0.00179409271169271,0.000599597265195419,0,0.0372845410268209,0.493781750822639,0.0699862030742733,0.000785277312276879,0.00467640141670917,0.00110280520680143,0.000775688980759423,0.00371057401567064
