"","YrBP","Abies","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae","Betula","Carya","Caryophyllaceae","Cupressaceae","Fagaceae","Fraxinus","Juglans","Ostrya","Picea","Pinus","Poaceae","Pseudotsuga","Quercus","Salix","Tilia","Tsuga.heterophylla","Ulmus"
"kilb11",10000,0.00372712569853056,0.025490127670705,0.00127231901774269,0,0.00260642812263561,0,0.00254463803548538,0.00106153507550414,0.0457325575950446,0.00306601349742067,0.00127231901774269,0.00258265574128498,0.00223903462716899,0.0134937353437549,0.00700864414905424,0.0641307153396905,0.00233385409324683,0.588309140172034,0.00152112066578083,0.00381695679240269,0.162161208640769,0.000248801648038143,0.00706072473479756,0.0107997352331562,0.0475206086974363
"kilb12",11000,0.00268665355803058,0.0212037526236232,0.000937037688065099,0,0.00314184895618938,0,0.0018740753761302,0.00152123851356239,0.0440704404792865,0.00322620472513562,0.000937037688065099,0.00312683310488246,0.00113578094854513,0.01246501512313,0.00672127652827552,0.0617845426644748,0.00245827620162749,0.613559002495561,0.00160559459132007,0.00281111287210258,0.157224809579977,0.000668556903254973,0.00539839480987999,0.0113689619902186,0.040073551592553
"kilb13",12000,0.00293196740594139,0.0164602328194299,0.000523641229466078,0,0.00397126602464873,0,0.00104728245893216,0.00188145289088719,0.0423231330029707,0.00428904803645122,0.000523641229466078,0.00345560863540747,0.000523641229466078,0.0136730540497792,0.00599025526382979,0.0585520791134484,0.00261345398129265,0.633058146868808,0.00157415574452027,0.00157092358105179,0.152943528642955,0.00188395391609795,0.00450289098699318,0.01172140578611,0.0339852355767965
"kilb14",13000,0.00326070928138347,0.0115692025555649,0.000137668747424839,0,0.00412663326346202,0,0.000275337494849678,0.00175039579968177,0.0436350917000251,0.00590174313558328,0.000137668747424839,0.00339837802880831,0.000137668747424839,0.0179602669952265,0.00521489052834771,0.052735431506574,0.00251390585587472,0.646289808466041,0.00164798222912654,0.000413006214052424,0.151585705576082,0.00401367858847668,0.00367371549543589,0.0105728854789381,0.02904822389423
"kilb15",14000,0.00323726768001662,0.00693860473410885,0,0,0.00368109346065642,0,0,0.00132740907719152,0.043873536831076,0.00734236761686747,0,0.00323726768001662,0,0.0231018523867885,0.00475627225567096,0.0465510082206897,0.00253274518587453,0.658020980286913,0.00190985860282509,0,0.149063258308268,0.00601495853967595,0.00323726768001662,0.00912935378388035,0.0260448962058164
"kilb16",15000,0.00277628453136437,0.00329626206272874,0,0,0.00334733098978636,0,0,0.000940442611626522,0.0404585814653162,0.00864206653323687,0,0.00277628453136437,0,0.0265677327844923,0.00432188577981105,0.0406881851907396,0.00301587618622862,0.677393185651289,0.00183584191973785,0,0.143161623961869,0.00770162392161035,0.00277628453136437,0.00743345447689165,0.0228670517360626
"kilb17",16000,0.00196678750834559,0.00158864118092191,0,0,0.00297099574496238,0,0,0.000529547024474617,0.0378138795845369,0.00961439347046614,0,0.00196678750834559,0,0.0285094886694629,0.00387868909686068,0.035354813699386,0.00349264639903139,0.696475503088904,0.00143724048387097,0,0.138670467433019,0.00908484644599153,0.00196678750834559,0.00499266917313846,0.0196858152596212
"kilb18",17000,0.00152507878774866,0.000314707998860748,0,0,0.00211981523643852,0,0,0.000104902659188502,0.0348661672971694,0.00916511798326177,0,0.00112745254219613,0,0.0281409282009465,0.0030374624389624,0.030028121856279,0.00351828649338358,0.724695006122601,0.00102254988300762,0,0.129283761999474,0.00906021532407326,0.00152507878774866,0.0024647104240645,0.0180006355130138
"kilb19",18000,0.00183411483929511,0.000308367644222339,0.000102789207785376,0,0.00148317323619148,0,0,0,0.0305864793227249,0.00745843983578818,0,0.000588972620988953,0,0.0247285029594073,0.00207214585718043,0.0275377720951254,0.00363115041013502,0.753110182007364,0.000691761828774329,0,0.117795423421883,0.00745843983578818,0.00142295798728739,0.00128073444976328,0.0179085919234613
"kilb20",19000,0.00352122105483368,0.00158485501992377,0.000528284970893971,0,0.00104288157761608,0,0,0,0.0278732384922904,0.00610789213158351,0,0.000153094829781705,0,0.0212296652594421,0.00119597640739778,0.0242235592963444,0.00407840173059598,0.772367077700624,0.000681379800675676,0,0.107466534004678,0.00610789213158351,0.00140808106401594,0.000834474630457381,0.0195954890401074
