"","YrBP","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae","Betula","Carya","Castanea","Corylus","Cyclachaena.xanthiifolia","Ericaceae","Fabaceae","Fagaceae","Ilex","Iva","Leitneria.floridana","Liquidambar","Magnolia","Myrica","Nyssa","Onagraceae","Ostrya","Pinus","Plantago","Poaceae","Polygonaceae","Quercus","Rosaceae","Salix","Ulmus","Viburnum","Vitis"
"gosh11",10000,0.00963737634717251,0.00471956307611549,0.000760961333810546,0.00628868306406586,0.000143499967430208,0.0330454209612264,0.00192973836315915,0.0563515980081126,0.000143499967430208,0,0.00134817195526127,0.00602336038367931,0.00481868795132427,0.00272659479623002,0.00337421315724171,0.00240934397566213,0,0.0304765309526366,0.0105417556654736,0.000964869181579575,0.00626882070198043,0.0120467203228346,0.00944194863314245,0.33324533257015,0,0.0991316235691959,0.000760961333810546,0.357142291904796,0.000143499967430208,0.00375469389453591,0.00139536913481269,0.000964869181579575,0
"gosh12",11000,0.0137107862360498,0.00550787739301485,0.000130198434363709,0.00440804055747357,0,0.0342024474741068,0.00182824568553459,0.0471969354627325,0,0,0.00171384820045497,0.00856924163468487,0.00760273731914893,0.00290842575725947,0.00471549146768366,0.00342769640090994,0,0.0411786407377225,0.00699169094567108,0.000914122842767295,0.00652367933199518,0.0225567304742406,0.0128713984268701,0.351653462003747,0,0.0829578792509033,0.000130198434363709,0.332065061448548,0,0.00459375461956376,0.000727286696105981,0.000914122842767295,0
"gosh13",12000,0.0135449857415583,0.00599404031720509,0,0.00351144282444087,0,0.0319266973246601,0.00200968805847098,0.0420893112312527,0,0,0.00169312313959947,0.00846561632275983,0.00916491714223067,0.00468365392486479,0.00558730248940213,0.00338624627919895,0,0.0579929752534717,0.00513839398231253,0.00100484402923549,0.0056113037918433,0.0342763105309165,0.0162649975781319,0.347494245564976,0,0.0716826083136968,0,0.322076517918579,0,0.00498919650986698,0.000406737827802953,0.00100484402923549,0
"gosh14",13000,0.0121522051802774,0.00656846238828968,0,0.00274775061838726,0,0.0287295083715117,0.00236844239137134,0.0374873722193118,0,0,0.00151902557746961,0.00759512844786852,0.0107239789710666,0.00732887151172744,0.00654621046567369,0.00303805115493922,0,0.0804367535882554,0.00283675830046225,0.00118422119568567,0.00428902811847286,0.0488873626676939,0.0204435453573018,0.334721486545112,0,0.0598486850665982,0,0.313956437438966,0,0.00538424162369457,2.22519226159904e-05,0.00118422119568567,0
"gosh15",14000,0.0085118807765884,0.00703947528487569,0,0.00270115364675414,0,0.0280755206933702,0.00327433719751381,0.0389625167265193,0,0,0.00106398504799724,0.00531992563259669,0.0108046139796271,0.00924982743439227,0.00703947528487569,0.00212797009599448,0,0.0989645664706492,0.00270115364675414,0.00163716859875691,0.00376513869475138,0.0581177365921961,0.0233287790041436,0.299083121440262,0,0.0599985615276243,0,0.32119361715366,0,0.00540230729350829,0,0.00163716859875691,0
"gosh16",15000,0.00452574085826643,0.00767607062002294,0,0.00297995039816484,0,0.0271541339272489,0.00413040338096018,0.0409487356146158,0,0,0.000844942482385712,0.00282858811469769,0.0119198008523677,0.0106823066174013,0.00837413287301327,0.00113143516237916,0,0.113209071569392,0.00256111304637064,0.00213500791577913,0.00312683062756022,0.0643613147727347,0.0254759990040963,0.275401759215304,0,0.0593098985767655,0,0.322429794524332,0.000139612450598067,0.00540145099393741,0,0.00325190752056366,0
"gosh17",16000,0.000979129628811604,0.00858658379528597,0,0.00388969065963409,0,0.0254028536261744,0.00457450267644635,0.0428008676110104,0,0,0.00130642969671996,0.000611956034943135,0.0155587618997857,0.0106706182762486,0.0115466800421955,0.000244782395912313,0,0.11401593533674,0.00211363291148838,0.00258326096291413,0.00223602410944454,0.0625220327809461,0.0254757096532059,0.290528773737102,0,0.054880982708093,0,0.306148053711884,0.000592019249381902,0.00541130432174056,0,0.00731941495796934,0
"gosh18",17000,0,0.00923223892456413,0,0.00489901015605041,0,0.0238520620227861,0.00433322936958398,0.043409498661488,0,0,0.00218591637700673,0,0.0195960400231314,0.00919363554013464,0.014697029867081,0,0,0.100641416923874,0.00162013559054031,0.00271309377904367,0.00162013559054031,0.0535416776502676,0.0232862812363197,0.336179936646815,0,0.0492856556506128,0,0.28173710096185,0.00109295818850337,0.00542618755808735,0,0.0114567592870706,0
"gosh19",18000,0,0.00972812205938201,0,0.00585253337372691,0,0.0225097357669601,0.00387558911410323,0.0435318758408424,0,0,0.00313179105334024,0,0.0234101330664595,0.00734012906680476,0.0175575996927326,0,0,0.0835404614603832,0.00115484679371655,0.00272074232038667,0.00115484679371655,0.042885927607112,0.0205327915073364,0.388341993612118,0,0.0437863249066114,0,0.256689268405317,0.00156589552667012,0.00544148464077335,0,0.0152479065337476,0
"gosh20",19000,0,0.010092682889944,0,0.00678400265524843,0,0.0215289361821265,0.00355362612887909,0.0434722323856198,0,0.000440902153637443,0.00400575166559267,0,0.0279198363951162,0.00543884917686959,0.0202050403004918,0,0,0.0663945230958114,0.000873353403425471,0.00268027272545362,0.00077537515685942,0.0316617633759539,0.0176127118592505,0.438467011191284,0,0.0383955874783788,0,0.232896002507037,0.00200287583279634,0.00555650196167543,9.79782642021367e-05,0.0191441815414618,0
