"","YrBP","Abies","Alnus","Apiaceae","Artemisia","Asteraceae","Cupressaceae","Eriogonum","Fabaceae","Galium","Onagraceae","Picea","Pinus","Poaceae","Polygonaceae","Populus","Quercus","Ranunculaceae","Rosaceae","Salix","Spiraea","Stellaria","Thalictrum","Tsuga.heterophylla","Tsuga.mertensiana"
"farg35",34000,0.178850431972198,0.0268016087592767,0.00701301662294467,0.0646908630986974,0.0499502251380819,0.0451219528648483,0.00322137978627375,0.00698709413333241,0.00183984536866737,0.000240056457435285,0.0553649386339712,0.215015412140109,0.239226560274011,0.00223655655746584,0.000122375475613821,0.000164490796258749,0.000495367331199311,0.00576891529066215,0.00735016377287246,0.00372045091789801,0.000337494713962338,0.00562893461768137,0.0281300491875486,0.0517218157716087
"farg36",35000,0.191445633252301,0.0275447972364488,0.00680955500529668,0.0594820609121262,0.0446609412992559,0.0480138001489834,0.00304852250901712,0.00665560327301502,0.00162761092499138,0.00022930409417876,0.0533309962239793,0.227590797060803,0.217386933750929,0.00226711911987084,0.000110143364500772,0.000237995585595589,0.000407163913479088,0.00629082859072635,0.0074971301251037,0.00377682538115659,0.000331202509897768,0.0050331084574798,0.034872346434953,0.0513495804770584
"farg37",36000,0.205522375228735,0.026825508014841,0.00647669818876256,0.0536424245987784,0.039746051435871,0.0493638253526879,0.00329563496779139,0.00575566933371356,0.00144521797982363,0.000198644945885614,0.0547520701319621,0.234879072480615,0.200778285687211,0.00220340602564669,8.2077476689848e-05,0.00034402543973458,0.000351477781580013,0.00668132382959856,0.0069718359404153,0.0037021040270204,0.000291265700813188,0.00462242298254652,0.0387131123460156,0.0533554696528682
"farg38",37000,0.219459426045661,0.0258795320012938,0.00611360500546808,0.0492015111234468,0.0361081998663249,0.0477891438868912,0.00351793675245942,0.00515037323323569,0.00134675277588185,0.000176067827206152,0.0597147234122422,0.231261450176004,0.189403858532027,0.00228270445984377,0.000102428780495545,0.000413473381215672,0.000328124482777981,0.0070328747700476,0.00648864767492982,0.00348053933917979,0.000287037184413524,0.00461005746549494,0.0413760953152935,0.0584754360249725
"farg39",38000,0.239421032801344,0.0243567892555124,0.00569722644190061,0.0456261614169003,0.0328855937020776,0.0448059141058167,0.00367977647266739,0.00461373178349392,0.00131197894903219,0.000161190928267976,0.0634798024852532,0.221319435697768,0.177681078566045,0.00242041818419667,0.0001859179480405,0.000482057286732208,0.000336973857870444,0.0072579048759167,0.00601399150175688,0.00326881363396956,0.000291404822769623,0.00475651735045728,0.0473059593350066,0.062640328102107
"farg40",39000,0.254725764856111,0.0228785358183333,0.00507745087847222,0.0421783160364015,0.0301241625544697,0.0418006551728662,0.00375912252320707,0.00406529088064394,0.00133541513335859,0.000139461500833333,0.0671857568884217,0.215430052241692,0.16866935175654,0.00269811940093434,0.000441382648737374,0.000588539143093434,0.000365399580012626,0.00740138558588384,0.00596660007878788,0.0032852701419697,0.00031497193675505,0.00474666671315657,0.0518137818311869,0.0650085462467172
"farg41",40000,0.269024833398702,0.0221102349032266,0.00424226272600309,0.0391820612252807,0.0276221864242136,0.0379671502733886,0.0036877149597876,0.00365516851945353,0.00145533173415203,0.000132050278584645,0.0711728819104631,0.210552490989342,0.156877049298545,0.00286970093902872,0.000745136910095557,0.000669784504410311,0.000400975859288267,0.00766327846613692,0.00605753061395838,0.00341013058475908,0.000341282730894989,0.00453781781802398,0.0572844442930449,0.0683385003364763
"farg42",41000,0.281500994336727,0.0218457040306443,0.00340322280204626,0.0379871317314938,0.0253895020677001,0.0343658867472066,0.00325993475412662,0.00385253031359831,0.0015725677912941,0.000255144481701494,0.0722199875798847,0.206383442281999,0.143257393627234,0.00305271769473554,0.00103567863865567,0.000695548559620512,0.000465487891771563,0.0078976499380914,0.00657935316463074,0.00345563944408756,0.000323892716115831,0.00421496001891238,0.0675642595343833,0.0694213698023439
"farg43",42000,0.289180810502566,0.0217308132300377,0.00276540494819761,0.0375188275871143,0.0236950823887343,0.0326958252015829,0.00296837780809992,0.00399516875546899,0.00164474695263711,0.00038336852208001,0.0699653160442837,0.206647266525394,0.133025496793372,0.00314682308352192,0.00127545816776108,0.000750260952550547,0.000509205999381686,0.00811029229617263,0.00716088799564707,0.00368932334610771,0.000312928005490633,0.003823484694936,0.0765722340739133,0.0684325962625363
"farg44",43000,0.278791692970936,0.0243576549715285,0.00222024597087508,0.0388965244101689,0.0229390455322225,0.0380389888298848,0.00275301820461256,0.00417761327220367,0.00179347847867964,0.000523835529959828,0.0674497581578336,0.21231381353071,0.126308859909503,0.00317863811157495,0.00185468554931997,0.00113422408837907,0.000496245248293887,0.00829580113837665,0.00847649425792556,0.00437830280557572,0.000300534044104835,0.00360890192424132,0.0807789083383065,0.0669327349408911
"farg45",44000,0.261424948466171,0.0296492284879636,0.00225544570544805,0.0424047198229325,0.0231509484673347,0.0481746093188551,0.00257457722705598,0.00440506491747293,0.00199590259950472,0.000655076509099286,0.0628689184546994,0.215227289624683,0.120962454203006,0.00299030605150887,0.00470891046809491,0.00161897027781617,0.000543440882987791,0.00842246844837595,0.0104543773380442,0.00483606838182446,0.000327148259859479,0.00395692829558857,0.0826282977839092,0.0637639002260654
"farg46",45000,0.243454516664748,0.0362224054995488,0.00258566762283678,0.0468650543100077,0.023642520955896,0.060162680554162,0.0024890761711616,0.00450538227626424,0.00213001132618256,0.000750981437602093,0.054148376197046,0.215973862659265,0.118016572105308,0.00273338319824543,0.0129715026737032,0.002103822612499,0.000610155549958306,0.00852802240578916,0.0128590303466068,0.0052038374829855,0.000418340263893173,0.0046506964910958,0.0813369851942588,0.0576371161988965
"farg47",46000,0.219217235316448,0.0437827052618263,0.00332320501171021,0.0544361243387354,0.026054918270943,0.0719643808157171,0.00280129197272902,0.00452765442424036,0.00240955156491013,0.000629469765591909,0.0439899713671955,0.216775197248225,0.124942796245473,0.00257858387319222,0.0214104153010793,0.0025594651464456,0.000615543975786815,0.00901083851738978,0.0152289382793916,0.00568419274650902,0.000693090000158552,0.00604232015536982,0.0703231591315417,0.0509989513477276
"farg48",47000,0.19830376708796,0.0486416135408326,0.00408689816885244,0.0614009811702123,0.0289207505191157,0.0778543531345462,0.00316596867240154,0.00451931768072568,0.0026816433983022,0.000476545360338735,0.0351821846974564,0.2242599820409,0.135709234911103,0.00253023691771663,0.0274888901716443,0.00276217509011301,0.000611377386691667,0.00956019893872274,0.0165664120357279,0.00569409807837885,0.000959269912617058,0.00772435843586389,0.0563095725117393,0.0445901700893816
"farg49",48000,0.190241611807296,0.0493184678923734,0.00477052390629429,0.0670246853244609,0.0321999220666834,0.071800820467873,0.00375165115535675,0.00449490941901493,0.00299437787178128,0.00034015435887746,0.0284077753406087,0.231790220771183,0.151212463252041,0.00261786667743832,0.0326905467931533,0.0023632917044221,0.000625360096732833,0.0102205906535395,0.0165463467686857,0.00488793036537516,0.00125194914072246,0.00937318603927542,0.0407904202730673,0.0402849277136095
"farg50",49000,0.19224088624826,0.0459004576211538,0.00490072092392748,0.0720419152138262,0.0360388299774335,0.058521769125943,0.00455900779683541,0.00439244636996468,0.00318529416065929,0.000228970233030374,0.0231296438990629,0.23726263010316,0.172139026525924,0.00275746836966329,0.0345183960310525,0.00179569991841771,0.000543642045227219,0.0110752287069838,0.014945073164276,0.00391742733252649,0.00154134130128561,0.010488678515724,0.0263042713508641,0.0375711748866211
"farg51",50000,0.194459617803543,0.0389394699032947,0.00474610686243555,0.0750267961738585,0.0406604459010576,0.0442383281109373,0.00527895413646408,0.00432415290816911,0.0033798715051972,0.000172005167356293,0.0211397616665969,0.245679421498113,0.195642119272828,0.00285549725703191,0.0271925011500505,0.00126215542091431,0.000423743397379118,0.0121537240315106,0.0124931329977265,0.0029770866274747,0.00170037950448787,0.0110711275527223,0.0151603952687813,0.0390232056574575
"farg52",51000,0.19684267410071,0.0314140550717626,0.00430914825273701,0.0738303543358508,0.0440026914347059,0.0314189417249368,0.00594473781251232,0.00406196058437707,0.00340608560925657,0.000220627797828307,0.0210557484943199,0.255155327383558,0.213526166156319,0.00282451861882492,0.0202459237376678,0.000798421352738806,0.000336827719848053,0.0131718297762189,0.010223903094904,0.00205918348540558,0.00175857633768747,0.0107791970031088,0.00885038904025336,0.0437627108648068
