"","YrBP","Abies","Alnus","Amaranthaceae","Apiaceae","Artemisia","Asteraceae","Brassicaceae","Camassia","Caprifoliaceae","Caryophyllaceae","Cupressaceae","Ericaceae","Fabaceae","Gentianaceae","Lysichiton","Malvaceae","Myrica","Onagraceae","Picea","Pinus","Poaceae","Polemoniaceae","Polygonaceae","Ranunculaceae","Rosaceae","Rubiaceae","Salix","Sanguisorba","Tsuga.heterophylla","Tsuga.mertensiana"
"kala35",34000,0.0730856680171552,0.00744482242792411,0.00129411165315924,0.013442301941508,0.000742036379554636,0.0628448049083158,0.00832708782972755,0,0.000325104816508839,0,0,0.0121110010625578,0,0.000851211934462364,0.0155381623226916,0,5.97090452150868e-06,0.00194914516488155,0.100044881305304,0.138140605652817,0.183362421073721,0.00159558996286481,0.0247953758812708,0.0130052987598138,0,0.000950039740344527,0.000231915467366924,0.00123536752711936,0.294030796610006,0.0446462787485408
"kala36",35000,0.0696533597662226,0.00785048229292075,0.00164302952520002,0.014744537961727,7.31263562162197e-05,0.0619721521521881,0.0122978044065129,0,0.000529195224349578,0,0,0.0143505088212462,0,0.00136630310665048,0.0174482789220398,0,0,0.00186841231341009,0.104087600277048,0.14287553960615,0.198427932014865,0.00232675202410549,0.024546830481774,0.0126423860249514,0,0.00168234242985645,5.50778578208845e-06,0.000711489987162681,0.265805287107102,0.0430911415250773
"kala37",36000,0.063798570441985,0.00752146065856531,0.00150406895181025,0.0166536801621408,0.000848280327268046,0.0672190699331831,0.016883848844669,0,0.00100290616609275,0,0,0.0161039606420236,0,0.0019078490676729,0.0187371172043575,0,0,0.00143977164269301,0.0993732058202491,0.14700513174186,0.224834425783587,0.00306179179406559,0.0256739565257684,0.0134271670129244,0,0.00240776599639559,0,0.000346172797528401,0.226481858098304,0.0437679405387378
"kala38",37000,0.0593269305048043,0.00686495833056664,0.00118631230859129,0.0190232677866352,0.00210529848023117,0.0768739591624482,0.0207999326294595,0,0.00156586146101397,0,0,0.0169736220704032,0,0.00219379349432977,0.0185144757372388,0,0,0.00101368836363228,0.0905256088144989,0.151825255960873,0.253747699270304,0.00379539489243884,0.0246906368331003,0.0144870341932945,0,0.00312783605745917,0,0.000285048257995407,0.188292402129427,0.0427809834230927
"kala39",38000,0.0551425795828701,0.00641570477268091,0.00122129746524555,0.0215710555741305,0.00408095745576648,0.0854270293301736,0.0235738158168953,0,0.00188145361325794,0,0,0.0177398407591157,0,0.00201100068691035,0.0185387421612079,0,0,0.000594049018084808,0.0815389958285099,0.155263113495206,0.278079677881477,0.0034949397359567,0.0211063478727816,0.0161939945158856,0.00032742323618619,0.00340624266899128,0,0.000703748763514203,0.163124449230143,0.038563540667404
"kala40",39000,0.0534273379293083,0.00621643058449501,0.00161095881120926,0.0237461341722425,0.00638070694707245,0.0862948044830657,0.0256055251861705,0,0.00222462512554639,0,0,0.0176836013075342,0,0.001747941812261,0.0200423226296591,0,0,0.000515847151548128,0.0752157386535635,0.152784029120488,0.291720443851978,0.00319623250310355,0.0166875261391704,0.0169609520274243,0.00121222033102517,0.00266646653159178,8.87907741307929e-05,0.001477304601791,0.160164596323055,0.0323294631619379
"kala41",40000,0.0554484430414011,0.00617850264031731,0.00220931824193179,0.0252893949029189,0.00896561088374068,0.0763577226923047,0.0248530158482277,0,0.00253823565976369,0,0,0.017278559808726,0,0.00118735487612637,0.0235796640625737,0,0,0.000657460691952739,0.076846870588369,0.156819759151476,0.277672288405212,0.00316694162863607,0.0134461333315047,0.0169808651519958,0.00274768078906734,0.00300746833470015,0.000249632835093992,0.00243074838445853,0.174349310930639,0.0277390173601296
"kala42",41000,0.0570048471239433,0.00647507988666049,0.00298038349232234,0.0262866427585494,0.0101552560540943,0.0640272662188094,0.0219561926185902,0,0.00234692293958742,0,0,0.016764392430087,0,0.000653927174146344,0.0269770888120037,0,0,0.00109178612875627,0.0831283674054693,0.162497033655588,0.262625184924078,0.00320763179000241,0.0110021996704522,0.0149720205635794,0.00405440873930274,0.00415773985729646,0.000382812421705315,0.00339658254950923,0.188460447732165,0.0253957853559473
"kala43",42000,0.0571259071905766,0.00691608848641656,0.00376658178731806,0.0272771928981031,0.0109725260363931,0.0527172573264626,0.0191358372206968,0,0.00208035611775754,0,0,0.0170110600788149,0,0.000293462722434031,0.0330984085389238,0,0,0.00147482184922997,0.0935782934962579,0.1607984075158,0.243265915391924,0.00298425227265471,0.00973178384698563,0.0129894747972157,0.00512999204544089,0.00530408925396281,0.000492282682157949,0.0041731482255517,0.205574498028012,0.0241083625466288
"kala44",43000,0.0574329368284574,0.00740728351805019,0.00393407059618497,0.029129785519306,0.0106842381258097,0.0441154848285868,0.0172525439472757,0,0.00213594819756166,0,0,0.0170868984280388,0,0.000143979824016572,0.0410172290241029,0,0,0.00178394258832186,0.10982879457238,0.158082404102164,0.214474830681428,0.00320859326442828,0.00956734237474915,0.0110450847182832,0.0058713497087845,0.00666469398297909,0.000715991781693028,0.00426095989707183,0.219438022406387,0.0247175915155385
