"","YrBP","Abies","Amaranthaceae","Apiaceae","Arceuthobium","Artemisia","Asteraceae","Brassicaceae","Caryophyllaceae","Cupressaceae","Ephedra","Phlox","Picea","Pinus","Poaceae","Polygonaceae","Pseudotsuga","Ranunculaceae","Rosaceae","Sarcobatus.vermiculatus"
"gray18",17000,0.00667883516443075,0.0222478780578318,0.000409866849166062,0.0024165617781605,0.4048751580478,0.0363308714595117,0.0019460395740875,0.00197352784958907,0.0136581729975828,0,0.000106847715010877,0.0217362966652768,0.440300326192289,0.0320648422563452,0.000534214561276287,0.00328958583436065,0.000594193973591975,0.00505572269162436,0.00578105818298284
"gray19",18000,0.00724897668288149,0.0237010624395043,0.000696072910921766,0,0.37215606725213,0.0431209576737413,6.64886986831913e-05,0.00343988122579396,0.017228039970488,0,0,0.023083161054299,0.460532865598993,0.0375058777554609,0.00139214582184353,0.000554280622385747,3.3244345468629e-05,0.00432036603346243,0.00492051152099148
"gray20",19000,0.00850612001719981,0.0264185526924932,0.00108925504581257,0,0.375099044247147,0.0482087191088249,0,0.00475704803287253,0.0187999925353641,0,0,0.0236177773808873,0.444047745909741,0.0390130199433371,0.00217851009162514,4.50872556662916e-05,0,0.00292132944799871,0.00529779773058994
"gray21",20000,0.00847640079921113,0.0291345166292327,0.00134842012949319,0,0.386258018965692,0.0540035491209347,0,0.00647090510582719,0.0200784245673886,0,0.00684101561620898,0.0214471428360497,0.412936768750391,0.0425371242377019,0.00269684025898638,0,0,0.00248273087943737,0.00528814150807472
"gray22",21000,0.00838875273788792,0.0298674794185458,0.00168824375083724,0,0.379879237318003,0.0562362115455831,0,0.00638591879935998,0.020185308395624,0,0.0139448739923346,0.0194232305044281,0.410648898094738,0.042659726901987,0.00337648750167448,0,0,0.00279268109153829,0.00452294942650889
"gray23",22000,0.0073925220293018,0.0296023547054169,0.00160081373097992,0,0.379493270810712,0.0552441660796453,0,0.00736158854943048,0.0206334628877489,0,0.0245919326002087,0.0180222668122772,0.397931337478393,0.0469094367569777,0.00320162746195983,0,0,0.00362490712346752,0.00439031262011999
"gray24",23000,0.00594110186917167,0.0291807328141248,0.0014571885822545,0,0.379227590000421,0.0536903796528787,0,0.00879103977549732,0.0212832306780339,0,0.039815425937796,0.0160700474274287,0.379457628074834,0.0531126370005263,0.002914377164509,0,0,0.0048263191060941,0.00423230180444164
"gray25",24000,0.00370119769587337,0.0319613055159977,0.00104901511814585,0,0.390750551778971,0.053674719281515,0,0.0102389515089881,0.0215693201185981,0.000462510920859242,0.0535603060299604,0.013015127363143,0.345983964824873,0.0616960483166761,0.00209803023629169,0,0.000462510920859242,0.00565513384137931,0.00412130674674958
"gray26",25000,0.00204173688041594,0.0379235416357597,0.000680578960138648,0,0.409965874663056,0.0571267983259676,0,0.0105143266403813,0.0211007666610341,0.00128185992128827,0.0556542458354997,0.00999234367822068,0.314838790851242,0.0670036518203351,0.0013611579202773,0,0.00128185992128827,0.00530040433752166,0.00393206238157135
"gray27",26000,7.39966509115463e-05,0.0464375395486158,2.46655503038488e-05,0,0.448865188752026,0.0628740438232613,0,0.01160266908474,0.0209737257530385,0.00230592287221472,0.0489357618441931,0.00706481999122215,0.264887496768062,0.0743021696833221,4.93311006076975e-05,0,0.00230592287221472,0.00466054872265361,0.00463619748987171
"gray28",27000,0.00019794077721725,0.0545376009837266,0,0,0.465444593763548,0.0694808730255492,0,0.0109194333707079,0.0195403351474369,0.00300162344914565,0.0316421331432059,0.00551000884524003,0.257572790232221,0.0712332343051261,0,0.00019794077721725,0.00300162344914565,0.00301353647404394,0.00470633262912937
"gray29",28000,0.000843112396920924,0.0604973468222533,0,0,0.452073995196221,0.0687362917763471,0,0.0101677140745976,0.0163032669672498,0.00325117775997201,0.0138539346627012,0.00619469592078376,0.29539865709965,0.0625120937445766,0,0.000843112396920924,0.00325117775997201,0.00131942234191742,0.00475400140041987
"gray30",29000,0.00168325253706294,0.0631928912501943,0,0,0.418305912245066,0.0621331933383061,0,0.00960887019160839,0.0124585940514375,0.00308197916161616,0.000548845091686092,0.00849466982968143,0.35915917426216,0.0517237485555556,0,0.00168325253706294,0.00308197916161616,5.22709608391608e-05,0.00479136718197358
"gray31",30000,0.0024444235817443,0.0597236533438575,0,0,0.368622322631447,0.0495761079399812,0,0.00959276980540794,0.00940784426695842,0.00235196106673961,0,0.0122221189256018,0.433853342394967,0.0426126872547671,0,0.0024444235817443,0.00235196106673961,0,0.0047963846484839
"gray32",31000,0.00329538531904693,0.0543460240620369,0,0,0.335186164363795,0.0420652020092983,0,0.00892351419657126,0.00758793360380648,0.0014910878839169,0,0.0155027785901496,0.486204608940578,0.0345254896587244,0,0.00297066890541915,0.0014910878839169,0.000974149240883336,0.00543590603021938
