"","YrBP","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Arecaceae","Artemisia","Asteraceae","Carya","Celtis","Ceratiola.ericoides","Combretaceae","Cupressaceae","Ericaceae","Eugenia","Fraxinus","Ilex","Iva","Liquidambar","Myrica","Ostrya","Pinus","Poaceae","Polygonaceae","Quercus","Rhus","Rumex","Sabal","Serenoa","Taxodium","Ulmus","Vitis"
"tula21",20000,0.00158767370930854,0.051884940242345,0.164130024931155,0.00148863259024608,0.000693414329061352,0.0016037796532012,0.049563933623405,0.032861734371629,0.0013575073207772,0.00116799253624318,0.000119669475492707,0.0460113532318005,0.0055833201520098,0,0.00555266430833983,0.00226387821900679,0.0132085016262109,0.0009883252586683,0.00483307857892217,0.00672133436406859,0.259522296245173,0.102854907411424,0.00889457654674312,0.21532981004573,5.61449136287718e-05,0.0092093042656163,0,5.22961870615744e-05,0.00603606094263445,0.00532914462844895,0.0010936998806035
"tula22",21000,0.00144894762709685,0.0502206601375599,0.161689511355711,0.00145253894732923,0.000725778088059112,0.00137783052501551,0.0483291053113994,0.0310833695954312,0.000952574727745502,0.00146299059935699,0.000144524041987704,0.039545726868058,0.00733519189970105,1.09240454396751e-05,0.00566638138719612,0.00226782889395905,0.0128980631398048,0.00116389367984658,0.00489315700011281,0.00666825072104462,0.285064758869671,0.101878941305567,0.00846327349987027,0.203489651198116,5.71372518810988e-05,0.00901689087914716,0,3.44901185628067e-05,0.00635772241668453,0.00517673071126403,0.00112315468677308
"tula23",22000,0.00133474213675447,0.0498749622694426,0.158210176731171,0.00142597355335582,0.000716729351029634,0.00114283532613214,0.0465443875934735,0.0305902841350848,0.000775926304687589,0.00173189302468168,0.000182607486307516,0.0339533720422303,0.00907600060044752,2.38332823116503e-05,0.00587912280203542,0.00230152078093161,0.0127242509344056,0.00139431775184289,0.0055360620406288,0.00672000477956861,0.310457602047819,0.101198597216058,0.00804985115092968,0.187803601654036,5.77854487454709e-05,0.00841234643039039,0,1.61065021978396e-05,0.00702571699731943,0.00564639510295203,0.00119299418447087
"tula24",23000,0.0011886228543357,0.0501412490998482,0.156179216449363,0.0014791066351945,0.000739304334291876,0.00104501199686191,0.0461024495900631,0.0308981376661189,0.00065692799413463,0.00198909769519473,0.000220722304405874,0.0284770517743202,0.0107920179732521,3.68382916024785e-05,0.00617870499897299,0.002507282662125,0.0128188854504582,0.00158269755851106,0.00634943412409709,0.00676393878241074,0.322124352446225,0.103837272432919,0.00787349542054934,0.176691300751623,5.8311888135748e-05,0.00792378667387856,0,0,0.00796522656199149,0.00603389822092134,0.00134565716582794
"tula25",24000,0.00110266047782748,0.0490471121578159,0.15104829581695,0.00157888423125182,0.00076050058067964,0.000940072442602382,0.0456193015433633,0.0310149739694917,0.000576424100946849,0.00213872409176881,0.000262656633191984,0.0232165733184665,0.0117285533310485,5.06325182457159e-05,0.00627475922579146,0.0026488203280395,0.0130390740618298,0.0016078554873192,0.00699798254334011,0.00654981806518734,0.335472941689712,0.108262639006262,0.00755774069080453,0.168722599408644,6.43866427185594e-05,0.00722154988700552,1.48945826314261e-07,0,0.00896878790827767,0.00604969948654081,0.00147583139463259
"tula26",25000,0.00114607469939801,0.047431323555971,0.143353349294845,0.00149454347758056,0.000739345754664246,0.000828663649423091,0.0445324289474332,0.0304118103844031,0.000475643361816488,0.00217940950028666,0.000284631029765175,0.0188141091667662,0.0119016532204319,6.55519219321086e-05,0.00609032952327943,0.00246623514005877,0.0137352896362366,0.00155573255880175,0.00766845072973651,0.00595911550974654,0.353872073830343,0.114835519238898,0.00713839777295096,0.16094186057814,6.68466559327298e-05,0.00636024593100977,4.19582849430257e-05,1.6705300876711e-07,0.00855206538429564,0.00559423521822221,0.00146293914636535
"tula27",26000,0.00114294972522363,0.0453295718848521,0.137387068721969,0.00133857355988057,0.000758661431590411,0.000725632369011637,0.0420842370333084,0.0282143997228252,0.000422427240709242,0.00188780070913229,0.000255046591475875,0.0160250806599528,0.0114786693886516,5.72846391013326e-05,0.00584583398822824,0.0022016766455501,0.0146682947807907,0.00147037456109201,0.00803614445743444,0.00544448248023152,0.374958395364484,0.118537310858543,0.0064697839954724,0.156177348393742,5.3338942597374e-05,0.0052752978474933,9.28190126405697e-05,3.79073014280295e-05,0.00715319689516771,0.00507288130684891,0.0013975097882674
"tula28",27000,0.00112162563014784,0.0417311878105798,0.1272651269889,0.0011249504440715,0.000821267801164077,0.000658761733117112,0.0388435002030724,0.0249811449907603,0.000410387906823553,0.0016298380608312,0.000224962368657917,0.0134669118530321,0.0108246806335546,4.46449186906019e-05,0.00546633915836979,0.0018740692036632,0.0149710896631468,0.00139415401602806,0.00819215923421079,0.00499647523804495,0.407123978537788,0.119339693908873,0.00565797511631971,0.151682872921255,3.92377901141449e-05,0.00423479072091064,0.00014654917197164,9.67516289535878e-05,0.00577657344921305,0.00460566164665359,0.00125263756719214
"tula29",28000,0.00117543224164654,0.0388267605470726,0.116529856751224,0.000862537530255867,0.000924462177440812,0.000515035656252018,0.0349531962128308,0.0213385463416039,0.00043891315264198,0.001503671886752,0.000193068603670744,0.0106773407952417,0.0100763753137827,3.12758481588159e-05,0.0049587276365292,0.0014490331140488,0.0153587815279051,0.0013799355900443,0.00820152436278625,0.0046195105441148,0.439027420128101,0.121042438318445,0.00495810880074397,0.147704656260388,2.43295109721917e-05,0.00311758625405887,0.000281953345724139,0.000158802611368715,0.00441394096976351,0.00425588460993503,0.0010008936789972
"tula30",29000,0.00131574141503328,0.0377335628399458,0.109066414375872,0.00061432298659528,0.00106032558600595,0.000415999587452972,0.030846500887816,0.0178626182561499,0.000543741272593333,0.00139354427256702,0.000157865170117604,0.00831319525442658,0.00924722992233418,1.69897391670394e-05,0.00467644994498671,0.00112132704342393,0.0170657935024599,0.00153979815913336,0.00884234301264174,0.00479721919868978,0.461722920088137,0.119862027005867,0.00443736797065169,0.146346339924544,8.49850993185824e-06,0.00228374110956616,0.000458152383146097,0.000222230926622642,0.00303796997415086,0.00429810408108606,0.000691665910034465
