"","YrBP","Agave","Alnus","Amaranthaceae","Ambrosia","Anacardaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Celtis","Cupressaceae","Ericaceae","Fabaceae","Fraxinus","Gentianaceae","Liliaceae","Opuntia","Picea","Pinus","Poaceae","Polemoniaceae","Polygaceae","Polygonaceae","Prosopis","Quercus","Rhamnaceae","Rosaceae","Ulmus"
"cuat22",21000,0,0,0,0.027852223982549,0,0,0.161699719312071,0,0.00583450329209291,0,0.00158542929546275,0.139549823939343,0.00424907399663016,0.0132544362363702,0,0,0,0,0,0.577664268317968,0,0,0,0,0,0.0640614475800939,0,0.00424907399663016,0
"cuat23",22000,0,0,0,0.0288620217265752,0.000391351695796743,0,0.156035843163441,0,0.00569632712541564,0.000195675847898372,0.0015020697430301,0.145826298831273,0.00438993323028391,0.0138731035355103,0,0,0,0,0,0.570742626508142,0,0,0,0,0,0.0680948153263705,0,0.00438993323028391,0
"cuat24",23000,0,0,0,0.0285991776844804,0.000936071297424453,0,0.149430538718499,0,0.00513574726183726,0.00474050884070209,0.00133073285578141,0.161063789311297,0.00854552324675795,0.0182148790287713,0,0,0,0,0,0.546796235802159,0,0,0,0,0,0.0709337458207974,0,0.00427305005476808,0
"cuat25",24000,0.000223666291684806,0,0,0.0272590308141598,0.00143927340226382,0,0.138547157408576,0,0.00518834379756204,0.00933286905996952,0.00097615237178929,0.167161250266271,0.0124786339373095,0.0224978293709186,0,0,0,0.00123818793012625,0.000223666291684806,0.534659325399978,0,0,0,0.000223666291684806,0,0.0742382131264693,0,0.00408906787015673,0
"cuat26",25000,0.000872844578911729,0,0,0.0264314164850786,0.00203814790486094,0,0.12462825761393,0,0.00473744573755744,0.0137987985279323,0.000652639999226119,0.175263921698331,0.0151748303757195,0.0247511453684643,0.000674979740411125,0,0,0.00223856606548972,0.0022467291982104,0.517947477152503,0,0.000230309934365175,0,0.000642534644546554,0.000815227996130592,0.0827549751912455,0,0.00345721698065296,0
"cuat27",26000,0.00136860488570222,0,0,0.0263452592536008,0.00246035974373812,0,0.111578998064118,0,0.00424719643607181,0.0170153573205913,0.000382212797634636,0.180909608030116,0.0168536953333897,0.0259961747621119,0.00183020490530095,0,0,0.00294875461051742,0.00417361331248152,0.505754651325364,0,0.000419979087349525,0,0.000948625798352693,0.00258541405786695,0.0903505143011193,0,0.00288214995036959,0
"cuat28",27000,0.00169024978017569,0,0,0.0255688553302968,0.00330141871723963,0,0.104078684653581,0,0.00420171836163829,0.0194920438316162,0.000166447745508441,0.174627176597513,0.0196339919280628,0.0256007265176228,0.00262823974742436,0,0.00034446179138199,0.00337422468293388,0.00601376584589524,0.505017950893323,0,0.00101935532324766,0,0.0011435139997831,0.00381609069226042,0.0940088479210859,0,0.00265610199360156,0
"cuat29",28000,0.00206595663562766,0,0,0.0243814644517207,0.00414471204664045,0,0.0936855113155359,0,0.00462782483139954,0.0177118075286136,5.24418171091445e-06,0.154108751142445,0.0188058192687643,0.0214769132828909,0.00366032063431662,0,0.000627473993280892,0.00383056667990823,0.00978083943048181,0.530372027219436,0,0.00170102564100295,0,0.00133750703952802,0.00491377764077352,0.0976500326651917,0,0.00261361991914127,0
"cuat30",29000,0.00217308289681258,0,0,0.024986311981641,0.00497784689983256,0,0.0857428475252063,0,0.00449036540198541,0.0152474398141969,0,0.146435255195192,0.017596974785552,0.0175587525219172,0.00489612728973807,0,0.000859933516774309,0.00283740337866284,0.0134962441745007,0.543496530117689,0,0.00226044008811745,0,0.00124869836813778,0.00580894016325798,0.099662814091556,0.000205355959215405,0.00284429462896185,0.000102677979607702
"cuat31",30000,0.00188516677963239,2.67979844251031e-05,0,0.0236252959205795,0.00569847534734311,0,0.0813243489010822,0,0.00443119633256986,0.0126498119666743,0.000181861548786074,0.140449184685181,0.0169083652987861,0.014953718370276,0.00583495214372423,0,0.00109868877505153,0.00204319476053596,0.0160652802542945,0.558514801995534,0,0.00257027910332684,0,0.00104017281905634,0.00608129169090701,0.0967842201862116,0.000628786781378837,0.00328199412966674,0.000314393390689418
"cuat32",31000,0.00160765014447181,0.00020207991242474,0,0.0214480363413793,0.00631511231340996,0,0.0773313446200602,0,0.00436151807619048,0.0101216486418172,0.000378836813793103,0.138624126647072,0.0161729278915161,0.0129876441772578,0.00716930066984127,0,0.00131336580555556,0.00130912136278051,0.0184406288101259,0.569295776986864,0,0.00282189054518336,0,0.00118108495413246,0.00554188607498632,0.0927170146049261,0.00101413805966065,0.00409812783144499,0.000507069029830323
"cuat33",32000,0.00144202969057858,0.000429576678208422,0,0.0189828391734614,0.00599703810812018,5.58472038422875e-05,0.0690757759501005,0,0.00396009066245951,0.00724141088478722,0.00065155071596113,0.144642420216352,0.0130334082352284,0.0121541222406177,0.00969511013872445,0,0.00107640116343684,0.000678707768234111,0.0220692048407796,0.576543072923266,0,0.00252152640715403,0,0.00139569228817156,0.00570048246375517,0.0884936484314755,0.00145624217301463,0.00499175203744555,0.000728121086507316
"cuat34",33000,0.00117225315258777,0.000673482906598312,0,0.0174118403367991,0.00516265053803174,0.000170991851156361,0.0656590748429193,0,0.00315588827130555,0.00594998640093891,0.00110457325477377,0.165934674359696,0.0100090653841191,0.0132046689754039,0.0128012969851099,0,0.000833290903631808,2.23631403473402e-05,0.0238474682654877,0.55995128830555,0,0.00191817740540307,0,0.00163613433437977,0.00682645465752715,0.083558407812851,0.00193673237233951,0.00624069976334207,0.000968366186169753
"cuat35",34000,0.000864171537207534,0.000916939125798913,0,0.0145574572553425,0.00378658994230932,0.000278008166905989,0.0675253050784695,0,0.00246766396590365,0.00475842392471211,0.00151791435028296,0.180220433194217,0.00669026537156854,0.0138446319144635,0.0151066135394318,0,0.000543889080299575,0,0.025228704522454,0.552981269456683,0,0.00120790527614945,0,0.00190736830250303,0.00782376404530225,0.0754237484962975,0.0019315757327477,0.00719128648404989,0.000965787866373849
