Core,Water depth,Species,Core depth (cm),Age (ka),d18Ob,d18Ob (Uvigerina scale),d13C,3Point
P30,765,C. teretis,683,502.42,3.23,3.87,1.3,4.12
P21,1470,C. teretis,297.5,502.7,3.64,4.28,0.71,4.12
P21,1470,C. teretis,301.5,507.36,3.56,4.2,0.35,4.3
P21,1470,C. teretis,303.5,509.69,3.78,4.42,0.45,4.34
P21,1470,C. teretis,305.5,512.02,3.75,4.39,0.63,4.44
P21,1470,C. teretis,307.5,514.35,3.86,4.5,0.5,4.27
P30,765,C. teretis,694,515.14,3.29,3.93,0.75,4.24
P21,1470,C. teretis,309.5,516.69,3.65,4.29,0.09,4.22
P21,1470,C. teretis,311.5,519.02,3.8,4.44,0.49,4.16
P30,765,C. teretis,698,519.77,3.12,3.76,1.21,4.19
P21,1470,C. teretis,313.5,521.35,3.72,4.36,0.5,4.07
P21,1470,C. teretis,315.5,523.68,3.45,4.09,0.86,4.28
P21,1470,C. teretis,317.5,526.01,3.74,4.38,1,4.3
P21,1470,C. teretis,319.5,528.34,3.8,4.44,0.58,4.45
P21,1470,C. teretis,321.5,530.67,3.89,4.53,0.91,4.51
P21,1470,C. teretis,323.5,533.01,3.93,4.57,0.9,4.63
P21,1470,C. teretis,325.5,535.34,4.15,4.79,0.86,4.65
P21,1470,C. teretis,327.5,537.67,3.96,4.6,0.93,4.68
P21,1470,C. teretis,329.5,540,4.01,4.65,0.68,4.66
P21,1470,C. teretis,331.5,542.33,4.08,4.72,0.62,4.57
P30,765,C. teretis,719,544.05,3.7,4.34,0.73,4.59
P21,1470,C. teretis,333.5,544.66,4.06,4.7,0.67,4.56
P21,1470,C. teretis,335.5,547,4,4.64,0.88,4.72
P21,1470,C. teretis,335.5,547,4.17,4.81,0.68,4.7
P21,1470,C. teretis,337.5,549.33,3.99,4.63,0.85,4.61
P30,765,C. teretis,724,549.83,3.75,4.39,0.97,4.52
P21,1470,C. teretis,338.5,550.49,3.88,4.52,0.8,4.39
P30,765,C. teretis,726,552.14,3.6,4.24,0.73,4.46
P21,1470,C. teretis,341.5,553.99,3.96,4.6,0.97,4.41
P21,1470,C. teretis,343.5,556.32,3.74,4.38,1.06,4.39
P30,765,C. teretis,731,557.92,3.55,4.19,1.24,4.23
P21,1470,C. teretis,345.5,558.65,3.48,4.12,0.76,4.26
P21,1470,C. teretis,350,563.9,3.83,4.47,1.12,
,,,,,,,,
Omitted from composite record,,,,,,,,
Core,water depth,Species,depth interval,,d18Ob,d18Ob (Uvigerina scale),d13C,
P21,1470,C.wuellerstorfi,129.5,,2.75,3.39,-0.04,
P21,1470,C.wuellerstorfi,130.5,,2.71,3.35,0.08,
P15 ,2726,C.wuellerstorfi,37,,2.68,3.32,-0.08,
