depth,calyrBP ,d18Oforams-b,sst-uk37,uk37,notes
1723,142562.5,,6.3,0.252,1020C 3H-2 25
1725,142770.8,5.005,,,1020C 3H-2 27
1745,144854.2,4.84,,,1020C 3H-2 47
1748,145166.7,,4.8,0.203,1020C 3H-2 50
1765,146937.5,4.8,,,1020C 3H-2 67
1773,147770.8,,5.624,0.23,1020C 3H-2 75
1785,148703.1,4.915,,,1020C 3H-2 87
1798,149231.2,,5.23,0.217,1020C 3H-2 100
1805,149515.6,4.885,,,1020C 3H-2 107
1823,150246.9,,5.616,0.23,1020C 3H-2 125
1825,150328.1,4.9,,,1020C 3H-2 127
1845,151140.6,4.92,,,1020C 3H-2 147
1848,151262.5,,5.339,0.221,1020C 3H-3 0
1865,151953.1,4.915,,,1020C 3H-3 17
1873,152278.1,,5.422,0.223,1020C 3H-3 25
1885,152765.6,4.945,,,1020C 3H-3 37
1898,153293.8,,5.368,0.222,1020C 3H-3 50
1905,153578.1,4.935,,,1020C 3H-3 57
1923,154309.4,,5.714,0.233,1020C 3H-3 75
1925,154390.6,4.965,,,1020C 3H-3 77
1945,155580,5,,,1020C 3H-3 97
1948,155928,,6.048,0.245,1020C 3H-3 100
1965,157900,4.885,,,1020C 3H-3 117
1973,158828,,6.496,0.26,1020C 3H-3 125
1985,160220,4.9,,,1020C 3H-3 137
1998,161728,,8.19,0.317,1020C 3H-4 0
2023,164628,,8.416,0.325,1020C 3H-4 25
2025,164860,4.81,,,1020C 3H-4 27
2045,167180,4.84,,,1020C 3H-4 47
2048,167528,,8.065,0.313,1020C 3H-4 50
2065,169500,4.72,,,1020C 3H-4 67
2073,170428,,7.812,0.305,1020C 3H-4 75
2098,173328,,9.419,0.359,1020C 3H-4 100
2105,174140,4.7,,,1020C 3H-4 107
2123,176228,,8.675,0.334,1020C 3H-4 125
2125,176460,4.73,,,1020C 3H-4 127
2144,178664,4.31,,,1020C 3H-4 146
2148,179128,,8.619,0.332,1020C 3H-5 0
2165,181100,4.79,,,1020C 3H-5 17
2173,182028,,8.717,0.335,1020C 3H-5 25
2185,183420,4.84,,,1020C 3H-5 37
2198,184844.4,,8.199,0.318,1020C 3H-5 50
2223,187483.3,,8.904,0.342,1020C 3H-5 75
2225,187694.4,4.69,,,1020C 3H-5 77
2248,190122.2,,8.355,0.323,1020C 3H-5 100
2265,191916.7,4.445,,,1020C 3H-5 117
2273,192761.1,,9.152,0.35,1020C 3H-5 125
2298,195400,,6.683,0.266,1020C 3H-6 0
2305,196138.9,4.29,,,1020C 3H-6 7
2323,198038.9,,8.911,0.342,1020C 3H-6 25
2325,198250,4.17,,,1020C 3H-6 27
2345,200361.1,4.105,,,1020C 3H-6 47
2348,200677.8,,10.73,0.404,1020C 3H-6 50
2365,202472.2,3.93,,,1020C 3H-6 67
2373,203342.7,,10.802,0.406,1020C 3H-6 75
2385,204713.4,3.94,,,1020C 3H-6 87
2398,206198.3,,8.302,0.321,1020C 3H-6 100
2405,206997.8,4.185,,,1020C 3H-6 107
2423,209053.9,,10.029,0.38,1020C 3H-6 125
2425,209282.3,4.12,,,1020C 3H-6 127
